0 0 -0.0305023 38
 proton 1 1 1000 0 0 1696.04
 proton 1 1 129.268 63.2281 -276.735 -422.739
 proton 1 1 111.814 34.3858 -242.184 403.102
 proton 1 1 82.1695 -236.712 94.2294 309.895
 neutron 0 1 74.3269 110.42 -247.06 268.26
 proton 1 1 44.7926 -124.531 251.567 85.2512
 neutron 0 1 44.511 -167.561 97.6229 -219.126
 proton 1 1 21.6735 -109.453 -139.936 -97.8724
 neutron 0 1 20.6685 124.985 -151.837 -24.2931
 neutron 0 1 19.8292 180.072 41.4736 -59.2368
 neutron 0 1 17.1647 144.898 77.0015 74.9989
 proton 1 1 14.2603 86.8485 138.55 14.9869
 neutron 0 1 8.81332 -66.3887 39.6594 103.241
 neutron 0 1 8.72505 -120.6 -36.3695 24.586
 neutron 0 1 5.00497 5.93651 16.3492 -95.538
 pi0 0 0 4.70288 -5.35245 -35.4667 2.26739
 neutron 0 1 4.62225 49.0102 -63.7755 47.3061
 neutron 0 1 4.48452 -4.04534 56.6136 -72.2886
 neutron 0 1 4.4182 -8.41472 51.6727 74.7063
 neutron 0 1 4.33618 -29.8664 -13.4453 -84.2275
 neutron 0 1 4.26413 70.3882 -46.7754 29.8092
 neutron 0 1 3.93701 27.6721 76.9943 -26.8286
 neutron 0 1 2.90508 -32.7165 4.86698 66.1318
 neutron 0 1 2.7312 -27.372 -57.9427 32.1429
 neutron 0 1 1.93394 21.5104 56.0088 -6.17988
 neutron 0 1 1.14687 -7.1144 -43.8711 13.4591
 gamma 0 0 0.917356 0.279188 -0.173667 0.856409
 neutron 0 1 0.833069 -32.0686 -18.5144 -13.9629
 gamma 0 0 0.643895 -0.382244 0.169259 0.489736
 neutron 0 1 0.562189 11.9617 -20.913 21.8244
 neutron 0 1 0.48924 7.09163 1.57869 -29.4415
 neutron 0 1 0.300866 15.105 6.83708 -17.0455
 neutron 0 1 0.182086 11.2883 -13.1121 -6.54553
 neutron 0 1 0.176325 5.08395 15.104 8.79729
 gamma 0 0 0.157846 0.150406 0.0125644 -0.0462096
 alpha 2 4 3.8739 -114.48 112.613 55.7415
 alpha 2 4 2.39579 40.929 73.5402 103.84
 Yb160[0.0] 70 160 4.43207 75.8139 195.65 1129.72
0 0 -0.0414305 27
 proton 1 1 1000 0 0 1696.04
 proton 1 1 430.313 460.692 127.735 874.137
 proton 1 1 222.668 -51.8758 -28.1707 681.134
 proton 1 1 96.9347 370.567 -210.029 -99.3302
 neutron 0 1 28.701 -189.926 7.78062 136.472
 proton 1 1 27.176 -181.127 -106.335 87.3004
 proton 1 1 11.5799 -64.529 132.284 -14.1802
 neutron 0 1 11.2564 50.4159 -33.6421 132.685
 neutron 0 1 10.3315 3.34717 139.549 5.99554
 neutron 0 1 6.91773 -5.99949 2.85351 -114.031
 neutron 0 1 3.31254 73.404 -26.0186 13.0595
 gamma 0 0 2.45819 0.13254 -2.02832 1.3824
 gamma 0 0 1.72781 -0.317077 1.03555 1.34626
 neutron 0 1 1.67011 -39.988 21.2127 -33.0475
 neutron 0 1 1.66598 40.8877 13.3526 35.8228
 gamma 0 0 1.49572 -0.70336 -0.474581 1.23176
 gamma 0 0 1.2594 -1.17736 0.313256 0.319032
 neutron 0 1 1.12877 -41.43 19.7894 3.78324
 neutron 0 1 0.825729 14.8311 -9.15606 -35.3347
 neutron 0 1 0.800743 -22.8961 18.2172 -25.4803
 neutron 0 1 0.795167 -30.7879 -20.4541 -11.3397
 gamma 0 0 0.62935 -0.107782 0.619122 -0.033952
 neutron 0 1 0.539156 20.9258 -3.69161 23.7048
 neutron 0 1 0.487198 -26.3143 7.93839 -12.6605
 neutron 0 1 0.344635 -13.1302 -8.77096 -19.96
 neutron 0 1 0.0888052 12.6351 2.12594 -1.64934
 Re178[0.0] 75 178 0.449053 -377.531 -46.0358 64.7126
0 0 0.0137304 29
 proton 1 1 1000 0 0 1696.04
 pi0 0 0 375.32 16.1036 94.8819 482.619
 proton 1 1 237.972 299.56 272.31 582.5
 proton 1 1 27.2745 -206.634 -43.5755 85.6114
 proton 1 1 15.4573 21.7815 -111.35 -127.953
 neutron 0 1 10.7386 49.8314 1.65693 133.449
 proton 1 1 7.99409 -41.4639 -107.006 43.5384
 neutron 0 1 7.33562 -46.6519 -106.987 -14.6882
 neutron 0 1 5.37089 20.6709 0.372525 -98.4583
 neutron 0 1 5.24916 91.9101 28.0406 25.6452
 neutron 0 1 4.29006 -89.1402 -11.5712 0.347478
 neutron 0 1 4.20598 49.9591 17.5451 71.537
 neutron 0 1 4.10522 74.2517 39.7345 25.2775
 neutron 0 1 2.97932 -47.9919 40.1956 41.0915
 neutron 0 1 2.58721 -12.0844 66.3424 -17.9179
 neutron 0 1 2.4495 13.944 -34.9591 56.5009
 gamma 0 0 2.21931 -1.3602 -0.114166 -1.7499
 neutron 0 1 2.00405 -28.3684 53.9038 7.71419
 neutron 0 1 1.83414 39.9355 -33.4969 27.0754
