
	-------------------------------- 
	OrganID	Edep (J)	Dose (Gy)
	-------------------------------- 
	4 |		3.51939e-14	1.23879e-12
	5 |		1.21784e-15	3.96304e-14
	26 |		3.6424e-10	6.47135e-10
	27 |		2.62636e-10	5.82264e-10
	39 |		4.251e-12	5.5846e-11
	40 |		3.0184e-12	4.08445e-11
	47 |		1.11215e-20	1.08059e-19
	48 |		1.05917e-13	1.44007e-12
	61 |		4.9721e-10	3.42903e-10
	100 |		2.08984e-20	9.24708e-18
	106 |		6.01727e-11	4.94106e-11
	116 |		1.43929e-10	1.3727e-10
	120 |		2.67271e-11	6.29021e-10
	121 |		2.06688e-11	4.8644e-10
	122 |		4.48086e-11	1.53802e-10
	133 |		1.29434e-15	3.06136e-14
	134 |		1.84491e-12	6.12926e-10
----------------------------------------------------------------------------
-------------------------------ORGAN INFO-----------------------------------
-----------------(of organs where edep/dose was recorded)-------------------
----------------------------------------------------------------------------
ID		Organ Name	    	    	    	Material ID		Density (g/cm^3) 
4     Posterior nasal passage down to larynx (ET2)     45    1.030
5     Oral mucosa, tongue                              29    1.050
26    Cranium, cortical                                 2    1.920
27    Cranium, spongiosa                                8    1.157
39    Mandible, cortical                                2    1.920
40    Mandible, spongiosa                              13    1.228
47    Cervical spine, cortical                          2    1.920
48    Cervical spine, spongiosa                        17    1.050
61    Brain                                            32    1.050
100   Lymphatic nodes, extrathoracic airways           47    1.030
106   Muscle, head                                     29    1.050
116   Residual tissue, head                            49    0.950
120   Salivary glands, left                            45    1.030
121   Salivary glands, right                           45    1.030
122   Skin, head                                       27    1.090
133   Tongue (inner part)                              29    1.050
134   Tonsils                                          45    1.030

Total Edep over all organs = 1.42965e-09 J
Total dose absorbed over all organs = 3.74061e-09 Gy

----------------------------------------------------------------------------
----------------ORGAN ENERGY DEPOSITIONS AND ABSORBED DOSE------------------
-----------(for all organs [includes air - OrganIDs = 0, 140])--------------
--------------([and top/bottom skin layer - OrganIDs = 141])----------------
----------------------------------------------------------------------------
OrganID	Edep (J) 	Dose (Gy) 
-------------------------------
0  | 		1.87826e-11	0
1  | 		0	0
2  | 		0	0
3  | 		0	0
4  | 		3.51939e-14	1.23879e-12
5  | 		1.21784e-15	3.96304e-14
6  | 		0	0
7  | 		0	0
8  | 		0	0
9  | 		0	0
10  | 		0	0
11  | 		0	0
12  | 		0	0
13  | 		0	0
14  | 		0	0
15  | 		0	0
16  | 		0	0
17  | 		0	0
18  | 		0	0
19  | 		0	0
20  | 		0	0
21  | 		0	0
22  | 		0	0
23  | 		0	0
24  | 		0	0
25  | 		0	0
26  | 		3.6424e-10	6.47135e-10
27  | 		2.62636e-10	5.82264e-10
28  | 		0	0
29  | 		0	0
30  | 		0	0
31  | 		0	0
32  | 		0	0
33  | 		0	0
34  | 		0	0
35  | 		0	0
36  | 		0	0
37  | 		0	0
38  | 		0	0
39  | 		4.251e-12	5.5846e-11
40  | 		3.0184e-12	4.08445e-11
41  | 		0	0
42  | 		0	0
43  | 		0	0
44  | 		0	0
45  | 		0	0
46  | 		0	0
47  | 		1.11215e-20	1.08059e-19
48  | 		1.05917e-13	1.44007e-12
49  | 		0	0
50  | 		0	0
51  | 		0	0
52  | 		0	0
53  | 		0	0
54  | 		0	0
55  | 		0	0
56  | 		0	0
57  | 		0	0
58  | 		0	0
59  | 		0	0
60  | 		0	0
61  | 		4.9721e-10	3.42903e-10
62  | 		0	0
63  | 		0	0
64  | 		0	0
65  | 		0	0
66  | 		0	0
67  | 		0	0
68  | 		0	0
69  | 		0	0
70  | 		0	0
71  | 		0	0
72  | 		0	0
73  | 		0	0
74  | 		0	0
75  | 		0	0
76  | 		0	0
77  | 		0	0
78  | 		0	0
79  | 		0	0
80  | 		0	0
81  | 		0	0
82  | 		0	0
83  | 		0	0
84  | 		0	0
85  | 		0	0
86  | 		0	0
87  | 		0	0
88  | 		0	0
89  | 		0	0
90  | 		0	0
91  | 		0	0
92  | 		0	0
93  | 		0	0
94  | 		0	0
95  | 		0	0
96  | 		0	0
97  | 		0	0
98  | 		0	0
99  | 		0	0
100  | 		2.08984e-20	9.24708e-18
101  | 		0	0
102  | 		0	0
103  | 		0	0
104  | 		0	0
105  | 		0	0
106  | 		6.01727e-11	4.94106e-11
107  | 		0	0
108  | 		0	0
109  | 		0	0
110  | 		0	0
111  | 		0	0
112  | 		0	0
113  | 		0	0
114  | 		0	0
115  | 		0	0
116  | 		1.43929e-10	1.3727e-10
117  | 		0	0
118  | 		0	0
119  | 		0	0
120  | 		2.67271e-11	6.29021e-10
121  | 		2.06688e-11	4.8644e-10
122  | 		4.48086e-11	1.53802e-10
123  | 		0	0
124  | 		0	0
125  | 		0	0
126  | 		0	0
127  | 		0	0
128  | 		0	0
129  | 		0	0
130  | 		0	0
131  | 		0	0
132  | 		0	0
133  | 		1.29434e-15	3.06136e-14
134  | 		1.84491e-12	6.12926e-10
135  | 		0	0
136  | 		0	0
137  | 		0	0
138  | 		0	0
139  | 		0	0
140  | 		2.70402e-14	1.35201e-10
141  | 		0	0
Total energy depositied over all organs = 1.42965e-09 J
Total absorbed dose over all organs = 3.74061e-09 Gy 
