
=====================================================================
 Run #0 / Number of event processed : 10000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          3.661e-17              0.177
     200|               8.649          3.553e-17              0.163
     300|               0.009          0.000e+00               -nan
     301|               0.035          0.000e+00               -nan
     302|               0.011          0.000e+00               -nan
     303|               4.375          2.195e-17              0.295
     400|               0.104          8.471e-18              0.474
     401|               0.288          2.200e-17              0.428
     402|               0.072          1.423e-17              0.531
     403|               0.036          1.818e-17              0.539
     404|               0.072          1.736e-17              0.617
     405|              14.180          2.113e-17              0.140
     500|               0.066          1.696e-17              0.568
     501|               0.016          5.218e-17              0.438
     600|               0.019          3.313e-17              0.664
     700|               8.201          3.299e-17              0.171
     800|               0.010          1.636e-17              0.763
     801|               0.013          3.724e-17              0.746
     802|               0.021          1.788e-17              0.707
     803|               0.053          5.330e-17              0.619
     804|               0.011          7.979e-17              0.629
     805|               0.021          8.679e-17              0.541
     806|               0.021          5.924e-17              0.590
     807|               0.021          4.706e-17              0.586
     808|               1.179          2.803e-17              0.331
     900|               1.906          4.858e-17              0.280
     910|               3.007          3.201e-17              0.287
    1000|             117.872          2.683e-17              0.048
    1010|             239.851          3.472e-17              0.031
    1100|              46.312          2.998e-17              0.070
    1110|             139.528          3.247e-17              0.041
    1200|              79.906          2.190e-17              0.061
    1210|             355.612          2.840e-17              0.028
    1300|             113.681          2.881e-17              0.049
    1400|             107.717          2.900e-17              0.053
    1500|              20.516          3.116e-17              0.111
    1600|             103.296          2.759e-17              0.052
    1700|              50.264          2.727e-17              0.078
    1800|              20.493          2.615e-17              0.120
    1900|             156.708          2.912e-17              0.042
    2000|              86.883          3.035e-17              0.057
    2100|              34.068          3.756e-17              0.080
    2200|             105.132          2.732e-17              0.050
    2300|              69.360          2.901e-17              0.063
    2400|              32.825          2.474e-17              0.097
    2500|              38.798          3.013e-17              0.086
    2600|             407.670          1.712e-17              0.033
    2700|             391.311          1.939e-17              0.033
    2800|             244.126          3.243e-17              0.031
    2900|             232.804          3.174e-17              0.033
    3000|              39.516          3.219e-17              0.075
    3100|             240.929          3.114e-17              0.032
    3200|             166.334          3.124e-17              0.040
    3300|              56.762          3.502e-17              0.064
    3400|             544.845          2.666e-17              0.024
    3500|             558.529          2.779e-17              0.024
    3600|              88.883          3.037e-17              0.056
    3700|             173.476          2.354e-17              0.044
    3800|             257.451          2.095e-17              0.040
    3900|              45.394          3.019e-17              0.075
    4000|              33.479          2.554e-17              0.094
    4100|             262.458          3.231e-17              0.028
    4200|             455.599          3.195e-17              0.023
    4300|             164.504          2.327e-17              0.038
    4400|             277.325          2.412e-17              0.033
    4500|             121.664          1.797e-17              0.056
    4600|              96.730          2.254e-17              0.059
    4700|              71.596          1.743e-17              0.072
    4800|              75.601          2.179e-17              0.068
    4900|             205.828          1.881e-17              0.041
    5000|             271.915          1.896e-17              0.038
    5100|             156.175          2.475e-17              0.040
    5200|             264.976          2.869e-17              0.032
    5300|              80.240          2.597e-17              0.055
    5400|             154.840          2.696e-17              0.042
    5500|               1.685          2.989e-17              0.184
    5600|              51.347          3.725e-17              0.066
    5700|              41.959          3.329e-17              0.073
    5800|              69.351          2.491e-17              0.064
    6100|            1349.568          1.785e-17              0.020
    6200|             153.663          3.706e-17              0.039
    6300|             102.491          3.359e-17              0.051
    6400|             153.663          3.774e-17              0.039
    6500|             102.491          3.625e-17              0.049
    6600|               0.039          1.398e-17              1.000
    6601|               0.189          1.056e-16              0.707
    6700|               1.100          3.190e-17              0.350
    6701|               0.304          1.107e-17              0.722
    6702|               6.051          3.426e-17              0.207
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          8.345e-17              0.783
    6900|               1.100          3.462e-17              0.375
    6901|               0.304          2.449e-17              0.883
    6902|               6.051          2.698e-17              0.227
    7000|               8.201          2.460e-17              0.154
    7100|              48.000          2.802e-17              0.077
