
=====================================================================
 Run #0 / Number of event processed : 10000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          1.823e-17              0.214
     200|               8.683          2.226e-17              0.184
     300|               0.022          1.212e-17              0.623
     301|               0.090          1.298e-17              0.594
     302|               0.028          1.613e-17              0.553
     303|              11.291          2.867e-17              0.163
     400|               0.141          3.189e-17              0.582
     401|               0.390          1.916e-17              0.400
     402|               0.098          1.795e-17              0.367
     403|               0.049          2.251e-17              0.450
     404|               0.098          2.337e-17              0.340
     405|              28.808          2.232e-17              0.105
     500|               0.086          9.438e-18              0.511
     501|               0.024          4.264e-17              0.521
     600|               0.023          3.064e-17              0.470
     700|              10.364          2.425e-17              0.165
     800|               0.025          7.156e-18              0.530
     801|               0.031          7.956e-18              0.529
     802|               0.052          1.636e-17              0.735
     803|               0.130          1.912e-17              0.470
     804|               0.026          4.134e-17              0.673
     805|               0.052          4.320e-17              0.589
     806|               0.052          3.789e-17              0.545
     807|               0.053          8.085e-18              0.471
     808|               2.777          2.550e-17              0.274
     900|               1.504          1.589e-17              0.370
     910|               6.943          2.947e-17              0.199
    1000|             193.192          2.974e-17              0.036
    1010|             444.080          3.310e-17              0.023
    1100|              32.452          3.293e-17              0.081
    1110|             167.270          2.816e-17              0.040
    1200|             108.840          2.682e-17              0.049
    1210|             389.680          2.765e-17              0.027
    1300|             159.385          2.784e-17              0.043
    1400|             145.689          2.683e-17              0.047
    1500|              34.244          2.605e-17              0.094
    1600|             106.532          2.887e-17              0.050
    1700|              50.890          2.682e-17              0.077
    1800|              37.397          2.629e-17              0.089
    1900|             273.382          2.768e-17              0.032
    2000|             154.981          3.102e-17              0.042
    2100|              22.996          2.805e-17              0.105
    2200|             181.529          2.680e-17              0.040
    2300|             118.927          2.983e-17              0.048
    2400|              48.252          2.747e-17              0.074
    2500|              45.057          2.974e-17              0.079
    2600|             568.469          1.559e-17              0.030
    2700|             382.073          1.664e-17              0.036
    2800|             253.548          2.869e-17              0.032
    2900|             413.232          3.193e-17              0.025
    3000|              26.045          3.241e-17              0.092
    3100|             307.761          3.012e-17              0.029
    3200|             373.652          2.908e-17              0.028
    3300|              82.179          3.533e-17              0.053
    3400|             536.651          2.492e-17              0.024
    3500|             621.408          2.462e-17              0.024
    3600|              79.815          2.637e-17              0.063
    3700|             234.882          1.969e-17              0.040
    3800|             432.615          1.879e-17              0.033
    3900|              76.877          2.229e-17              0.065
    4000|              56.287          2.643e-17              0.073
    4100|             402.595          3.179e-17              0.023
    4200|             619.672          3.311e-17              0.020
    4300|             368.797          2.307e-17              0.027
    4400|             457.351          2.278e-17              0.027
    4500|             223.331          1.773e-17              0.042
    4600|             156.670          1.881e-17              0.051
    4700|             103.943          2.262e-17              0.056
    4800|              78.915          2.485e-17              0.062
    4900|             289.440          1.549e-17              0.037
    5000|             345.222          1.808e-17              0.034
    5100|             188.047          2.124e-17              0.039
    5200|             291.584          2.428e-17              0.033
    5300|             110.320          2.166e-17              0.050
    5400|             192.224          2.543e-17              0.040
    5500|               9.991          3.676e-17              0.119
    5600|              61.420          3.450e-17              0.063
    5700|              56.331          4.012e-17              0.059
    5800|              82.063          2.293e-17              0.061
    6100|            1517.390          1.453e-17              0.021
    6200|               7.769          4.372e-17              0.158
    6300|               5.180          2.710e-17              0.245
    6400|               7.769          2.613e-17              0.196
    6500|               5.180          3.579e-17              0.214
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          3.214e-17              0.311
    6701|               0.308          3.653e-17              0.742
    6702|               6.122          4.699e-17              0.184
    6800|               0.039          2.559e-16              0.713
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          2.181e-17              0.400
    6901|               0.308          3.218e-17              0.721
    6902|               6.122          1.765e-17              0.264
    7000|              10.364          3.104e-17              0.135
    7100|              58.000          3.021e-17              0.067
    7200|               1.784          4.074e-17              0.140
    7201|               1.193          3.888e-17              0.156
    7202|               6.008          3.330e-17              0.116
    7203|             185.286          3.166e-17              0.036
    7300|             250.000          3.214e-17              0.032
    7400|              14.547          3.389e-17              0.063
    7401|               2.264          3.102e-17              0.091
    7402|               5.692          3.270e-17              0.084
    7403|             840.096          3.388e-17              0.017
    7500|              53.337          3.403e-17              0.048
    7501|             296.663          3.355e-17              0.028
    7600|               3.071          3.152e-17              0.173
    7601|               0.223          2.846e-17              0.224
    7602|             116.634          3.191e-17              0.046
    7700|              55.000          2.906e-17              0.069
    7800|               3.993          4.460e-17              0.132
    7801|               0.289          3.202e-17              0.206
    7802|              75.671          4.022e-17              0.051
    7900|              95.000          3.594e-17              0.050
    8000|               2.824          4.490e-17              0.155
    8001|               0.205          4.407e-17              0.268
    8002|              76.924          3.867e-17              0.052
    8100|              40.000          3.815e-17              0.072
    8200|               2.779          2.246e-17              0.215
    8201|               0.203          2.315e-17              0.315
    8202|             116.946          3.091e-17              0.047
    8300|              35.000          2.803e-17              0.088
    8400|               4.451          4.011e-17              0.130
    8401|               0.324          5.102e-17              0.220
    8402|              48.527          3.979e-17              0.061
    8500|              75.000          3.336e-17              0.055
    8600|              39.976          2.388e-17              0.087
    8700|             385.839          2.760e-17              0.027
    8800|             510.000          2.717e-17              0.025
    8900|             162.338          2.038e-17              0.048
    9000|              38.359          2.171e-17              0.091
    9100|               7.652          2.161e-17              0.195
    9200|             166.542          2.284e-17              0.044
    9300|              39.362          2.416e-17              0.089
    9400|               7.892          2.481e-17              0.196
    9500|            2360.000          2.788e-17              0.012
    9700|             545.877          2.398e-17              0.025
    9900|             652.861          2.439e-17              0.023
   10000|              15.949          2.046e-17              0.140
   10100|              15.949          1.623e-17              0.140
   10200|               5.510          3.312e-17              0.200
   10300|             130.204          3.919e-17              0.038
   10400|              11.019          3.940e-17              0.135
   10500|              11.019          2.322e-17              0.157
   10600|            1200.825          2.321e-17              0.018
   10700|           14841.881          2.653e-17              0.005
   10800|            2843.509          2.919e-17              0.010
   10900|           10890.496          2.739e-17              0.006
   11000|               1.919          1.863e-17              0.216
   11001|               0.103          2.351e-17              0.388
   11002|              49.783          2.261e-17              0.079
   11003|              22.870          2.323e-17              0.114
   11300|             173.631          3.088e-17              0.040
   11400|               0.622          2.296e-18              0.871
   11500|              17.618          3.209e-17              0.115
   11600|             975.623          2.161e-17              0.020
   11700|           11176.842          2.926e-17              0.005
   11800|            1549.839          2.970e-17              0.013
   11900|            4510.195          2.754e-17              0.008
   12000|              44.045          2.608e-17              0.085
   12100|              44.045          2.497e-17              0.086
   12200|             259.230          1.885e-17              0.038
   12201|               8.470          1.245e-17              0.105
   12300|            1271.189          2.333e-17              0.015
   12301|              38.418          1.457e-17              0.046
   12400|             575.701          2.584e-17              0.021
   12401|              18.843          1.880e-17              0.055
   12500|            1259.927          2.413e-17              0.015
   12501|              37.790          1.473e-17              0.046
   12600|              37.952          2.169e-17              0.091
   12700|             228.400          1.819e-17              0.044
   12800|              50.727          2.446e-17              0.085
   12801|               0.043          3.306e-17              0.495
   12900|              18.617          3.979e-17              0.109
   13000|              18.617          3.581e-17              0.114
   13100|              25.909          3.163e-17              0.103
   13200|              23.351          2.401e-17              0.120
   13300|              20.993          2.192e-17              0.134
   13301|              54.552          2.771e-17              0.078
   13400|               3.109          1.949e-17              0.363
   13500|               8.809          2.832e-17              0.154
   13600|               7.773          3.769e-17              0.157
   13700|              49.781          3.589e-17              0.063
   13701|               1.318          3.523e-17              0.171
   13800|             200.000          3.575e-17              0.035
   14000|               0.140          2.153e-17              0.249
=====================================================================

