# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,7.339611820412595e-07,1.696628526342965e-15,431
1,0,0,7.874276249622417e-07,1.940677521643523e-15,425
2,0,0,7.822224086704891e-07,1.860753797718141e-15,423
3,0,0,7.404684907513386e-07,1.593656316064232e-15,421
4,0,0,7.954351814559238e-07,1.879517338572536e-15,440
5,0,0,8.399126943353993e-07,2.101006726168989e-15,455
6,0,0,7.960796923060147e-07,1.797215557359874e-15,448
7,0,0,8.269333319528732e-07,1.975286844977434e-15,462
8,0,0,8.990751791767434e-07,2.470700830497316e-15,466
9,0,0,8.631516361539265e-07,2.137770289197379e-15,475
10,0,0,8.981770211109001e-07,2.421958941857017e-15,474
11,0,0,8.88943070577345e-07,2.393178952665422e-15,473
12,0,0,8.921125951153135e-07,2.671501431954152e-15,452
13,0,0,8.72125824516402e-07,2.448966686078329e-15,455
14,0,0,8.639357999815257e-07,2.365777920376163e-15,449
15,0,0,9.46060334349982e-07,2.746738531076917e-15,470
16,0,0,9.462503769138361e-07,2.70854890021714e-15,471
17,0,0,9.55590277030685e-07,2.847190575314382e-15,484
18,0,0,9.576986971594544e-07,2.861725461542117e-15,478
19,0,0,9.586357810369837e-07,2.773605154807896e-15,469
20,0,0,9.250091693369866e-07,2.784734849143447e-15,459
21,0,0,8.636324673179664e-07,2.584219702753251e-15,425
22,0,0,9.028956803101123e-07,2.891258303551848e-15,431
23,0,0,8.256006596836095e-07,2.541303094447804e-15,396
24,0,0,7.750010364160373e-07,2.40860588898294e-15,384
25,0,0,8.591530353188779e-07,2.848156704328792e-15,391
26,0,0,7.640472608552681e-07,2.175834336767282e-15,387
27,0,0,7.483805644527829e-07,2.389830847981143e-15,347
28,0,0,6.900102746764646e-07,2.210200311787354e-15,342
29,0,0,6.963416151396849e-07,2.356392441832979e-15,314
30,0,0,6.330718781521066e-07,2.082383843244822e-15,289
31,0,0,6.218835279302694e-07,2.21229027624976e-15,263
32,0,0,5.56849277159895e-07,2.114276231645104e-15,234
33,0,0,4.725647229980724e-07,1.768774225233348e-15,199
34,0,0,4.041410807028548e-07,1.311450639733285e-15,186
35,0,0,3.054052052764941e-07,9.123030985839956e-16,137
36,0,0,3.625038508323367e-07,1.502147234083444e-15,146
37,0,0,3.066279039078572e-07,1.129382227610591e-15,130
38,0,0,2.275462331359512e-07,7.93034106815865e-16,102
39,0,0,2.007959299570817e-07,8.633613154531846e-16,76
40,0,0,1.491313759935539e-07,5.335302432864244e-16,68
41,0,0,1.18198622520452e-07,4.139042683959224e-16,51
42,0,0,8.392488934031288e-08,2.918404961343234e-16,37
43,0,0,5.770278840360797e-08,1.61532929020827e-16,31
44,0,0,8.000360859108229e-08,3.733735796880756e-16,31
45,0,0,4.554483088413411e-08,1.434775301921555e-16,25
46,0,0,3.432491631649637e-08,1.305632176821773e-16,19
47,0,0,6.913570792567933e-09,1.500627341479724e-17,8
48,0,0,8.430010039056138e-09,6.033229593318037e-17,4
49,0,0,4.323907135399763e-10,1.699311216117609e-19,2
50,0,0,1.197356371692017e-09,5.012387497773556e-19,3
51,0,0,4.261495898108485e-10,9.24743961329122e-20,2
52,0,0,1.604303778371443e-09,2.573790613296887e-18,1
53,0,0,4.779241155043947e-09,1.471157591719997e-17,4
54,0,0,7.982841489431042e-10,1.837015409246858e-19,4
55,0,0,0,0,0
56,0,0,7.010101955861583e-10,2.186341323121328e-19,4
57,0,0,2.635025351708737e-11,6.943358604147751e-22,1
58,0,0,1.294633703827456e-08,9.272001427177619e-17,9
59,0,0,4.761205745418919e-11,2.266908015021013e-21,1
60,0,0,4.441549370350836e-11,1.629978070442872e-21,2
61,0,0,7.646570686741371e-10,5.847004326733241e-19,1
62,0,0,7.294825702838311e-10,2.981305603238252e-19,3
63,0,0,2.570944324588218e-10,6.609754720132369e-20,1
64,0,0,3.851125610776117e-11,1.483116846997572e-21,1
65,0,0,8.531147806263219e-10,1.775089233849083e-19,8
66,0,0,2.541778136662183e-09,3.532053357786963e-18,4
67,0,0,5.152012550684051e-09,1.237948128928131e-17,3
68,0,0,8.205210028104362e-09,3.080782451513317e-17,4
69,0,0,9.504633625940657e-11,7.399662868406315e-21,2
70,0,0,3.641327236392348e-09,6.457489374333434e-18,3
71,0,0,2.554141613282268e-09,5.13952977208986e-18,5
72,0,0,0,0,0
73,0,0,5.411853734577585e-10,6.749906470184453e-20,5
74,0,0,3.214352605868201e-11,1.033206267485169e-21,1
75,0,0,1.634551287465381e-10,2.671757911354732e-20,1
76,0,0,6.512610459135611e-10,3.961903416300344e-19,2
77,0,0,1.07097007226668e-09,1.06613402653626e-18,2
78,0,0,6.038643311729596e-09,1.148086635090344e-17,6
79,0,0,2.620598934362565e-09,3.755011040919083e-18,2
80,0,0,2.847929808939398e-09,5.526930373340634e-18,2
81,0,0,3.848765904025795e-09,1.248959852168153e-17,3
82,0,0,8.715880697690194e-12,7.596657633636849e-23,1
83,0,0,8.014351425404607e-11,6.422982876988487e-21,1
84,0,0,1.313429788949215e-09,1.05118756381111e-18,2
85,0,0,2.989376186746678e-09,5.305692692081488e-18,3
86,0,0,3.009100239502351e-10,4.534205920220505e-20,2
87,0,0,1.220283564755495e-11,1.489091978412378e-22,1
88,0,0,3.358492382296993e-10,1.127947108194693e-19,1
89,0,0,4.945508889952499e-10,2.445805818059921e-19,1
90,0,0,4.575711879238614e-10,1.0656510586484e-19,2
91,0,0,3.882765171558783e-10,5.061969256078764e-20,3
92,0,0,3.014858417637877e-09,4.547987022042987e-18,5
93,0,0,4.381648160792503e-09,1.490178099842582e-17,2
94,0,0,6.386803145484058e-11,4.079125441916506e-21,1
95,0,0,3.663162853610566e-10,1.34187620920723e-19,1
96,0,0,5.800705344289367e-10,2.980877821455787e-19,2
97,0,0,2.901407735928853e-10,4.250619138353017e-20,2
98,0,0,8.279437815348525e-09,3.591777889658072e-17,5
99,0,0,4.611459662267612e-09,1.230153209695003e-17,2
100,0,0,7.364769471026111e-09,3.509170865006051e-17,3
101,0,0,3.62352967491926e-09,4.761006049247074e-18,6
102,0,0,1.008013397303116e-08,6.085001336028193e-17,4
103,0,0,1.425902473614953e-10,2.033197864261242e-20,1
104,0,0,3.066331298624108e-09,4.708491494852678e-18,2
105,0,0,4.173624048114737e-09,1.198745208160246e-17,3
106,0,0,7.584873039211409e-10,5.753029902095612e-19,1
107,0,0,1.973315241837093e-09,3.893973043666585e-18,1
108,0,0,3.060837114920592e-09,6.843418446133438e-18,2
109,0,0,3.930700764382118e-09,7.931972727709988e-18,2
110,0,0,8.666567491147519e-10,7.510939207861499e-19,1
111,0,0,6.048523397530622e-10,3.658463529047538e-19,1
112,0,0,0,0,0
113,0,0,9.721096516380901e-10,6.57131567378474e-19,3
114,0,0,3.432281598203276e-09,1.178055696936483e-17,1
115,0,0,2.649703521498863e-09,7.020928751843474e-18,1
116,0,0,0,0,0
117,0,0,2.255864299260269e-09,5.088923736677026e-18,1
118,0,0,1.473708109229947e-09,2.171815591210105e-18,1
119,0,0,0,0,0
