# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,2.715869010912597e-07,2.680915304986443e-15,148
1,0,0,2.432920560560414e-07,5.513204421380749e-16,172
2,0,0,3.310339999864236e-07,8.663532236961072e-16,182
3,0,0,3.279993503628911e-07,7.453097474940119e-16,187
4,0,0,3.198060948494646e-07,6.512377354729549e-16,187
5,0,0,3.589876667821637e-07,9.711406872840887e-16,182
6,0,0,3.473897377825898e-07,8.18494925750642e-16,192
7,0,0,3.301400281998689e-07,6.650825389598893e-16,194
8,0,0,3.775605531080949e-07,9.54473524399923e-16,200
9,0,0,4.050525158009561e-07,1.165029527836009e-15,207
10,0,0,4.128073905431376e-07,1.140457124931458e-15,210
11,0,0,3.827691069718471e-07,9.50229813224106e-16,206
12,0,0,3.948115852496205e-07,1.137516412679075e-15,208
13,0,0,3.706296242762931e-07,9.242428015010077e-16,202
14,0,0,3.700218248663698e-07,9.852101422475247e-16,192
15,0,0,3.5926808091849e-07,9.578353326713184e-16,186
16,0,0,3.490339675571739e-07,8.922977280902955e-16,184
17,0,0,3.591643985820793e-07,1.04131127147252e-15,188
18,0,0,3.81803357139287e-07,9.554806653619684e-16,207
19,0,0,4.292387914152104e-07,1.241998856466427e-15,210
20,0,0,3.922222059217807e-07,1.084804477089703e-15,200
21,0,0,3.445659777868622e-07,9.914575969703436e-16,178
22,0,0,3.579914170916487e-07,1.064535275705692e-15,167
23,0,0,3.384309370027669e-07,1.212115827175394e-15,160
24,0,0,2.96307515290363e-07,8.117542408134963e-16,147
25,0,0,2.952020370348899e-07,8.126125389886734e-16,152
26,0,0,3.190222696618965e-07,9.871426465455823e-16,154
27,0,0,3.04118623846089e-07,9.004773329671487e-16,152
28,0,0,3.153637793620405e-07,9.725993965208621e-16,147
29,0,0,3.456442498592044e-07,1.306080640508048e-15,145
30,0,0,3.062249232094135e-07,9.596788717155327e-16,146
31,0,0,2.672136564016392e-07,8.460347500447526e-16,129
32,0,0,2.370268303604652e-07,7.11069962166954e-16,112
33,0,0,2.022209701301306e-07,6.003530861156608e-16,93
34,0,0,2.023700887647133e-07,7.031227717235761e-16,86
35,0,0,1.660218393569543e-07,6.377115871027006e-16,71
36,0,0,1.532821789827825e-07,4.932917690591563e-16,72
37,0,0,1.619151432673719e-07,5.63164298376217e-16,64
38,0,0,1.257161107193859e-07,4.457354411702125e-16,53
39,0,0,8.026126142606128e-08,2.435354588945788e-16,36
40,0,0,8.958850649453341e-08,3.177941907564309e-16,38
41,0,0,7.475396867863524e-08,2.883983158642473e-16,32
42,0,0,6.427303075648579e-08,2.145101261282948e-16,27
43,0,0,5.394547237220227e-08,1.853357623592852e-16,22
44,0,0,3.945737403918864e-08,1.342394370656806e-16,16
45,0,0,3.32534181376578e-08,1.365961613670829e-16,11
46,0,0,1.155027993799448e-08,3.404180413519925e-17,7
47,0,0,3.891168670077399e-09,8.629982279883992e-18,3
48,0,0,4.829149407572729e-09,2.176974984996123e-17,3
49,0,0,1.456718284272099e-09,1.208557712967805e-18,2
50,0,0,0,0,0
51,0,0,2.335766622917602e-10,3.388113212784307e-20,3
52,0,0,2.317731840730183e-10,2.869748589717186e-20,2
53,0,0,2.392060981731508e-10,5.721955740322309e-20,1
54,0,0,2.37726138602468e-11,5.651371697483983e-22,1
55,0,0,0,0,0
56,0,0,4.253086711127094e-10,9.689990782723915e-20,2
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,1.332047986232751e-09,8.879391819078904e-19,2
60,0,0,9.701174488410813e-10,9.411278645459279e-19,1
61,0,0,1.267617338114692e-09,1.602235204506743e-18,2
62,0,0,2.912079542952684e-10,4.283792557574833e-20,2
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,3.967831291880176e-10,7.510648749057808e-20,3
66,0,0,1.158505617557458e-10,1.342135265912188e-20,1
67,0,0,4.138226865837634e-10,1.712492159314037e-19,1
68,0,0,8.119117075691209e-11,4.068301083864716e-21,2
69,0,0,2.863287319209848e-10,6.773963654584301e-20,2
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,5.197231013925707e-09,1.458607049304475e-17,4
73,0,0,2.667489594944427e-11,7.115500739136784e-22,1
74,0,0,3.31547372883926e-09,1.003369603159468e-17,3
75,0,0,4.08672019724173e-09,8.562787461816029e-18,2
76,0,0,5.41479492281488e-09,2.783076004754523e-17,2
77,0,0,2.616404788546343e-12,6.845574017528233e-24,1
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,1.111770501639597e-10,1.236033648315961e-20,1
81,0,0,8.201921898063309e-11,6.727152282193044e-21,1
82,0,0,1.590938986129407e-09,2.531086857586465e-18,1
83,0,0,2.539154210061937e-09,6.44730410247526e-18,1
84,0,0,1.440607517513426e-09,2.075350019516197e-18,1
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,1.159052416532672e-09,1.343402504270226e-18,1
91,0,0,2.703023735181297e-10,7.306337312953453e-20,1
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,4.180085615883177e-11,1.747311575611344e-21,1
95,0,0,3.962572299239827e-10,1.142051179487638e-19,2
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,3.601700062318863e-11,1.29722433389077e-21,1
99,0,0,1.904072301073531e-09,2.715962138713139e-18,2
100,0,0,1.951326311248939e-10,3.807674372972389e-20,1
101,0,0,2.098303137312094e-10,2.269549621967712e-20,2
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,2.213051554394746e-11,4.897597182409001e-22,1
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,1.627097477698313e-10,2.647446201932211e-20,1
110,0,0,3.36593665908371e-11,1.132952959296361e-21,1
111,0,0,0,0,0
112,0,0,6.228655434000581e-11,3.879614851550497e-21,1
113,0,0,1.028069813549877e-09,1.056927541532478e-18,1
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,1.742684335403964e-10,2.590682181490952e-20,2
117,0,0,2.302630503978828e-11,5.302107237853792e-22,1
118,0,0,0,0,0
119,0,0,1.59010709472734e-09,2.285400570525911e-18,2
