# mesh name: boxMesh_2
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,4.402408790225935e-09,1.938120315625858e-17,1
0,0,1,1.20154847629656e-08,5.360543651740138e-17,3
0,0,2,6.773128627299291e-09,2.089272736370665e-17,3
0,0,3,1.595664178955007e-09,1.758757084358277e-18,2
0,0,4,0,0,0
0,0,5,0,0,0
0,0,6,4.507413485499576e-10,1.732849991842457e-19,2
0,0,7,3.866038298358208e-09,8.145529089093251e-18,2
0,0,8,2.028416229747974e-09,3.297812788759148e-18,2
0,0,9,4.951863644096744e-09,1.19537996542008e-17,5
0,0,10,1.190106324089936e-08,3.643306434136e-17,4
0,0,11,1.379175291043004e-08,4.4040350081424e-17,5
0,0,12,5.849093994487179e-09,1.265904505486697e-17,4
0,0,13,2.192502937177612e-08,1.238607242654661e-16,6
0,0,14,1.944445279617061e-08,7.70961937741621e-17,6
0,0,15,3.600468775975633e-08,1.424085480826123e-16,14
0,0,16,3.002868866336264e-08,1.14186955526484e-16,10
0,0,17,2.878497922492457e-08,9.917131590335565e-17,10
0,0,18,2.218298849423163e-08,7.076956041150396e-17,11
0,0,19,3.207848954491349e-08,1.430879385852223e-16,13
0,0,20,4.026808174481164e-08,1.383645194887502e-16,15
0,0,21,5.785967574552733e-08,2.077454115890561e-16,21
0,0,22,7.464124953543274e-08,2.894387675543249e-16,37
0,0,23,1.404521817632893e-07,7.394630480418555e-16,45
0,0,24,1.773792002737804e-07,8.892761201803975e-16,55
0,0,25,2.179812963986052e-07,1.000693889963444e-15,74
0,0,26,2.811358254266938e-07,1.55842162738804e-15,81
0,0,27,3.148097442706895e-07,1.600132742868665e-15,92
0,0,28,2.390079963400059e-07,9.92508532253158e-16,85
0,0,29,3.057164255757478e-07,1.503027726188244e-15,99
0,0,30,3.67965986240462e-07,1.957470271976922e-15,108
0,0,31,3.244933565534167e-07,1.640168796011157e-15,102
0,0,32,3.576217683343776e-07,1.847245346753963e-15,114
0,0,33,3.994182996823081e-07,1.854014900320637e-15,127
0,0,34,3.892940421345887e-07,1.896492388834879e-15,128
0,0,35,4.27200282450664e-07,2.028754157781516e-15,132
0,0,36,3.237272782259151e-07,1.630754074937458e-15,109
0,0,37,2.757480655865502e-07,1.252721541947605e-15,98
0,0,38,3.572767421719918e-07,1.841725923178824e-15,115
0,0,39,3.879962539040878e-07,1.886186714548081e-15,121
0,0,40,3.362202860910331e-07,1.47279155275349e-15,115
0,0,41,3.533881659284385e-07,1.893735531782207e-15,104
0,0,42,3.691592250996785e-07,1.941937017042294e-15,112
0,0,43,3.273549902695691e-07,1.546180516113858e-15,115
0,0,44,3.474660691433457e-07,1.555790397626641e-15,113
0,0,45,4.07026400371047e-07,1.857728652831194e-15,133
0,0,46,3.49711668746913e-07,1.58927670403701e-15,112
0,0,47,3.776072484351858e-07,1.736392228545074e-15,121
0,0,48,3.714515079636283e-07,1.725326265879159e-15,130
0,0,49,4.206255053449773e-07,2.021396465781537e-15,138
0,0,50,3.619142103477792e-07,1.557391118363313e-15,134
0,0,51,4.376980119570342e-07,2.248479877148471e-15,127
0,0,52,3.505625365897802e-07,1.709532356279275e-15,107
0,0,53,3.3310172750451e-07,1.564306032112866e-15,111
0,0,54,3.861899548600265e-07,1.849985439920481e-15,115
0,0,55,4.124607013842237e-07,2.001740311737109e-15,127
0,0,56,3.944630952193172e-07,1.904230280384633e-15,124
0,0,57,3.555035984110174e-07,1.673005589564792e-15,116
0,0,58,3.468226452311829e-07,1.700521241174937e-15,116
0,0,59,4.023797603262379e-07,2.113300018151574e-15,128
0,0,60,4.107330862235765e-07,2.038420023879851e-15,126
0,0,61,3.353009066385622e-07,1.488193961276103e-15,113
0,0,62,3.711531670346737e-07,1.614543041423192e-15,131
0,0,63,4.260918861007853e-07,2.013663679205829e-15,137
0,0,64,4.600891468745825e-07,2.377012400540198e-15,134
0,0,65,3.171786800746768e-07,1.392923312404321e-15,120
0,0,66,3.85227173848679e-07,1.714168056753557e-15,133
0,0,67,3.640047014874361e-07,1.761702459999527e-15,113
0,0,68,4.017963766988473e-07,2.22802886313765e-15,118
0,0,69,3.616612333898906e-07,1.782732361937258e-15,120
0,0,70,3.25935957730602e-07,1.485264557679909e-15,107
0,0,71,3.541604439809462e-07,1.640799400189133e-15,121
0,0,72,4.037259089546907e-07,2.026662976439059e-15,130
0,0,73,4.881852051586326e-07,2.60266293234054e-15,151
0,0,74,4.127100055026066e-07,1.941865161783622e-15,133
0,0,75,4.495461172886127e-07,2.48679749508717e-15,127
0,0,76,3.104066669072312e-07,1.299415201843738e-15,116
0,0,77,4.281534202885914e-07,2.067496928946155e-15,136
0,0,78,3.537236082081918e-07,1.509997952806506e-15,130
0,0,79,3.93779771394422e-07,1.811663811957211e-15,133
0,0,80,3.855155000901902e-07,1.728028663522823e-15,128
0,0,81,3.974242419131034e-07,2.093759306844469e-15,118
0,0,82,3.904683593281804e-07,1.797851865646987e-15,124
0,0,83,3.63358658726331e-07,1.821927012410387e-15,117
0,0,84,4.070128972785591e-07,1.944352231969919e-15,121
0,0,85,3.247235418164029e-07,1.484628103721633e-15,111
0,0,86,3.410771374801013e-07,1.656109209054122e-15,105
0,0,87,3.850465531249269e-07,1.932596448698182e-15,112
0,0,88,2.895466206794188e-07,1.323579523644684e-15,101
0,0,89,4.0054772989292e-07,2.123959178087994e-15,120
0,0,90,3.835107471893122e-07,1.941746983682792e-15,125
0,0,91,3.759133300682344e-07,1.847829629112196e-15,119
0,0,92,4.134372031471876e-07,2.175431858604404e-15,120
0,0,93,3.278836690928211e-07,1.62213583394162e-15,99
0,0,94,3.188190446082139e-07,1.656045282036205e-15,110
0,0,95,3.900083384389561e-07,1.883794865616173e-15,111
