#y[keV/um],r(y),stdevr(y)
0.010900,1.0100,0.77100
0.011200,1.0100,0.77100
0.011400,1.0100,0.77100
0.011700,1.0100,0.77100
0.012000,1.0100,0.77100
0.012200,1.0100,0.77100
0.012500,1.0100,0.75833
0.012800,1.0100,0.75200
0.013100,1.0100,0.75200
0.013400,1.0100,0.75200
0.013700,1.0100,0.75200
0.014100,1.0100,0.75200
0.014400,1.0100,0.73300
0.014700,1.0100,0.73300
0.015000,1.0100,0.73300
0.015400,1.0100,0.73300
0.015800,1.0100,0.73300
0.016100,1.0100,0.73300
0.016500,1.0100,0.73300
0.016900,1.0100,0.71400
0.017300,1.0100,0.71400
0.017700,1.0100,0.71400
0.018100,1.0100,0.71400
0.018500,1.0100,0.71400
0.018900,1.0100,0.71400
0.019400,1.0100,0.71400
0.019800,1.0100,0.71400
0.020300,1.0100,0.69500
0.020700,1.0100,0.69500
0.021200,1.0100,0.69500
0.021700,1.0100,0.69500
0.022200,1.0100,0.69500
0.022700,1.0100,0.69500
0.023200,1.0100,0.69500
0.023800,1.0100,0.69500
0.024300,1.0100,0.69500
0.024900,1.0100,0.69417
0.025500,1.0100,0.69400
0.026100,1.0100,0.69400
0.026700,1.0100,0.71300
0.027300,1.0100,0.71300
0.027900,1.0100,0.71300
0.028500,1.0100,0.71300
0.029200,1.0100,0.71300
0.029900,1.0100,0.71300
0.030600,1.0100,0.71300
0.031300,1.0100,0.71300
0.032000,1.0100,0.73200
0.032700,1.0100,0.73200
0.033500,1.0100,0.73200
0.034300,1.0100,0.73200
0.035100,1.0100,0.73200
0.035900,1.0100,0.73200
0.036700,1.0100,0.73200
0.037600,1.0100,0.73200
0.038400,1.0100,0.73200
0.039300,1.0100,0.75100
0.040200,1.0100,0.75100
0.041200,1.0100,0.75100
0.042100,1.0100,0.75100
0.043100,1.0100,0.75100
0.044100,1.0100,0.77000
0.045100,1.0100,0.77000
0.046100,1.0100,0.77000
0.047200,1.0100,0.77000
0.048300,1.0100,0.77000
0.049400,1.0100,0.77000
0.050600,1.0100,0.77000
0.051700,1.0100,0.77000
0.052900,1.0100,0.77000
0.054200,1.0100,0.78900
0.055400,1.0100,0.78900
0.056700,1.0100,0.78900
0.058000,1.0100,0.78900
0.059300,1.0100,0.78900
0.060700,1.0100,0.78900
0.062100,1.0100,0.78900
0.063500,1.0100,0.78900
0.065000,1.0100,0.78900
0.066500,1.0100,0.80800
0.068100,1.0300,0.80800
0.069600,1.0300,0.80800
0.071200,1.0300,0.80800
0.072900,1.0300,0.80800
0.074600,1.0300,0.80800
0.076300,1.0300,0.80800
0.078100,1.0300,0.80800
0.079900,1.0300,0.80800
0.081700,1.0300,0.80800
0.083600,1.0300,0.82700
0.085500,1.0500,0.82700
0.087500,1.0500,0.82700
0.089500,1.0500,0.82700
0.091600,1.0500,0.82700
0.093700,1.0500,0.82700
0.095900,1.0500,0.82700
0.098100,1.0500,0.82700
0.10000,1.0500,0.82700
0.10300,1.0500,0.84600
0.10500,1.0500,0.84600
0.10800,1.0700,0.84600
0.11000,1.0700,0.84600
0.11300,1.0700,0.84600
0.11500,1.0700,0.84600
0.11800,1.0700,0.84600
0.12100,1.0700,0.84600
0.12300,1.0700,0.84600
0.12600,1.0700,0.84600
0.12900,1.0700,0.86500
0.13200,1.0700,0.86500
0.13500,1.0900,0.86500
0.13800,1.0900,0.86433
0.14100,1.0900,0.86400
0.14500,1.0900,0.86400
0.14800,1.0900,0.88325
0.15100,1.0900,0.88300
0.15500,1.0900,0.88300
0.15900,1.0900,0.88300
0.16200,1.0900,0.88300
0.16600,1.0900,0.88300
0.17000,1.1100,0.88300
0.17400,1.1100,0.90200
0.17800,1.1100,0.90200
0.18200,1.1100,0.90200
0.18600,1.1100,0.90200
0.19000,1.1100,0.90200
0.19500,1.1100,0.90200
0.19900,1.1100,0.92100
0.20400,1.1100,0.92100
0.20900,1.1100,0.92100
0.21300,1.1100,0.92100
0.21800,1.1100,0.92100
0.22300,1.1100,0.92100
0.22900,1.1100,0.92100
0.23400,1.1100,0.94000
0.23900,1.1100,0.94000
0.24500,1.1100,0.94000
0.25100,1.1100,0.94000
0.25600,1.1100,0.94000
0.26200,1.1100,0.94000
0.26800,1.1100,0.95900
0.27500,1.1100,0.95900
0.28100,1.1100,0.95900
0.28700,1.1100,0.95900
0.29400,1.1100,0.95900
0.30100,1.0900,0.95900
0.30800,1.0900,0.95900
0.31500,1.0900,0.95900
0.32200,1.0900,0.95900
0.33000,1.0900,0.95900
0.33700,1.0900,0.95900
0.34500,1.0900,0.97800
0.35300,1.0900,0.97800
0.36100,1.0900,0.97800
0.37000,1.0900,0.97800
0.37800,1.0900,0.97800
0.38700,1.0900,0.97800
0.39600,1.0900,0.97800
0.40500,1.0900,0.99700
0.41400,1.0900,0.99700
0.42400,1.0900,0.99700
0.43400,1.0900,0.99700
0.44400,1.0900,0.99700
0.45400,1.0900,0.99700
0.46400,1.0900,0.99700
0.47500,1.0900,0.99700
0.48600,1.0900,0.99700
0.49700,1.0900,0.99700
0.50900,1.0700,0.99700
0.52100,1.0700,0.99700
0.53300,1.0700,0.99700
0.54500,1.0700,0.99700
0.55800,1.0700,0.97958
0.57100,1.0700,0.97800
0.58400,1.0700,0.97800
0.59700,1.0700,0.97800
0.61100,1.0700,0.96171
0.62500,1.0700,0.95814
0.64000,1.0700,0.95800
0.65500,1.0700,0.95800
0.67000,1.0700,0.95800
0.68500,1.0700,0.94153
0.70100,1.0700,0.93900
0.71700,1.0500,0.93900
0.73400,1.0500,0.93900
0.75100,1.0500,0.92224
0.76800,1.0500,0.92000
0.78600,1.0500,0.92000
0.80400,1.0500,0.92000
0.82300,1.0500,0.92000
0.84200,1.0500,0.90300
0.86100,1.0300,0.90100
0.88100,1.0300,0.90100
0.90200,1.0300,0.90100
0.92200,1.0300,0.88471
0.94400,1.0300,0.88200
0.96600,1.0300,0.88200
0.98800,1.0300,0.88200
1.0100,1.0100,0.88200
1.0300,1.0100,0.86933
1.0600,1.0100,0.86300
1.0800,1.0100,0.86300
1.1100,1.0100,0.86300
1.1300,1.0100,0.86300
1.1600,1.0100,0.86300
1.1900,1.0100,0.84400
1.2100,1.0100,0.84400
1.2400,1.0100,0.84400
1.2700,1.0100,0.84400
1.3000,1.0100,0.84400
1.3300,1.0100,0.82500
1.3600,1.0100,0.82500
1.3900,1.0100,0.82425
1.4200,1.0100,0.82400
1.4600,1.0100,0.82400
1.4900,1.0100,0.82400
1.5300,1.0100,0.82400
1.5600,1.0100,0.82400
1.6000,1.0100,0.82400
1.6300,1.0100,0.82400
1.6700,1.0100,0.82400
1.7100,1.0100,0.82400
1.7500,1.0100,0.82400
1.7900,1.0100,0.82400
1.8300,1.0100,0.82400
1.8700,1.0100,0.82400
1.9200,1.0100,0.82400
1.9600,1.0100,0.80880
2.0100,1.0100,0.80500
2.0500,1.0100,0.80500
2.1000,1.0100,0.80711
2.1500,1.0100,0.80975
2.2000,1.0100,0.81239
2.2500,1.0100,0.81503
2.3000,1.0100,0.81767
2.3600,1.0100,0.82083
2.4100,1.0100,0.82347
2.4700,1.0100,0.82400
2.5200,1.0100,0.82400
2.5800,1.0100,0.82400
2.6400,1.0100,0.84300
2.7000,1.0100,0.84300
2.7600,1.0100,0.84300
2.8300,1.0100,0.84300
2.8900,1.0100,0.84300
2.9600,1.0100,0.84300
3.0300,1.0100,0.84300
3.1000,1.0100,0.84300
3.1700,1.0100,0.84300
3.2400,1.0100,0.84300
3.3200,1.0100,0.84300
3.4000,1.0100,0.86200
3.4700,1.0100,0.86200
3.5600,1.0100,0.86200
3.6400,1.0100,0.86200
3.7200,1.0100,0.86200
3.8100,1.0100,0.86200
3.9000,1.0100,0.86200
3.9900,1.0100,0.88100
4.0800,1.0100,0.88100
4.1700,1.0100,0.88100
4.2700,0.99300,0.88100
4.3700,0.99300,0.88100
4.4700,0.99300,0.88100
4.5700,0.99300,0.88100
4.6800,0.99300,0.90000
4.7900,0.99300,0.90000
4.9000,0.99300,0.90000
5.0100,0.99300,0.90000
5.1300,0.99300,0.90000
5.2400,0.99300,0.88417
5.3700,0.99300,0.88100
5.4900,0.99300,0.88015
5.6200,0.99300,0.88000
5.7500,0.99300,0.86246
5.8800,0.99300,0.86100
6.0200,0.97400,0.86100
6.1600,0.97400,0.86100
6.3000,0.97400,0.84453
6.4400,0.97400,0.84200
6.5900,0.97400,0.84200
6.7400,0.97400,0.84200
6.9000,0.97400,0.82538
7.0600,0.97400,0.82300
7.2200,0.97400,0.80638
