"","alpha_x","beta_x","r_nucleus","D_t","specific_energy","let","alpha","beta","alpha_sigma","beta_sigma","cell","particle","RBE_alpha"
"1",0.54,0.062,6.5,9.5,172.698,0.5,0.402169,0.0692349,0,0,"AG01522","H",0.744757407407407
"2",0.54,0.062,6.5,9.5,143.534,0.567824,0.422351,0.0681691,0,0,"AG01522","H",0.782131481481481
"3",0.54,0.062,6.5,9.5,119.965,0.644847,0.443462,0.0670538,0,0,"AG01522","H",0.821225925925926
"4",0.54,0.062,6.5,9.5,100.952,0.732319,0.465307,0.0658991,0,0,"AG01522","H",0.86167962962963
"5",0.54,0.062,6.5,9.5,85.4798,0.831656,0.4879,0.0647041,0,0,"AG01522","H",0.903518518518518
"6",0.54,0.062,6.5,9.5,72.4215,0.944468,0.511701,0.0634445,0,0,"AG01522","H",0.947594444444444
"7",0.54,0.062,6.5,9.5,61.3953,1.07258,0.536965,0.0621067,0,0,"AG01522","H",0.99437962962963
"8",0.54,0.062,6.5,9.5,52.3329,1.21808,0.563288,0.0607117,0,0,"AG01522","H",1.04312592592593
"9",0.54,0.062,6.5,9.5,44.5844,1.3833,0.591279,0.0592272,0,0,"AG01522","H",1.09496111111111
"10",0.54,0.062,6.5,9.5,38.033,1.57095,0.620944,0.0576526,0,0,"AG01522","H",1.1498962962963
"11",0.54,0.062,6.5,9.5,32.4783,1.78404,0.652489,0.0559766,0,0,"AG01522","H",1.20831296296296
"12",0.54,0.062,6.5,9.5,27.7871,2.02604,0.685886,0.0542004,0,0,"AG01522","H",1.27015925925926
"13",0.54,0.062,6.5,9.5,23.8148,2.30087,0.72134,0.0523127,0,0,"AG01522","H",1.33581481481481
"14",0.54,0.062,6.5,9.5,20.3604,2.61297,0.759827,0.0502614,0,0,"AG01522","H",1.40708703703704
"15",0.54,0.062,6.5,9.5,17.41,2.96741,0.801198,0.0480538,0,0,"AG01522","H",1.4837
"16",0.54,0.062,6.5,9.5,14.8921,3.36994,0.841033,0.0459227,0,0,"AG01522","H",1.55746851851852
"17",0.54,0.062,6.5,9.5,12.7468,3.82706,0.867543,0.0444902,0,0,"AG01522","H",1.60656111111111
"18",0.54,0.062,6.5,9.5,10.8957,4.34619,0.896318,0.0429324,0,0,"AG01522","H",1.65984814814815
"19",0.54,0.062,6.5,9.5,9.32672,4.93574,0.927616,0.0412347,0,0,"AG01522","H",1.71780740740741
"20",0.54,0.062,6.5,9.5,7.95205,5.60526,0.962646,0.039332,0,0,"AG01522","H",1.78267777777778
"21",0.54,0.062,6.5,9.5,6.79001,6.36559,1.00054,0.0372691,0,0,"AG01522","H",1.85285185185185
"22",0.54,0.062,6.5,9.5,5.79218,7.22907,1.04226,0.0349933,0,0,"AG01522","H",1.93011111111111
"23",0.54,0.062,6.5,9.5,4.93205,8.20967,1.09019,0.032377,0,0,"AG01522","H",2.01887037037037
"24",0.54,0.062,6.5,9.5,4.20451,9.32329,1.14263,0.0295089,0,0,"AG01522","H",2.11598148148148
"25",0.54,0.062,6.5,9.5,3.56668,10.588,1.20264,0.0262237,0,0,"AG01522","H",2.22711111111111
"26",0.54,0.062,6.5,9.5,3.02632,12.0242,1.26986,0.02254,0,0,"AG01522","H",2.35159259259259
"27",0.54,0.062,6.5,9.5,2.56754,13.6552,1.34499,0.0184187,0,0,"AG01522","H",2.49072222222222
"28",0.54,0.062,6.5,9.5,2.16897,15.5075,1.42846,0.013836,0,0,"AG01522","H",2.6452962962963
"29",0.54,0.062,6.5,9.5,1.81094,17.6111,1.52027,0.00879234,0,0,"AG01522","H",2.81531481481481
"30",0.54,0.062,6.5,9.5,1.48675,20,1.60229,0.00424515,0,0,"AG01522","H",2.9672037037037
"31",0.11,0.06,6.5,8,172.698,0.5,0.127549,0.0588984,0,0,"U87","H",1.15953636363636
"32",0.11,0.06,6.5,8,143.534,0.567824,0.138268,0.0582273,0,0,"U87","H",1.25698181818182
"33",0.11,0.06,6.5,8,119.965,0.644847,0.149487,0.0575248,0,0,"U87","H",1.35897272727273
"34",0.11,0.06,6.5,8,100.952,0.732319,0.161175,0.0567928,0,0,"U87","H",1.46522727272727
"35",0.11,0.06,6.5,8,85.4798,0.831656,0.173273,0.0560348,0,0,"U87","H",1.57520909090909
