DATA 6

Energy He     B       H       Li      Be
50    0.03    0.04    0.02    0.00    0.01
100   0.06    0.12    0.03    0.01    0.02
120   0.08    0.15    0.04    0.02    0.03
170   0.15    0.08    0.07    0.03    0.02
220   0.20    0.01    0.08    0.04    0.02
260   0.23    0.00    0.10    0.03    0.01
280   0.19    0.00    0.08    0.02    0.00
320   0.11    0.00    0.07    0.01    0.00
350   0.03    0.00    0.04    0.00    0.00
400   0.01    0.00    0.02    0.00    0.00
460   0.00    0.00    0.01    0.00    0.00


 
