Data from: EADS UK. 20.02.2004

SPE envelope  fluence of worst week Oct 1989 CREME96 (online) and Aug 1972 (code from D Henderyickx) models
Energy. [MeV/nuc]
Integral Flux. [particles/(m2-s-sr-MeV/nuc)]

Z=2

Energy	Flux
1.0023	73978.04958
1.0162	73312.97597
1.0304	72644.52627
1.0447	71982.29239
1.0592	71321.73849
1.0739	70663.03059
1.0888	70006.34445
1.104	69347.50091
1.1193	68695.30307
1.1349	68041.36837
1.1506	67394.235
1.1666	66745.8079
1.1828	66100.33603
1.1993	65454.02391
1.2159	64814.8387
1.2328	64175.20666
1.25	63535.38079
1.2674	62899.24465
1.285	62266.89147
1.3028	61638.44547
1.3209	61010.53901
1.3393	60383.37104
1.3579	59760.51929
1.3768	59138.77915
1.3959	58521.57853
1.4153	57905.81775
1.435	57291.67935
1.4549	56682.42063
1.4751	56075.11406
1.4956	55469.92206
1.5164	54866.99968
1.5375	54266.51621
1.5589	53668.63449
1.5805	53076.25338
1.6025	52484.01519
1.6248	51894.80523
1.6473	51311.35297
1.6702	50728.60204
1.6934	50149.26898
1.717	49571.02052
1.7408	48998.89198
1.765	48428.17946
1.7896	47859.07083
1.8144	47296.30944
1.8397	46733.2156
1.8652	46176.61395
1.8911	45622.23695
1.9174	45070.20697
1.9441	44520.69685
1.9711	43975.90393
1.9985	43433.90718
2.0263	42894.85262
2.0544	42360.77952
2.083	41828.0179
2.1119	41300.4208
2.1413	40774.45963
2.171	40253.82839
2.2012	39735.13254
2.2318	39220.2357
2.2628	38709.23857
2.2942	38202.23818
2.3261	37697.74329
2.3585	37195.90587
2.3912	36699.90999
2.4245	36205.31268
2.4582	35715.21988
2.4923	35229.701
2.527	34746.03145
2.5621	34267.11826
2.5977	33791.68281
2.6338	33319.83283
2.6704	32851.67224
2.7075	32387.30137
2.7451	31926.80946
2.7833	31469.08796
2.822	31015.4437
2.8612	30565.95171
2.9009	30120.68808
2.9412	29678.62935
2.9821	29239.88657
3.0236	28804.56265
3.0656	28373.79099
3.1082	27946.61883
3.1514	27523.13464
3.1952	27103.42811
3.2396	26687.58154
