Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

2     	0.0600	0.0600	71	0x1.c87199d896f49p-18	66	0x1.6d9cb14ce0227p+5	1	37887240	gamma	gamma electron 
3     	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	56	0x1.6be7629524c4dp-18	57	0x1.810b53d32af4dp+5	1	37887240	gamma	gamma electron 
4     	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	36	0x1.0fc681cddc051p-15	48	0x1.d08fd8f4499c8p+5	1	37887240	gamma	gamma electron 
5     	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	45	0x1.1ca3df0ce6e91p-17	52	0x1.4f32a8dcfe03ap+5	1	37887240	gamma	gamma electron 
6     	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	64	0x1.90ce738c28274p-17	75	0x1.ac53785bee809p+5	1	37887240	gamma	gamma electron 
10    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	47	0x1.2b9c112fb4887p-15	55	0x1.99baf1d928cafp+5	1	37887240	gamma	gamma electron 
19    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	46	0x1.5c708a4f3568ap-18	45	0x1.5c0683791cd9ap+5	1	37887240	gamma	gamma electron 
20    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	64	0x1.ff5f7cc41061ap-17	37	0x1.5cdc6db21038fp+5	1	37887240	gamma	gamma electron 
22    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	71	0x1.74df48be5dbcp-18	39	0x1.0ca945694b727p+5	1	37887240	gamma	gamma electron 
25    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	71	0x1.539f61b892e0fp-13	57	0x1.5d885dcbef73ap+5	1	37887240	gamma	gamma electron 
26    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	56	0x1.301d939380a61p-15	44	0x1.58050ef9df603p+5	1	37887240	gamma	gamma electron 
27    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e9193p-6	29	0x1.1d8f6ca2a337dp-17	26	0x1.dd9f950690e9dp+5	1	37887240	gamma	gamma electron 
29    	0x1.eb851eb851eb9p-5	0x1.e28b0f931afa7p-6	29	0x1.b554d982131e6p-8	138	0x1.5f73220590baep+5	1	37887240	gamma	gamma electron 
32    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	56	0x1.23f1957bf7beap-17	81	0x1.767ca160a5e56p+5	1	37887240	gamma	gamma electron 
35    	0x1.eb851eb851eb9p-5	0x1.fe177bfa0239cp-6	79	0x1.86b65a664695ap-16	40	0x1.96a8eec4612c8p+5	1	37887240	e-	electron 
36    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91933p-6	36	0x1.586ced0fb47ccp-16	30	0x1.5408b8c687193p+5	1	37887240	gamma	gamma electron 
44    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91931p-6	29	0x1.f3f58bcef8bdp-17	29	0x1.39d9fb49c6e54p+5	1	37887240	gamma	gamma electron 
49    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	55	0x1.737bd1b2fbf8ep-18	58	0x1.3408a58cd02b4p+5	1	37887240	gamma	gamma electron 
55    	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91935p-6	31	0x1.9fa882246e15p-17	30	0x1.75aad860c66ep+5	1	37887240	gamma	gamma electron 
56    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	65	0x1.056c7fd05fd2ap-16	57	0x1.56f1fe786a0cp+5	1	37887240	gamma	gamma electron 
58    	0x1.eb851eb851eb9p-5	0x1.d2b19f0ac649bp-7	40	0x1.b307dda4a8afcp-11	16	0x1.9dfc6898aa32ep+5	1	37887240	e-	electron 
59    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	65	0x1.ed451fa417a1p-18	65	0x1.9ece0cd2b7d8fp+5	1	37887240	gamma	gamma electron 
60    	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dc6p-6	24	0x1.6759aff20ed67p-17	44	0x1.7a40535c88b5ap+5	1	37887240	gamma	gamma electron 
67    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	57	0x1.68718797c1ea7p-18	57	0x1.4acc9f1027acp+5	1	37887240	gamma	gamma electron 
68    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	53	0x1.341dfcac2d952p-10	68	0x1.650688fb1c75cp+5	1	37887240	gamma	gamma electron 
72    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	73	0x1.ef65bde4ee651p-15	43	0x1.71583b464db15p+5	1	37887240	gamma	gamma electron 
73    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	58	0x1.4ee2b044d94fep-18	50	0x1.9dcfe3fa5674cp+5	1	37887240	gamma	gamma electron 
75    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	58	0x1.8e18bd17f3f8cp-18	67	0x1.7501aa5f09ee4p+5	1	37887240	gamma	gamma electron 
76    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	46	0x1.775a61cdf894fp-18	59	0x1.6a5fd74a81812p+5	1	37887240	gamma	gamma electron 
81    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	60	0x1.650f9d4c979b4p-18	71	0x1.717c0304d758fp+5	1	37887240	gamma	gamma electron 
83    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	60	0x1.a8ded9cd59c56p-10	61	0x1.95eab69904f8p+5	1	37887240	gamma	gamma electron 
84    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	46	0x1.36162c5dc365bp-17	53	0x1.5ed41a0e1e62fp+5	1	37887240	gamma	gamma electron 
88    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebcp-5	68	0x1.4ec63b73826bfp-18	61	0x1.77181c1237a15p+5	1	37887240	gamma	gamma electron 
89    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	52	0x1.8437c32a82d86p-18	68	0x1.d3c4d61259839p+5	1	37887240	gamma	gamma electron 
93    	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	77	0x1.b77821d3aa2adp-15	70	0x1.6a6d5ff3617d5p+5	1	37887240	gamma	gamma electron 
96    	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	46	0x1.cf2b896b123e3p-18	46	0x1.98734a1648463p+5	1	37887240	gamma	gamma electron 
98    	0x1.eb851eb851eb9p-5	0x1.344a3e79f7cd8p-6	45	0x1.80156ff753093p-12	14	0x1.0031fcc78f692p+5	1	37887240	e-	electron 
101   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	74	0x1.d09a024ec49c4p-10	82	0x1.782c782c3d454p+5	1	37887240	gamma	gamma electron 
102   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	22	0x1.5460a848bec4ap-18	25	0x1.709bf90bc2a4bp+5	1	37887240	gamma	gamma electron 
