Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
Hit#    X, mm   Y, mm   Z, mm
0     	3.386	17.079	-330.736
1	11.121	-3.258	-328.984
2	-8.297	-8.354	-329.028
3	2.082	3.556	-327.802
4	0.893	-12.367	-329.182
5	4.168	-8.218	-328.483
6	-2.030	1.942	-327.712
7	-4.353	-5.396	-328.112
8	-2.071	-14.320	-329.755
9	14.175	3.054	-329.764
10	4.761	-5.339	-328.144
11	-13.066	-10.697	-330.546
12	-7.056	0.812	-328.136
13	17.586	-11.203	-332.149
14	0.262	-14.228	-329.684
15	-7.419	-15.202	-330.557
16	2.835	-3.358	-327.825
17	-1.856	9.073	-328.491
18	-13.357	9.034	-330.282
19	0.825	-9.346	-328.514
20	12.011	17.625	-332.369
21	-22.031	-4.777	-332.956
22	-18.191	-11.037	-332.345
23	-20.093	5.171	-332.102
24	-4.502	13.735	-329.750
25	4.452	14.826	-330.069
26	10.292	-3.927	-328.852
27	11.579	-8.414	-329.708
28	-3.092	-19.170	-331.524
29	12.402	8.522	-329.932
30	12.546	-3.407	-329.339
31	-3.604	19.444	-331.675
32	-17.462	-6.081	-331.148
33	13.464	-9.301	-330.364
34	13.885	6.869	-330.073
35	-9.597	-0.762	-328.561
36	-18.412	-6.020	-331.505
37	10.112	-16.971	-331.666
38	-3.360	-12.857	-329.417
39	8.867	0.645	-328.424
40	-11.048	14.579	-331.070
41	-8.297	8.848	-329.115
42	-17.109	8.279	-331.355
43	-4.550	-3.401	-327.954
44	4.703	-19.677	-331.872
45	-18.878	-1.004	-331.313
46	-7.273	6.967	-328.650
47	-1.652	8.650	-328.409
48	-2.445	14.375	-329.789
49	-17.188	5.992	-331.035
50	3.113	-19.638	-331.721
51	15.273	13.059	-331.813
52	4.523	-13.848	-329.785
53	-1.071	-3.969	-327.801
54	-0.060	-12.884	-329.308
55	8.770	0.181	-328.403
56	-5.914	4.560	-328.190
57	8.027	8.357	-328.984
58	0.504	13.757	-329.550
59	4.847	-20.282	-332.150
60	-13.707	7.826	-330.169
61	7.116	19.253	-332.003
62	-8.504	-1.685	-328.385
63	7.502	-11.059	-329.437
64	10.467	15.796	-331.331
