Energy (keV)  x (mm)    y (mm)    z (mm)

   485.727   599.484    15.243    23.253
   371.466   599.484   -16.460   -15.268
    36.365   599.484    18.159   -18.523
   470.381   599.484     3.447     5.493
   451.996   599.484   -19.986    -1.455
Energy (keV)  x (mm)    y (mm)    z (mm)

  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
Energy (keV)  x (mm)    y (mm)    z (mm)

  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
  1000.000     0.000     0.000   -32.500
Energy (keV)  x (mm)    y (mm)    z (mm)

Energy (keV)  x (mm)    y (mm)    z (mm)

Energy (keV)  x (mm)    y (mm)    z (mm)

Energy (keV)  x (mm)    y (mm)    z (mm)

Energy (keV)  x (mm)    y (mm)    z (mm)

  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
  1000.00020267143300.719     0.000   -32.500
Energy (keV)  x (mm)    y (mm)    z (mm)

Energy (keV)  x (mm)    y (mm)    z (mm)

