Results from running of: 10 events
results for neutron:
Volume name               |  Histo. Ent.| sum hi.ent*w|   Collisions|    sum col*w|  AV E/ent.Tr|     AV E/col|         W*SL|       W*SL*E|  importance | av w/tr rel.| av w/co rel.|
imp_world_phys........... |           4 |           4 |           0 |           0 |     12.3622 |           0 |        0.05 |          15 |           1 |           1 |          -1 |
cell_02.................. |          16 |          16 |          40 |          40 |     190.708 |     17.0003 |     2451.31 |      281918 |           1 |           1 |           1 |
cell_03.................. |          18 |          18 |          67 |          67 |     150.002 |     13.8714 |     3677.08 |      269263 |           1 |           1 |           1 |
cell_04.................. |          20 |          20 |          87 |          87 |     119.229 |     17.2854 |     4439.62 |      262688 |           1 |           1 |           1 |
cell_05.................. |          20 |          20 |          44 |          44 |     111.299 |     13.1956 |     2941.87 |      217783 |           1 |           1 |           1 |
cell_06.................. |          17 |          17 |          47 |          47 |     113.032 |     8.87043 |     1874.43 |      177667 |           1 |           1 |           1 |
cell_07.................. |          13 |          13 |          23 |          23 |     118.009 |     15.0347 |     1048.74 |      153647 |           1 |           1 |           1 |
cell_08.................. |           9 |           9 |          28 |          28 |     169.331 |     1.92869 |     1432.29 |      154720 |           1 |           1 |           1 |
cell_09.................. |           8 |           8 |           6 |           6 |     190.295 |     10.7831 |     732.444 |      153260 |           1 |           1 |           1 |
cell_10.................. |          12 |          12 |          26 |          26 |     128.427 |     5.15175 |     1228.19 |     82952.4 |           1 |           1 |           1 |
cell_11.................. |          11 |         5.5 |          46 |          23 |     138.628 |     14.1481 |     1323.87 |     81482.6 |           2 |           1 |           1 |
cell_12.................. |          27 |           7 |         127 |          33 |     92.8543 |     14.6989 |     1529.88 |     77022.9 |           4 |     1.03704 |     1.03937 |
cell_13.................. |          51 |       6.625 |         267 |      35.125 |     84.4156 |     17.4368 |     1492.75 |     68934.3 |           8 |     1.03922 |     1.05243 |
cell_14.................. |          85 |       5.375 |         516 |     32.5625 |     84.9887 |     15.4597 |     1326.34 |       59237 |          16 |     1.01176 |     1.00969 |
cell_15.................. |         128 |     4.03125 |         812 |      25.625 |     91.6857 |     14.4331 |     1013.31 |     49252.2 |          32 |     1.00781 |     1.00985 |
cell_16.................. |         253 |     3.95312 |        1156 |     18.0625 |     73.6931 |     15.2101 |     843.916 |     37723.9 |          64 |           1 |           1 |
cell_17.................. |         379 |     2.96875 |        1722 |     13.4766 |     82.0268 |     13.8631 |     628.943 |     29957.3 |         128 |     1.00264 |     1.00174 |
cell_18.................. |         570 |     2.24219 |        2919 |     11.5391 |     93.7382 |     16.8961 |     537.232 |     26930.3 |         256 |     1.00702 |     1.01199 |
cell_19.................. |         785 |     1.53711 |        4029 |     7.88867 |     110.746 |     19.8474 |      292.73 |     9339.78 |         512 |     1.00255 |     1.00248 |

results for gamma:
Volume name               |  Histo. Ent.| sum hi.ent*w|   Collisions|    sum col*w|  AV E/ent.Tr|     AV E/col|         W*SL|       W*SL*E|
imp_world_phys........... |         106 |     1.58594 |           0 |           0 |     4.65191 |           0 |           0 |           0 |
cell_02.................. |           1 |           1 |           0 |           0 |     3.06123 |           0 |     111.575 |     341.558 |
cell_03.................. |           3 |           3 |           6 |           6 |      1.9191 |    0.748427 |     514.375 |     5731.57 |
cell_04.................. |           9 |           9 |          75 |          75 |     7.80747 |     1.27068 |     2434.24 |     9124.82 |
cell_05.................. |          16 |          16 |          76 |          76 |    0.992956 |     0.30196 |      2421.8 |     2185.15 |
cell_06.................. |           4 |           4 |           6 |           6 |     1.28345 |    0.965956 |     362.432 |     486.864 |
cell_07.................. |           2 |           2 |           3 |           3 |     1.89343 |     1.30189 |     208.284 |     375.124 |
cell_08.................. |           4 |     1.03125 |          20 |     9.09375 |     1.45554 |    0.444268 |     289.426 |     175.301 |
cell_09.................. |          10 |    0.382812 |          37 |     1.39844 |    0.609176 |    0.264666 |     32.7521 |     17.5702 |
cell_10.................. |          16 |     1.14844 |          59 |     2.81641 |    0.853161 |    0.524829 |     93.2248 |     84.8939 |
cell_11.................. |          29 |     1.78516 |         114 |     3.63672 |     1.44827 |    0.706989 |     157.761 |     312.212 |
cell_12.................. |          44 |     2.01758 |         285 |     26.9062 |     1.35327 |     1.20924 |     747.747 |     1514.72 |
cell_13.................. |          81 |     3.83594 |         333 |     20.6738 |     3.01119 |     1.09956 |     754.293 |      2025.2 |
cell_14.................. |         105 |      3.3418 |         535 |     16.7441 |     2.54605 |     0.83723 |     627.046 |     4526.08 |
cell_15.................. |         156 |      3.5918 |         903 |     25.7695 |     9.68063 |     1.89446 |     957.292 |     7102.38 |
cell_16.................. |         187 |      4.0957 |        1214 |     29.6875 |     5.23164 |     1.03656 |     954.087 |     3258.49 |
cell_17.................. |         186 |     3.06641 |         977 |     15.1934 |     4.26103 |     1.01616 |     533.467 |     1734.87 |
cell_18.................. |         189 |     2.12109 |        1287 |     9.67383 |     2.11956 |    0.685012 |     387.615 |     1331.31 |
cell_19.................. |         118 |     1.04883 |        1039 |     6.02148 |     5.22935 |    0.998982 |     222.012 |     913.654 |
