"","alpha_x","beta_x","r_nucleus","D_t","specific_energy","let","alpha","beta","alpha_sigma","beta_sigma","cell","particle","RBE_alpha"
"1",0.34,0.03,4.5,6,172.698,0.5,0.366559,0.0277789,0,0,"ARPE19","H",1.07811470588235
"2",0.34,0.03,4.5,6,143.534,0.567824,0.36995,0.0274948,0,0,"ARPE19","H",1.08808823529412
"3",0.34,0.03,4.5,6,119.965,0.644847,0.373481,0.0271985,0,0,"ARPE19","H",1.09847352941176
"4",0.34,0.03,4.5,6,100.952,0.732319,0.377183,0.0268875,0,0,"ARPE19","H",1.10936176470588
"5",0.34,0.03,4.5,6,85.4798,0.831656,0.381082,0.0265597,0,0,"ARPE19","H",1.12082941176471
"6",0.34,0.03,4.5,6,72.4215,0.944468,0.385196,0.0262133,0,0,"ARPE19","H",1.13292941176471
"7",0.34,0.03,4.5,6,61.3953,1.07258,0.389563,0.0258451,0,0,"ARPE19","H",1.14577352941176
"8",0.34,0.03,4.5,6,52.3329,1.21808,0.394151,0.0254577,0,0,"ARPE19","H",1.15926764705882
"9",0.34,0.03,4.5,6,44.5844,1.3833,0.399037,0.0250442,0,0,"ARPE19","H",1.17363823529412
"10",0.34,0.03,4.5,6,38.033,1.57095,0.404227,0.024604,0,0,"ARPE19","H",1.18890294117647
"11",0.34,0.03,4.5,6,32.4783,1.78404,0.409758,0.0241339,0,0,"ARPE19","H",1.20517058823529
"12",0.34,0.03,4.5,6,27.7871,2.02604,0.415632,0.0236331,0,0,"ARPE19","H",1.22244705882353
"13",0.34,0.03,4.5,6,23.8148,2.30087,0.421886,0.0230983,0,0,"ARPE19","H",1.24084117647059
"14",0.34,0.03,4.5,6,20.3604,2.61297,0.428657,0.0225174,0,0,"ARPE19","H",1.26075588235294
"15",0.34,0.03,4.5,6,17.41,2.96741,0.435938,0.0218903,0,0,"ARPE19","H",1.28217058823529
"16",0.34,0.03,4.5,6,14.8921,3.36994,0.443783,0.0212116,0,0,"ARPE19","H",1.30524411764706
"17",0.34,0.03,4.5,6,12.7468,3.82706,0.452242,0.0204764,0,0,"ARPE19","H",1.33012352941176
"18",0.34,0.03,4.5,6,10.8957,4.34619,0.461521,0.0196761,0,0,"ARPE19","H",1.35741470588235
"19",0.34,0.03,4.5,6,9.32672,4.93574,0.471584,0.0188085,0,0,"ARPE19","H",1.38701176470588
"20",0.34,0.03,4.5,6,7.95205,5.60526,0.482783,0.0178416,0,0,"ARPE19","H",1.41995
"21",0.34,0.03,4.5,6,6.79001,6.36559,0.495016,0.0167837,0,0,"ARPE19","H",1.45592941176471
"22",0.34,0.03,4.5,6,5.79218,7.22907,0.508572,0.0156101,0,0,"ARPE19","H",1.4958
"23",0.34,0.03,4.5,6,4.93205,8.20967,0.523716,0.0142966,0,0,"ARPE19","H",1.54034117647059
"24",0.34,0.03,4.5,6,4.20451,9.32329,0.540468,0.0128419,0,0,"ARPE19","H",1.58961176470588
"25",0.34,0.03,4.5,6,3.56668,10.588,0.559586,0.0111813,0,0,"ARPE19","H",1.64584117647059
"26",0.34,0.03,4.5,6,3.02632,12.0242,0.58086,0.00933161,0,0,"ARPE19","H",1.70841176470588
"27",0.34,0.03,4.5,6,2.56754,13.6552,0.604272,0.00729305,0,0,"ARPE19","H",1.77727058823529
"28",0.34,0.03,4.5,6,2.16897,15.5075,0.629601,0.00508427,0,0,"ARPE19","H",1.85176764705882
"29",0.34,0.03,4.5,6,1.81094,17.6111,0.655015,0.00285629,0,0,"ARPE19","H",1.92651470588235
"30",0.34,0.03,4.5,6,1.48675,20,0.672205,0.00130159,0,0,"ARPE19","H",1.97707352941176
"31",0.34,0.03,4.5,6,21.4706,10,0.457665,0.019822,0,0,"ARPE19","He",1.34607352941176
"32",0.34,0.03,4.5,6,19.1623,10.9788,0.463369,0.0192912,0,0,"ARPE19","He",1.36285
"33",0.34,0.03,4.5,6,17.0551,12.0534,0.46945,0.0187202,0,0,"ARPE19","He",1.38073529411765
