  No.events=1000000
  X=1000 g/cm2 Fe
           T=100 GeV                           T=10000 GeV
    bc         b        k        n        p        b        k        n        p
   -.950   1015.9 155842.0       .0  80340.4   1018.8 165585.0       .0 281133.8
   -.850   1015.2 123833.1       .0  75005.4   1018.8 131898.4       .0 284400.3
   -.750   1014.3  98379.0       .0  68839.1   1018.8 105052.9       .0 285790.3
   -.650   1013.1  78139.7   1002.2  62042.4   1018.8  83661.7   1760.4 285381.4
   -.550   1011.6  62048.8    901.3  54844.3   1018.8  66618.6   1590.7 283275.9
   -.450   1009.8  49257.4    811.0  47492.3   1018.8  53041.3   1439.8 279594.9
   -.350   1007.5  39090.2    730.2  40236.1   1018.7  42226.3   1305.5 274473.0
   -.250   1004.7  31009.8    657.6  33308.3   1018.7  33612.7   1186.1 268052.0
   -.150   1001.1  24588.6    592.5  26906.0   1018.7  26753.0   1079.9 260475.6
   -.050    996.7  19486.5    534.1  21179.8   1018.7  21290.8    985.6 251883.9
    .050    991.2  15433.1    481.6  16229.7   1018.7  16941.9    901.9 242410.7
    .150    984.5  12213.2    434.6  12102.7   1018.6  13479.8    827.8 232180.2
    .250    976.1   9655.8    392.4   8790.1   1018.6  10723.9    762.4 221306.5
    .350    965.9   7624.9    354.5   6229.3   1018.6   8530.4    704.6 209892.6
    .450    953.5   6012.3    320.5   4317.9   1018.5   6784.8    653.6 198031.8
    .550    938.4   4732.2    289.7   2934.4   1018.4   5395.7    608.8 185808.4
    .650    920.3   3716.2    261.8   1959.1   1018.3   4290.5    569.3 173300.2
    .750    898.6   2910.0    236.4   1286.7   1018.2   3411.2    534.5 160580.9
    .850    873.0   2270.7    212.9    831.9   1018.1   2711.8    503.9 147723.5
    .950    843.0   1764.0    191.1    529.5   1017.9   2155.4    476.9 134803.8
   1.050    808.1   1362.6    170.7    331.4   1017.6   1712.9    452.9 121905.0
   1.150    768.2   1045.2    151.3    203.8   1017.3   1361.1    431.7 109121.5
   1.250    723.1    794.6    132.7    123.0   1017.0   1081.3    412.7  96562.6
   1.350    672.9    597.4    114.8     72.7   1016.5    858.8    395.6  84354.7
   1.450    618.4    442.8     97.6     42.1   1015.9    682.0    380.1  72639.3
   1.550    560.7    322.7     81.1     23.9   1015.1    541.4    366.0  61567.2
   1.650    501.8    230.4     65.5     13.5   1014.2    429.7    352.9  51286.6
   1.750    444.1    160.9     51.1      7.7   1013.0    340.9    340.7  41928.2
   1.850    387.1    110.4     37.8      4.6   1011.5    270.4    329.1  33591.5
   1.950    300.1     75.6     22.1      2.8   1009.6    214.3    318.0  26338.0
   2.050       .0       .0       .0       .0   1007.3    169.8    307.3  20189.6
   2.150       .0       .0       .0       .0   1004.3    134.4    296.6  15126.5
   2.250       .0       .0       .0       .0   1000.6    106.3    286.0  11085.2
   2.350       .0       .0       .0       .0    996.0     84.0    275.3   7959.3
   2.450       .0       .0       .0       .0    990.3     66.3    264.3   5611.7
   2.550       .0       .0       .0       .0    983.1     52.2    253.0   3893.8
   2.650       .0       .0       .0       .0    974.1     41.1    241.2   2663.7
   2.750       .0       .0       .0       .0    963.0     32.2    228.8   1798.5
   2.850       .0       .0       .0       .0    949.4     25.2    215.7   1199.0
   2.950       .0       .0       .0       .0    932.7     19.6    201.9    788.9
   3.050       .0       .0       .0       .0    912.4     15.2    187.2    511.9
   3.150       .0       .0       .0       .0    887.9     11.7    171.6    327.1
   3.250       .0       .0       .0       .0    859.0      8.9    155.1    205.6
   3.350       .0       .0       .0       .0    825.4      6.8    137.7    126.8
   3.450       .0       .0       .0       .0    787.7      5.1    119.8     76.7
   3.550       .0       .0       .0       .0    747.4      3.7    101.5     45.6
   3.650       .0       .0       .0       .0    707.8      2.7     83.5     26.8
   3.750       .0       .0       .0       .0    675.1      2.0     66.1     15.8
   3.850       .0       .0       .0       .0    658.6      1.4     49.5      9.8
   3.950       .0       .0       .0       .0    655.9      1.0     29.2      6.6
