TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (13-AL-27(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     AL-27(99.9 PERCENT).THICKNESS OF FOIL=2.79E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        387
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 1.0000E+00 3.0000E+01 1.0000E+01 1.0400E+00
 1.0000E+00 6.0000E+01 1.1500E+01 8.3000E-01
 1.0000E+00 9.0000E+01 1.1600E+01 8.2000E-01
 1.0000E+00 1.2000E+02 1.4200E+01 9.0000E-01
 1.0000E+00 1.5000E+02 1.6200E+01 1.1400E+00
 1.2000E+00 3.0000E+01 1.0700E+01 5.8000E-01
 1.2000E+00 6.0000E+01 1.1000E+01 5.3000E-01
 1.2000E+00 9.0000E+01 1.1000E+01 5.3000E-01
 1.2000E+00 1.2000E+02 1.5000E+01 7.2000E-01
 1.2000E+00 1.5000E+02 1.7600E+01 9.5000E-01
 1.4000E+00 3.0000E+01 1.0000E+01 4.4000E-01
 1.4000E+00 6.0000E+01 1.0800E+01 4.5000E-01
 1.4000E+00 9.0000E+01 1.1200E+01 4.9000E-01
 1.4000E+00 1.2000E+02 1.5000E+01 6.5000E-01
 1.4000E+00 1.5000E+02 1.8000E+01 8.7000E-01
 1.6000E+00 3.0000E+01 1.0000E+01 4.2000E-01
 1.6000E+00 6.0000E+01 1.0000E+01 4.0000E-01
 1.6000E+00 9.0000E+01 1.0100E+01 4.1000E-01
 1.6000E+00 1.2000E+02 1.3000E+01 5.4000E-01
 1.6000E+00 1.5000E+02 1.7000E+01 7.7000E-01
 1.8000E+00 3.0000E+01 9.7000E+00 3.9000E-01
 1.8000E+00 6.0000E+01 1.0200E+01 4.0000E-01
 1.8000E+00 9.0000E+01 1.0000E+01 4.1000E-01
 1.8000E+00 1.2000E+02 1.2200E+01 5.0000E-01
 1.8000E+00 1.5000E+02 1.5700E+01 7.2000E-01
 2.0000E+00 3.0000E+01 9.6000E+00 3.8000E-01
 2.0000E+00 6.0000E+01 1.0600E+01 4.2000E-01
 2.0000E+00 9.0000E+01 1.0000E+01 4.0000E-01
 2.0000E+00 1.2000E+02 1.1100E+01 4.5000E-01
 2.0000E+00 1.5000E+02 1.5000E+01 6.6000E-01
 2.2000E+00 3.0000E+01 9.8000E+00 4.0000E-01
 2.2000E+00 6.0000E+01 1.0000E+01 3.9000E-01
 2.2000E+00 9.0000E+01 9.8000E+00 3.9000E-01
 2.2000E+00 1.2000E+02 1.1200E+01 4.6000E-01
 2.2000E+00 1.5000E+02 1.2800E+01 5.6000E-01
 2.3900E+00 3.0000E+01 1.0100E+01 4.2000E-01
 2.3900E+00 6.0000E+01 9.8000E+00 3.9000E-01
 2.3900E+00 9.0000E+01 9.5000E+00 3.9000E-01
 2.3900E+00 1.2000E+02 1.0700E+01 4.4000E-01
 2.3900E+00 1.5000E+02 1.2200E+01 5.4000E-01
 2.6000E+00 3.0000E+01 1.0000E+01 4.1000E-01
 2.6000E+00 6.0000E+01 9.4000E+00 3.7000E-01
 2.6000E+00 9.0000E+01 9.3000E+00 3.7000E-01
 2.6000E+00 1.2000E+02 1.0500E+01 4.3000E-01
 2.6000E+00 1.5000E+02 1.2000E+01 5.2000E-01
 2.7900E+00 3.0000E+01 9.9000E+00 4.1000E-01
 2.7900E+00 6.0000E+01 9.0000E+00 3.6000E-01
 2.7900E+00 9.0000E+01 8.8000E+00 3.6000E-01
 2.7900E+00 1.2000E+02 1.0100E+01 4.2000E-01
 2.7900E+00 1.5000E+02 1.1700E+01 5.2000E-01
 2.9900E+00 3.0000E+01 1.0200E+01 4.2000E-01
