TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (73-TA-181(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     TA-181(99.9 PERCENT).THICKNESS OF FOIL=19.86E-2G/CM**2
EN         EN-ERR
MEV        MEV
 2.2300E+01 3.0000E-01
EDATA                 4        385
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 9.9000E-01 3.0000E+01 1.9883E+02 7.2500E+00
 9.9000E-01 6.0000E+01 2.0295E+02 7.3900E+00
 9.9000E-01 9.0000E+01 1.9671E+02 7.1600E+00
 9.9000E-01 1.2000E+02 2.3530E+02 8.5600E+00
 9.9000E-01 1.5000E+02 2.2760E+02 8.2900E+00
 1.2000E+00 3.0000E+01 1.6680E+02 6.0700E+00
 1.2000E+00 6.0000E+01 1.7108E+02 6.2200E+00
 1.2000E+00 9.0000E+01 1.6731E+02 6.0800E+00
 1.2000E+00 1.2000E+02 1.9840E+02 7.2100E+00
 1.2000E+00 1.5000E+02 1.9451E+02 7.0800E+00
 1.4000E+00 3.0000E+01 1.3696E+02 4.9800E+00
 1.4000E+00 6.0000E+01 1.3635E+02 4.9600E+00
 1.4000E+00 9.0000E+01 1.2922E+02 4.7000E+00
 1.4000E+00 1.2000E+02 1.5169E+02 5.5200E+00
 1.4000E+00 1.5000E+02 1.5507E+02 5.6500E+00
 1.5900E+00 3.0000E+01 1.1579E+02 4.2500E+00
 1.5900E+00 6.0000E+01 1.1305E+02 4.1500E+00
 1.5900E+00 9.0000E+01 1.0354E+02 3.8000E+00
 1.5900E+00 1.2000E+02 1.2464E+02 4.5700E+00
 1.5900E+00 1.5000E+02 1.2397E+02 4.5600E+00
 1.8000E+00 3.0000E+01 9.9530E+01 3.6800E+00
 1.8000E+00 6.0000E+01 9.7030E+01 3.5900E+00
 1.8000E+00 9.0000E+01 9.0940E+01 3.3700E+00
 1.8000E+00 1.2000E+02 1.1425E+02 4.2200E+00
 1.8000E+00 1.5000E+02 1.0485E+02 3.8800E+00
 2.0000E+00 3.0000E+01 8.5810E+01 3.2000E+00
 2.0000E+00 6.0000E+01 8.3510E+01 3.1200E+00
 2.0000E+00 9.0000E+01 7.8370E+01 2.9300E+00
 2.0000E+00 1.2000E+02 9.3190E+01 3.4800E+00
 2.0000E+00 1.5000E+02 8.9740E+01 3.3600E+00
 2.2000E+00 3.0000E+01 7.3860E+01 2.7900E+00
 2.2000E+00 6.0000E+01 7.1230E+01 2.6900E+00
 2.2000E+00 9.0000E+01 6.5580E+01 2.4700E+00
 2.2000E+00 1.2000E+02 7.3520E+01 2.7700E+00
 2.2000E+00 1.5000E+02 7.4890E+01 2.8400E+00
 2.3900E+00 3.0000E+01 6.4680E+01 2.4400E+00
 2.3900E+00 6.0000E+01 6.0170E+01 2.2700E+00
 2.3900E+00 9.0000E+01 5.4880E+01 2.0800E+00
 2.3900E+00 1.2000E+02 5.9000E+01 2.2300E+00
 2.3900E+00 1.5000E+02 6.0490E+01 2.3000E+00
 2.6000E+00 3.0000E+01 5.6170E+01 2.1500E+00
 2.6000E+00 6.0000E+01 5.0710E+01 1.9400E+00
 2.6000E+00 9.0000E+01 4.5440E+01 1.7400E+00
 2.6000E+00 1.2000E+02 4.8720E+01 1.8700E+00
 2.6000E+00 1.5000E+02 4.9330E+01 1.9000E+00
 2.7900E+00 3.0000E+01 5.0150E+01 1.9300E+00
 2.7900E+00 6.0000E+01 4.3440E+01 1.6700E+00
 2.7900E+00 9.0000E+01 3.7830E+01 1.4600E+00
 2.7900E+00 1.2000E+02 4.1500E+01 1.6000E+00
 2.7900E+00 1.5000E+02 4.1240E+01 1.6100E+00
 2.9900E+00 3.0000E+01 4.5550E+01 1.7600E+00
