TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (40-ZR-94(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     ZR-94(91.2 PERCENT).THICKNESS OF FOIL=4.91E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        383
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 9.9000E-01 3.0000E+01 1.2656E+02 5.3300E+00
 9.9000E-01 6.0000E+01 1.4179E+02 5.2200E+00
 9.9000E-01 9.0000E+01 1.3378E+02 4.9200E+00
 9.9000E-01 1.2000E+02 1.5444E+02 5.6700E+00
 9.9000E-01 1.5000E+02 1.4497E+02 5.3600E+00
 1.2000E+00 3.0000E+01 1.0964E+02 4.3900E+00
 1.2000E+00 6.0000E+01 1.1966E+02 4.3800E+00
 1.2000E+00 9.0000E+01 1.2375E+02 4.5300E+00
 1.2000E+00 1.2000E+02 1.4099E+02 5.1600E+00
 1.2000E+00 1.5000E+02 1.3698E+02 5.0400E+00
 1.4000E+00 3.0000E+01 9.5470E+01 3.7700E+00
 1.4000E+00 6.0000E+01 9.9000E+01 3.6200E+00
 1.4000E+00 9.0000E+01 1.0179E+02 3.7200E+00
 1.4000E+00 1.2000E+02 1.1899E+02 4.3600E+00
 1.4000E+00 1.5000E+02 1.1923E+02 4.3900E+00
 1.5900E+00 3.0000E+01 8.8730E+01 3.5000E+00
 1.5900E+00 6.0000E+01 9.0840E+01 3.3500E+00
 1.5900E+00 9.0000E+01 8.6920E+01 3.2100E+00
 1.5900E+00 1.2000E+02 9.5660E+01 3.5300E+00
 1.5900E+00 1.5000E+02 1.0047E+02 3.7300E+00
 1.8000E+00 3.0000E+01 8.1650E+01 3.2400E+00
 1.8000E+00 6.0000E+01 8.4690E+01 3.1400E+00
 1.8000E+00 9.0000E+01 8.0300E+01 2.9800E+00
 1.8000E+00 1.2000E+02 8.3580E+01 3.1100E+00
 1.8000E+00 1.5000E+02 8.4230E+01 3.1400E+00
 2.0000E+00 3.0000E+01 7.3860E+01 2.9700E+00
 2.0000E+00 6.0000E+01 7.7060E+01 2.8900E+00
 2.0000E+00 9.0000E+01 7.3430E+01 2.7500E+00
 2.0000E+00 1.2000E+02 7.7460E+01 2.9000E+00
 2.0000E+00 1.5000E+02 7.8690E+01 2.9600E+00
 2.2000E+00 3.0000E+01 6.7170E+01 2.8000E+00
 2.2000E+00 6.0000E+01 6.9610E+01 2.6400E+00
 2.2000E+00 9.0000E+01 6.7300E+01 2.5500E+00
 2.2000E+00 1.2000E+02 7.1230E+01 2.7000E+00
 2.2000E+00 1.5000E+02 7.1390E+01 2.7200E+00
 2.3900E+00 3.0000E+01 6.0270E+01 2.5100E+00
 2.3900E+00 6.0000E+01 6.1330E+01 2.3200E+00
 2.3900E+00 9.0000E+01 5.9770E+01 2.2700E+00
 2.3900E+00 1.2000E+02 6.2750E+01 2.3800E+00
 2.3900E+00 1.5000E+02 6.4710E+01 2.4700E+00
 2.6000E+00 3.0000E+01 5.4090E+01 2.3200E+00
 2.6000E+00 6.0000E+01 5.3830E+01 2.0600E+00
 2.6000E+00 9.0000E+01 5.2030E+01 2.0000E+00
 2.6000E+00 1.2000E+02 5.4850E+01 2.1100E+00
 2.6000E+00 1.5000E+02 5.6390E+01 2.1800E+00
 2.7900E+00 3.0000E+01 5.0100E+01 2.2100E+00
 2.7900E+00 6.0000E+01 4.8630E+01 1.8700E+00
 2.7900E+00 9.0000E+01 4.4790E+01 1.7300E+00
 2.7900E+00 1.2000E+02 4.7100E+01 1.8200E+00
 2.7900E+00 1.5000E+02 4.9610E+01 1.9400E+00
 2.9900E+00 3.0000E+01 4.5880E+01 2.0300E+00
