                EXFOR: Experimental Nuclear Reaction Data Retrievals
                                         HELP
               Other Databases: EVA, CINDA, Program abstracts

  ------------------------------------------------------------------------

------------------------------------------------------------------------
ENTRY            C0841   20010907
SUBENT        C0841001   20010907
BIB                 12         41
INSTITUTE  (1USAKNT,1USAMRY,2GERJUL) + Bremen University.
REFERENCE  (J,PR/C,28,105,1983)
           (J,PRL,46,226,1981)
           (T,KALEND,198208)
AUTHOR     (A.M.Kalend,B.D.Anderson,A.R.Baldwin,R.Madey,
           J.W.Watson,C.C.Chang,H.D.Holmgren,R.W.Koontz,J.R.Wu,
           H.Machner)
TITLE      Energy and angular distributions of neutrons from 90
            MeV and 140 MeV alpha-particle bombardment of nuclei
FACILITY   (ISOCY,1USAMRY)
METHOD     (TOF,BCINT)
DETECTOR   (SCIN) High-energy (>30 MeV) portions of spectra
            were measured with 12.7-cm diameter by 10.2-cm deep
            NE-102 plastic scintillators. The low energy (<30 MeV)
            portions of spectra were measured with 5.08-cm
            diameter by 5.08-cm deep NE-213 liquid scintillators.
           Both scintillators were coupled to photomultiplier
            tubes.
           Thin NE-102 plastic scintillation counters were placed
            in front of each neutron detector to veto charged
            particles.
CORRECTION Corrected for:
           . background,
           . deadtime,
           . 12C(n,gamma) reaction contribution to detector
             efficiences,
           . neutron attenuation through air (up to 10 MeV),
           . neutron attenuation through scattering chamber wall.
ERR-ANALYS (DATA-ERR) Uncertainty resulting from combination in
            quadrature of uncertainties in:
           . statistics,
           . calculated neutron efficiency,
           . target thickness,
           . solid angle.
ADD-RES    (COMP) PWIA quasifree scattering, preequilibrium
            exciton, geometry-dependent hybrid and
            intranuclear-cascade models.
STATUS     Data taken from tables in Kalend thesis.
           No reply from B. Anderson to author proof.
HISTORY    (20010806C) Converted from data set O0141; updated
            and data replaced.
COMMON               1          3
ERR-T
PER-CENT
  12.
REACTION   (13-AL-27(A,X)0-NN-1,,DA/DE)
SAMPLE     Aluminum target thickness 1.87 mg/cm2.
MISC-COL   (MISC) Flight path.
FLAG       (1.) Low energy run.
MEV
 140.
DATA                 6         80
ANG         E           DATA        DATA-ERR
ADEG        MEV         MB/SR/MEV   PER-CENT   
 20.          41.2        3.38        5.9
 20.          44.4        3.30        5.3
 20.          48.0        2.71        5.8
 20.          52.0        2.39        5.8
 20.          56.5        1.92        5.8
 20.          61.6        1.58        5.9
 20.          67.3        1.17        6.0
 20.          73.9        0.768       6.2
 20.          81.4        0.507       6.4
 20.          90.2        0.277       7.0
 20.         100.4        0.0957      8.9
 20.         112.5        0.0222     13.9
 20.         127.0        0.00592    21.5
 20.         144.8        0.00373    28.4
 30.          41.2        1.75        6.5
 30.          44.4        1.58        6.4
 30.          48.0        1.34        6.3
 30.          52.0        1.15        6.4
 30.          56.5        0.899       6.4
 30.          61.6        0.683       6.7
 30.          67.3        0.447       6.9
 30.          73.9        0.323       7.2
 30.          81.4        0.163       8.3
 30.          90.2        0.0932      9.5
 30.         100.4        0.0449     11.9
 30.         112.5        0.00150    53.8
 30.         127.0        0.000683   72.4
 45.           5.0        5.35        5.1
 45.           5.6        5.50        5.0
 45.           6.3        5.30        5.0
 45.           7.1        5.27        5.0
 45.           8.1        4.62        5.0
 45.           9.2        4.05        5.0
 45.          10.5        3.61        5.0
 45.          12.1        3.17        5.0
 45.          13.9        2.69        5.0
 45.          16.2        2.21        5.0
 45.          19.0        1.75        5.0
 45.          22.6        1.47        5.0   
 45.          27.1        1.29        5.0
 45.          33.1        1.01        5.0
 45.          39.7      0.817         7.2
 45.          41.2        0.732       5.0
 45.          43.1      0.709         7.1
 45.          47.0      0.543         7.2
 45.          51.3      0.405         7.4
 45.          52.8        0.443       5.1
 45.          56.3      0.269         7.8
 45.          61.9      0.207         8.1
 45.          68.14     0.128         8.8
 45.          75.9      0.0799        9.7
 45.          84.7      0.0298       13.5
 45.          95.2      0.00769      45.6
 45.         107.7      0.000336     58.0
 45.         122.9      0.000820     33.1
 60.          41.6      0.339         7.9
 60.          45.8      0.217         8.4
 60.          50.5      0.614         8.5
 60.          60.0      0.0991        9.3
 60.          62.3      0.0593       10.4
 60.          69.8      0.0267       12.8
 60.          78.6      0.00103      17.4
 60.          89.2      0.000280     25.3
 60.         102.0      0.000111     84.9
120.           5.0        2.05        5.6
120.           5.6        2.03        5.3
120.           6.3        1.82        5.3
120.           7.1        1.61        5.3
120.           8.1        1.29        5.4
120.           9.2        1.11        5.4
120.          10.5        0.751       5.6  
120.          12.1        0.594       5.7
120.          13.9        0.442       5.8
120.          16.2        0.298       6.0
120.          19.0        0.184       6.3
120.          22.6        0.111       6.6
120.          27.1        0.0651      7.3
120.          33.1        0.0134      8.6
120.          41.2        0.0115     11.7
120.          52.8        0.00307    19.4
ENDDATA              82           0
ENDSUBENT           95          0
