ENTRY            C0170   19990601
SUBENT        C0170001   19990601
BIB                 12         27
INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,112,78,1992)
AUTHOR     (W.B.AMIAN,R.C.BYRD,C.A.GOULDING,M.M.MEIER,G.L.MORGAN,
           C.E.MOSS,D.A.CLARK)
TITLE      Differential Neutron Production Cross Sections for
            800-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . live time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections, R. Byrd, 21 May 1999
HISTORY    (19980911C)
           (19990601A) Data units corrected.
ENDBIB              27          0
COMMON               1          3
EN
MEV
800.
ENDCOMMON            3          0
ENDSUBENT           34          0
------------------------------------------------------------------------
SUBENT        C0170007   19990601
BIB                  2          3
REACTION   (13-AL-27(P,X)0-NN-1,,DA/DE)
SAMPLE     Natural aluminum sample.
           Sample 3 MeV thick to 800 MeV protons.
ENDBIB               3          0
NOCOMMON             0          0
DATA                 5        406
ANG        E          E-RSL      DATA       DATA-ERR
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV
 30.        5.2500E-01 5.0000E-01 0.0  0.0
 30.        5.2500E-01 5.0000E-01 1.1830E-02 2.5660E-04
 30.        5.7500E-01 5.0000E-01 1.0700E-02 2.2360E-04
 30.        6.2500E-01 5.0000E-01 9.5020E-03 2.0030E-04
 30.        6.7500E-01 5.0000E-01 9.6090E-03 1.9530E-04
 30.        7.2500E-01 5.0000E-01 9.9380E-03 1.9120E-04
 30.        7.7500E-01 5.0000E-01 9.2940E-03 1.8700E-04
 30.        8.2500E-01 5.0000E-01 9.3610E-03 1.7760E-04
 30.        8.7500E-01 5.0000E-01 9.3340E-03 1.6680E-04
 30.        9.2500E-01 5.0000E-01 1.0030E-02 1.8020E-04
 30.        9.7500E-01 5.0000E-01 8.9660E-03 1.7790E-04
 30.        1.0750E+00 1.0000E-01 8.3250E-03 1.1010E-04
 30.        1.1500E+00 1.0000E-01 8.0070E-03 1.2440E-04
 30.        1.2500E+00 1.0000E-01 8.1190E-03 1.1240E-04
 30.        1.3500E+00 1.0000E-01 7.5590E-03 1.1880E-04
 30.        1.4500E+00 1.0000E-01 7.4780E-03 1.1610E-04
 30.        1.5500E+00 1.0000E-01 7.5540E-03 1.0140E-04
 30.        1.6500E+00 1.0000E-01 7.6100E-03 1.3710E-04
 30.        1.7500E+00 1.0000E-01 7.1360E-03 1.1290E-04
 30.        1.8500E+00 1.0000E-01 7.5150E-03 1.0560E-04
 30.        1.9500E+00 1.0000E-01 7.4320E-03 1.3870E-04
 30.        2.1000E+00 2.0000E-01 7.0010E-03 7.1770E-05
 30.        2.3000E+00 2.0000E-01 7.2080E-03 9.8440E-05
 30.        2.5000E+00 2.0000E-01 7.6770E-03 1.0580E-04
 30.        2.7000E+00 2.0000E-01 7.1100E-03 8.8820E-05
 30.        2.9000E+00 2.0000E-01 6.9100E-03 9.9110E-05
 30.        3.1000E+00 2.0000E-01 6.5900E-03 8.6780E-05
 30.        3.3000E+00 2.0000E-01 5.6310E-03 8.5440E-05
 30.        3.5000E+00 2.0000E-01 5.2400E-03 8.0960E-05
 30.        3.7000E+00 2.0000E-01 5.1360E-03 8.0470E-05
 30.        3.9000E+00 2.0000E-01 4.7490E-03 7.5560E-05
 30.        4.1000E+00 2.0000E-01 4.5910E-03 7.4860E-05
 30.        4.3000E+00 2.0000E-01 4.6120E-03 7.5780E-05
 30.        4.5000E+00 2.0000E-01 4.3270E-03 7.1510E-05
 30.        4.7000E+00 2.0000E-01 4.2620E-03 7.1130E-05
 30.        4.9000E+00 2.0000E-01 4.1760E-03 6.9860E-05
 30.        5.2500E+00 5.0000E-01 3.5720E-03 4.8210E-05
 30.        5.7500E+00 5.0000E-01 3.3640E-03 4.3920E-05
 30.        6.2500E+00 5.0000E-01 2.9290E-03 2.9760E-05
 30.        6.7500E+00 5.0000E-01 2.5570E-03 2.7170E-05
 30.        7.2500E+00 5.0000E-01 2.3820E-03 2.6020E-05
 30.        7.7500E+00 5.0000E-01 2.2710E-03 2.5050E-05
 30.        8.2500E+00 5.0000E-01 2.0080E-03 2.3290E-05
 30.        8.7500E+00 5.0000E-01 1.8340E-03 2.2100E-05
 30.        9.2500E+00 5.0000E-01 1.7630E-03 2.1330E-05
 30.        9.7500E+00 5.0000E-01 1.6510E-03 2.1050E-05
 30.        1.0750E+01 1.0000E+00 1.4270E-03 1.3690E-05
 30.        1.1500E+01 1.0000E+00 1.3180E-03 1.3270E-05
 30.        1.2500E+01 1.0000E+00 1.1760E-03 1.2650E-05
 30.        1.3500E+01 1.0000E+00 1.0800E-03 1.2350E-05
 30.        1.4500E+01 1.0000E+00 1.0190E-03 1.2140E-05
 30.        1.5500E+01 1.0000E+00 9.5960E-04 1.2000E-05
 30.        1.6500E+01 1.0000E+00 9.2090E-04 1.1900E-05
 30.        1.7500E+01 1.0000E+00 8.6950E-04 1.1820E-05
 30.        1.8500E+01 1.0000E+00 8.4090E-04 1.1800E-05
 30.        1.9500E+01 1.0000E+00 7.9110E-04 1.1600E-05
 30.        2.1000E+01 2.0000E+00 7.4070E-04 7.9250E-06
 30.        2.3000E+01 2.0000E+00 6.7330E-04 7.5540E-06
 30.        2.5000E+01 2.0000E+00 6.1970E-04 7.2840E-06
 30.        2.7000E+01 2.0000E+00 5.9430E-04 7.1290E-06
 30.        2.9000E+01 2.0000E+00 5.7180E-04 7.0890E-06
 30.        3.1000E+01 2.0000E+00 5.5950E-04 7.0550E-06
 30.        3.3000E+01 2.0000E+00 5.3810E-04 6.9740E-06
 30.        3.5000E+01 2.0000E+00 5.3620E-04 1.0420E-05
 30.        3.7000E+01 2.0000E+00 5.1600E-04 1.0170E-05
 30.        3.9000E+01 2.0000E+00 5.0800E-04 9.9810E-06
 30.        4.1000E+01 2.0000E+00 5.0350E-04 9.9040E-06
 30.        4.3000E+01 2.0000E+00 4.8160E-04 9.6740E-06
 30.        4.5000E+01 2.0000E+00 5.0160E-04 9.8580E-06
 30.        4.7000E+01 2.0000E+00 4.6750E-04 9.6930E-06
 30.        4.9000E+01 2.0000E+00 4.6700E-04 9.6700E-06
 30.        5.2500E+01 5.0000E+00 4.7170E-04 6.2440E-06
 30.        5.7500E+01 5.0000E+00 4.6710E-04 6.3730E-06
 30.        6.2500E+01 5.0000E+00 4.5670E-04 6.4890E-06
 30.        6.7500E+01 5.0000E+00 4.3860E-04 6.5230E-06
 30.        7.2500E+01 5.0000E+00 4.3950E-04 6.6140E-06
 30.        7.7500E+01 5.0000E+00 4.2580E-04 6.6690E-06
 30.        8.2500E+01 5.0000E+00 4.1250E-04 6.6560E-06
 30.        8.7500E+01 5.0000E+00 4.0980E-04 6.7720E-06
 30.        9.2500E+01 5.0000E+00 3.9260E-04 6.6120E-06
 30.        9.7500E+01 5.0000E+00 3.6910E-04 6.3460E-06
 30.        1.0750E+02 1.0000E+01 3.6360E-04 4.4800E-06
 30.        1.1500E+02 1.0000E+01 3.3850E-04 4.3350E-06
 30.        1.2500E+02 1.0000E+01 3.3390E-04 4.2640E-06
 30.        1.3500E+02 1.0000E+01 3.1400E-04 4.1810E-06
 30.        1.4500E+02 1.0000E+01 3.0910E-04 4.1380E-06
 30.        1.5500E+02 1.0000E+01 2.9910E-04 4.1190E-06
 30.        1.6500E+02 1.0000E+01 2.7780E-04 3.9880E-06
 30.        1.7500E+02 1.0000E+01 2.6720E-04 3.9960E-06
 30.        1.8500E+02 1.0000E+01 2.5860E-04 3.9390E-06
 30.        1.9500E+02 1.0000E+01 2.6020E-04 3.9390E-06
 30.        2.1000E+02 2.0000E+01 2.4290E-04 2.7900E-06
 30.        2.3000E+02 2.0000E+01 2.3260E-04 2.7930E-06
 30.        2.5000E+02 2.0000E+01 2.1020E-04 2.6740E-06
 30.        2.7000E+02 2.0000E+01 1.9130E-04 2.5410E-06
 30.        2.9000E+02 2.0000E+01 1.7780E-04 2.4780E-06
 30.        3.1000E+02 2.0000E+01 1.5840E-04 2.2670E-06
 30.        3.3000E+02 2.0000E+01 1.4290E-04 2.1030E-06
 30.        3.5000E+02 2.0000E+01 1.2840E-04 2.0200E-06
 30.        3.7000E+02 2.0000E+01 1.1650E-04 1.8790E-06
 30.        3.9000E+02 2.0000E+01 1.0870E-04 1.7820E-06
 30.        4.1000E+02 2.0000E+01 1.0300E-04 1.7930E-06
 30.        4.3000E+02 2.0000E+01 9.7980E-05 1.7440E-06
 30.        4.5000E+02 2.0000E+01 9.4190E-05 1.6940E-06
 30.        4.7000E+02 2.0000E+01 9.1910E-05 1.7320E-06
 30.        4.9000E+02 2.0000E+01 9.0500E-05 1.7240E-06
 30.        5.2500E+02 2.0000E+01 8.4480E-05 1.0460E-06
 30.        5.7500E+02 2.0000E+01 6.9880E-05 9.3990E-07
 30.        6.2500E+02 2.0000E+01 4.5490E-05 7.3740E-07
 30.        6.7500E+02 2.0000E+01 2.4430E-05 5.1760E-07
 30.        7.2500E+02 2.0000E+01 8.3180E-06 2.8680E-07
 30.        7.7500E+02 2.0000E+01 2.1960E-06 1.5220E-07
 60.        5.2500E-01 5.0000E-01 0.0   0.0
 60.        5.2500E-01 5.0000E-01 9.1760E-03 3.1700E-04
 60.        5.7500E-01 5.0000E-01 8.4090E-03 2.6660E-04
 60.        6.2500E-01 5.0000E-01 7.7490E-03 2.3980E-04
 60.        6.7500E-01 5.0000E-01 7.4900E-03 2.1820E-04
 60.        7.2500E-01 5.0000E-01 7.1680E-03 2.0460E-04
 60.        7.7500E-01 5.0000E-01 7.1350E-03 1.9720E-04
 60.        8.2500E-01 5.0000E-01 7.4100E-03 1.9450E-04
 60.        8.7500E-01 5.0000E-01 7.4710E-03 1.9080E-04
 60.        9.2500E-01 5.0000E-01 8.5370E-03 2.1670E-04
 60.        9.7500E-01 5.0000E-01 7.5180E-03 2.0790E-04
 60.        1.0750E+00 1.0000E-01 6.9710E-03 1.3310E-04
 60.        1.1500E+00 1.0000E-01 6.4800E-03 1.1660E-04
 60.        1.2500E+00 1.0000E-01 6.8070E-03 1.1610E-04
 60.        1.3500E+00 1.0000E-01 5.8580E-03 1.0980E-04
 60.        1.4500E+00 1.0000E-01 5.7460E-03 1.0420E-04
 60.        1.5500E+00 1.0000E-01 6.0500E-03 1.0520E-04
 60.        1.6500E+00 1.0000E-01 5.8090E-03 1.0290E-04
 60.        1.7500E+00 1.0000E-01 5.4150E-03 9.8510E-05
 60.        1.8500E+00 1.0000E-01 5.6640E-03 1.0230E-04
 60.        1.9500E+00 1.0000E-01 6.2310E-03 1.0870E-04
 60.        2.1000E+00 2.0000E-01 5.5090E-03 6.8170E-05
 60.        2.3000E+00 2.0000E-01 6.5300E-03 8.2390E-05
 60.        2.5000E+00 2.0000E-01 7.3460E-03 9.4560E-05
 60.        2.7000E+00 2.0000E-01 6.1080E-03 8.3320E-05
 60.        2.9000E+00 2.0000E-01 6.2260E-03 8.9270E-05
 60.        3.1000E+00 2.0000E-01 5.5790E-03 8.4140E-05
 60.        3.3000E+00 2.0000E-01 4.6120E-03 7.5300E-05
 60.        3.5000E+00 2.0000E-01 4.1070E-03 6.8800E-05
 60.        3.7000E+00 2.0000E-01 4.0260E-03 6.9680E-05
 60.        3.9000E+00 2.0000E-01 3.6690E-03 6.3930E-05
 60.        4.1000E+00 2.0000E-01 3.7000E-03 6.6570E-05
 60.        4.3000E+00 2.0000E-01 3.6130E-03 6.7970E-05
 60.        4.5000E+00 2.0000E-01 3.4010E-03 6.3680E-05
 60.        4.7000E+00 2.0000E-01 3.5590E-03 6.4620E-05
 60.        4.9000E+00 2.0000E-01 3.3970E-03 6.3100E-05
 60.        5.2500E+00 5.0000E-01 2.8230E-03 3.5600E-05
 60.        5.7500E+00 5.0000E-01 2.7730E-03 3.7410E-05
 60.        6.2500E+00 5.0000E-01 2.2230E-03 3.1140E-05
 60.        6.7500E+00 5.0000E-01 2.0430E-03 2.9690E-05
 60.        7.2500E+00 5.0000E-01 1.8090E-03 2.8300E-05
 60.        7.7500E+00 5.0000E-01 1.7070E-03 2.7220E-05
 60.        8.2500E+00 5.0000E-01 1.5200E-03 2.5590E-05
 60.        8.7500E+00 5.0000E-01 1.4430E-03 2.4930E-05
 60.        9.2500E+00 5.0000E-01 1.3630E-03 2.3930E-05
 60.        9.7500E+00 5.0000E-01 1.2730E-03 2.4090E-05
 60.        1.0750E+01 1.0000E+00 1.1380E-03 1.5830E-05
 60.        1.1500E+01 1.0000E+00 1.0110E-03 1.5150E-05
 60.        1.2500E+01 1.0000E+00 9.1840E-04 1.4480E-05
 60.        1.3500E+01 1.0000E+00 8.1630E-04 1.3960E-05
 60.        1.4500E+01 1.0000E+00 7.7490E-04 1.3930E-05
 60.        1.5500E+01 1.0000E+00 7.3650E-04 1.3640E-05
 60.        1.6500E+01 1.0000E+00 7.1110E-04 1.3730E-05
 60.        1.7500E+01 1.0000E+00 6.6810E-04 1.3500E-05
 60.        1.8500E+01 1.0000E+00 6.5300E-04 1.3570E-05
 60.        1.9500E+01 1.0000E+00 5.9880E-04 1.3310E-05
 60.        2.1000E+01 2.0000E+00 5.3200E-04 1.3750E-05
 60.        2.3000E+01 2.0000E+00 4.8380E-04 1.2820E-05
 60.        2.5000E+01 2.0000E+00 4.6350E-04 1.2170E-05
 60.        2.7000E+01 2.0000E+00 4.3940E-04 1.1610E-05
 60.        2.9000E+01 2.0000E+00 4.3250E-04 1.1440E-05
 60.        3.1000E+01 2.0000E+00 4.1910E-04 1.1230E-05
 60.        3.3000E+01 2.0000E+00 4.2260E-04 1.1110E-05
 60.        3.5000E+01 2.0000E+00 3.8310E-04 1.0520E-05
 60.        3.7000E+01 2.0000E+00 3.7690E-04 1.0440E-05
 60.        3.9000E+01 2.0000E+00 3.6900E-04 1.0290E-05
 60.        4.1000E+01 2.0000E+00 3.6170E-04 1.0120E-05
 60.        4.3000E+01 2.0000E+00 3.7110E-04 1.0210E-05
 60.        4.5000E+01 2.0000E+00 3.5080E-04 1.0050E-05
 60.        4.7000E+01 2.0000E+00 3.5190E-04 1.0090E-05
 60.        4.9000E+01 2.0000E+00 3.2910E-04 9.7090E-06
 60.        5.2500E+01 5.0000E+00 3.2470E-04 6.1820E-06
 60.        5.7500E+01 5.0000E+00 3.1250E-04 6.0950E-06
 60.        6.2500E+01 5.0000E+00 3.0230E-04 6.0840E-06
 60.        6.7500E+01 5.0000E+00 2.8470E-04 5.9840E-06
 60.        7.2500E+01 5.0000E+00 2.6990E-04 5.8720E-06
 60.        7.7500E+01 5.0000E+00 2.5840E-04 5.8580E-06
 60.        8.2500E+01 5.0000E+00 2.5210E-04 5.8360E-06
 60.        8.7500E+01 5.0000E+00 2.2340E-04 5.5030E-06
 60.        9.2500E+01 5.0000E+00 2.1820E-04 5.4870E-06
 60.        9.7500E+01 5.0000E+00 2.1850E-04 5.4170E-06
 60.        1.0750E+02 1.0000E+01 1.9920E-04 3.7570E-06
 60.        1.1500E+02 1.0000E+01 1.8480E-04 3.6440E-06
 60.        1.2500E+02 1.0000E+01 1.6560E-04 3.3900E-06
 60.        1.3500E+02 1.0000E+01 1.5760E-04 3.3790E-06
 60.        1.4500E+02 1.0000E+01 1.4230E-04 3.2250E-06
 60.        1.5500E+02 1.0000E+01 1.4020E-04 3.2530E-06
 60.        1.6500E+02 1.0000E+01 1.2480E-04 3.1020E-06
 60.        1.7500E+02 1.0000E+01 1.1790E-04 3.0410E-06
 60.        1.8500E+02 1.0000E+01 1.0430E-04 2.9040E-06
 60.        1.9500E+02 1.0000E+01 9.4400E-05 2.7870E-06
 60.        2.1000E+02 2.0000E+01 8.7310E-05 1.9170E-06
 60.        2.3000E+02 2.0000E+01 6.8600E-05 1.7300E-06
 60.        2.5000E+02 2.0000E+01 5.3220E-05 1.5130E-06
 60.        2.7000E+02 2.0000E+01 4.2500E-05 1.3360E-06
 60.        2.9000E+02 2.0000E+01 3.2220E-05 1.1800E-06
 60.        3.1000E+02 2.0000E+01 2.4030E-05 1.0010E-06
 60.        3.3000E+02 2.0000E+01 1.7100E-05 8.7540E-07
 60.        3.5000E+02 2.0000E+01 1.2170E-05 6.9480E-07
 60.        3.7000E+02 2.0000E+01 8.7630E-06 5.7790E-07
 60.        3.9000E+02 2.0000E+01 6.3970E-06 4.9130E-07
 60.        4.1000E+02 2.0000E+01 5.3130E-06 4.3710E-07
 60.        4.3000E+02 2.0000E+01 3.0280E-06 3.5500E-07
 60.        4.5000E+02 2.0000E+01 2.5170E-06 3.2460E-07
 60.        4.7000E+02 2.0000E+01 2.1590E-06 3.0300E-07
 60.        4.9000E+02 2.0000E+01 1.2370E-06 2.2060E-07
