INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,112,78,1992)
AUTHOR     (W.B.AMIAN,R.C.BYRD,C.A.GOULDING,M.M.MEIER,G.L.MORGAN,
           C.E.MOSS,D.A.CLARK)
TITLE      Differential Neutron Production Cross Sections for
            800-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . live time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections, R. Byrd, 21 May 1999
HISTORY    (19980911C)
           (19990601A) Data units corrected.
ENDBIB              27          0
COMMON               1          3
EN
MEV
800.
ENDCOMMON            3          0
ENDSUBENT           34          0
------------------------------------------------------------------------
SUBENT        C0170002   19990601
BIB                  2          3
REACTION   (4-BE-9(P,X)0-NN-1,,DA/DE)
SAMPLE     Natural beryllium sample.
           Sample 3 MeV thick to 800 MeV protons.
ENDBIB               3          0
NOCOMMON             0          0
DATA                 5        405
ANG        E          E-RSL      DATA       DATA-ERR
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV
 30.        5.2500E-01 5.0000E-01 5.6390E-03 0.0
 30.        5.2500E-01 5.0000E-01 5.6390E-03 6.6850E-05
 30.        5.7500E-01 5.0000E-01 5.6950E-03 5.7980E-05
 30.        6.2500E-01 5.0000E-01 5.2530E-03 5.2860E-05
 30.        6.7500E-01 5.0000E-01 5.3140E-03 4.9450E-05
 30.        7.2500E-01 5.0000E-01 5.4490E-03 4.7740E-05
 30.        7.7500E-01 5.0000E-01 5.4960E-03 4.6880E-05
 30.        8.2500E-01 5.0000E-01 5.3680E-03 4.5450E-05
 30.        8.7500E-01 5.0000E-01 5.3680E-03 4.4560E-05
 30.        9.2500E-01 5.0000E-01 5.7240E-03 4.7720E-05
 30.        9.7500E-01 5.0000E-01 5.2600E-03 4.5540E-05
 30.        1.0750E+00 1.0000E-01 4.6480E-03 2.9370E-05
 30.        1.1500E+00 1.0000E-01 4.3860E-03 2.7020E-05
 30.        1.2500E+00 1.0000E-01 4.2670E-03 2.6270E-05
 30.        1.3500E+00 1.0000E-01 3.7670E-03 2.5100E-05
 30.        1.4500E+00 1.0000E-01 3.6660E-03 2.4310E-05
 30.        1.5500E+00 1.0000E-01 3.4690E-03 2.3890E-05
 30.        1.6500E+00 1.0000E-01 3.3350E-03 2.3330E-05
 30.        1.7500E+00 1.0000E-01 3.1130E-03 2.2650E-05
 30.        1.8500E+00 1.0000E-01 3.1100E-03 2.2930E-05
 30.        1.9500E+00 1.0000E-01 3.0760E-03 2.2980E-05
 30.        2.1000E+00 2.0000E-01 2.7010E-03 1.5160E-05
 30.        2.3000E+00 2.0000E-01 2.7760E-03 1.6430E-05
 30.        2.5000E+00 2.0000E-01 2.7680E-03 1.7340E-05
 30.        2.7000E+00 2.0000E-01 2.2980E-03 1.5720E-05
 30.        2.9000E+00 2.0000E-01 2.1300E-03 1.5840E-05
 30.        3.1000E+00 2.0000E-01 1.9800E-03 1.5280E-05
 30.        3.3000E+00 2.0000E-01 1.7150E-03 1.4230E-05
 30.        3.5000E+00 2.0000E-01 1.5560E-03 1.3440E-05
 30.        3.7000E+00 2.0000E-01 1.4670E-03 1.3310E-05
 30.        3.9000E+00 2.0000E-01 1.3440E-03 1.2560E-05
 30.        4.1000E+00 2.0000E-01 1.2990E-03 1.2630E-05
 30.        4.3000E+00 2.0000E-01 1.2680E-03 1.2730E-05
 30.        4.5000E+00 2.0000E-01 1.2060E-03 1.2110E-05
 30.        4.7000E+00 2.0000E-01 1.1870E-03 1.2060E-05
 30.        4.9000E+00 2.0000E-01 1.1260E-03 1.1750E-05
 30.        5.2500E+00 5.0000E-01 9.9890E-04 6.9050E-06
 30.        5.7500E+00 5.0000E-01 9.4700E-04 6.9420E-06
 30.        6.2500E+00 5.0000E-01 8.0480E-04 6.1190E-06
 30.        6.7500E+00 5.0000E-01 7.3760E-04 5.8290E-06
 30.        7.2500E+00 5.0000E-01 6.6830E-04 5.5150E-06
 30.        7.7500E+00 5.0000E-01 6.4530E-04 5.3560E-06
 30.        8.2500E+00 5.0000E-01 5.8870E-04 5.0360E-06
 30.        8.7500E+00 5.0000E-01 5.4660E-04 4.8350E-06
 30.        9.2500E+00 5.0000E-01 5.3880E-04 4.7060E-06
 30.        9.7500E+00 5.0000E-01 5.1320E-04 4.6870E-06
 30.        1.0750E+01 1.0000E+00 4.5630E-04 3.1070E-06
 30.        1.1500E+01 1.0000E+00 4.2870E-04 3.0300E-06
 30.        1.2500E+01 1.0000E+00 3.9700E-04 2.9290E-06
 30.        1.3500E+01 1.0000E+00 3.7220E-04 2.9060E-06
 30.        1.4500E+01 1.0000E+00 3.5300E-04 2.8600E-06
 30.        1.5500E+01 1.0000E+00 3.3800E-04 2.8660E-06
 30.        1.6500E+01 1.0000E+00 3.1960E-04 2.8120E-06
 30.        1.7500E+01 1.0000E+00 3.0210E-04 2.8170E-06
 30.        1.8500E+01 1.0000E+00 2.9540E-04 2.8100E-06
 30.        1.9500E+01 1.0000E+00 2.7920E-04 2.7900E-06
 30.        2.1000E+01 2.0000E+00 2.4540E-04 3.0130E-06
 30.        2.3000E+01 2.0000E+00 2.2950E-04 2.8730E-06
 30.        2.5000E+01 2.0000E+00 2.1100E-04 2.6550E-06
 30.        2.7000E+01 2.0000E+00 2.0220E-04 2.5070E-06
 30.        2.9000E+01 2.0000E+00 1.9920E-04 2.4660E-06
 30.        3.1000E+01 2.0000E+00 1.8640E-04 2.3290E-06
 30.        3.3000E+01 2.0000E+00 1.8110E-04 2.3040E-06
 30.        3.5000E+01 2.0000E+00 1.8120E-04 2.2570E-06
 30.        3.7000E+01 2.0000E+00 1.7660E-04 2.2070E-06
 30.        3.9000E+01 2.0000E+00 1.7330E-04 2.1780E-06
 30.        4.1000E+01 2.0000E+00 1.6890E-04 2.1390E-06
 30.        4.3000E+01 2.0000E+00 1.6590E-04 2.0980E-06
 30.        4.5000E+01 2.0000E+00 1.6490E-04 2.1150E-06
 30.        4.7000E+01 2.0000E+00 1.6500E-04 2.1250E-06
 30.        4.9000E+01 2.0000E+00 1.6100E-04 2.1350E-06
 30.        5.2500E+01 5.0000E+00 1.5910E-04 1.3580E-06
 30.        5.7500E+01 5.0000E+00 1.6020E-04 1.3860E-06
 30.        6.2500E+01 5.0000E+00 1.5720E-04 1.4150E-06
 30.        6.7500E+01 5.0000E+00 1.5610E-04 1.4300E-06
 30.        7.2500E+01 5.0000E+00 1.5590E-04 1.4690E-06
 30.        7.7500E+01 5.0000E+00 1.5310E-04 1.4910E-06
 30.        8.2500E+01 5.0000E+00 1.5080E-04 1.5030E-06
 30.        8.7500E+01 5.0000E+00 1.4960E-04 1.5090E-06
 30.        9.2500E+01 5.0000E+00 1.4880E-04 1.5120E-06
 30.        9.7500E+01 5.0000E+00 1.4140E-04 1.4660E-06
 30.        1.0750E+02 1.0000E+01 1.3800E-04 1.0250E-06
 30.        1.1500E+02 1.0000E+01 1.3380E-04 1.0160E-06
 30.        1.2500E+02 1.0000E+01 1.2750E-04 9.9750E-07
 30.        1.3500E+02 1.0000E+01 1.2630E-04 1.0020E-06
 30.        1.4500E+02 1.0000E+01 1.2110E-04 9.8910E-07
 30.        1.5500E+02 1.0000E+01 1.1940E-04 9.9190E-07
 30.        1.6500E+02 1.0000E+01 1.1610E-04 9.7790E-07
 30.        1.7500E+02 1.0000E+01 1.1320E-04 9.9540E-07
 30.        1.8500E+02 1.0000E+01 1.1190E-04 9.9680E-07
 30.        1.9500E+02 1.0000E+01 1.0860E-04 1.0150E-06
 30.        2.1000E+02 2.0000E+01 1.0470E-04 7.0610E-07
 30.        2.3000E+02 2.0000E+01 9.7160E-05 7.2500E-07
 30.        2.5000E+02 2.0000E+01 9.1550E-05 6.8200E-07
 30.        2.7000E+02 2.0000E+01 8.3430E-05 6.7310E-07
 30.        2.9000E+02 2.0000E+01 7.5860E-05 6.3760E-07
 30.        3.1000E+02 2.0000E+01 6.6840E-05 6.0240E-07
 30.        3.3000E+02 2.0000E+01 6.0350E-05 5.6230E-07
 30.        3.5000E+02 2.0000E+01 5.5110E-05 5.3330E-07
 30.        3.7000E+02 2.0000E+01 4.9930E-05 5.1530E-07
 30.        3.9000E+02 2.0000E+01 4.6250E-05 4.7270E-07
 30.        4.1000E+02 2.0000E+01 4.5330E-05 4.9240E-07
 30.        4.3000E+02 2.0000E+01 4.5140E-05 5.0270E-07
 30.        4.5000E+02 2.0000E+01 4.6720E-05 4.9760E-07
 30.        4.7000E+02 2.0000E+01 4.8940E-05 5.4530E-07
 30.        4.9000E+02 2.0000E+01 5.1800E-05 5.6670E-07
 30.        5.2500E+02 2.0000E+01 5.3270E-05 3.9620E-07
 30.        5.7500E+02 2.0000E+01 4.4220E-05 3.3630E-07
 30.        6.2500E+02 2.0000E+01 2.4610E-05 2.2950E-07
 30.        6.7500E+02 2.0000E+01 1.0390E-05 1.3880E-07
 30.        7.2500E+02 2.0000E+01 2.8140E-06 7.0960E-08
 30.        7.7500E+02 2.0000E+01 4.8530E-07 2.8000E-08
 60.        5.2500E-01 5.0000E-01 5.8220E-03 0.0
 60.        5.2500E-01 5.0000E-01 5.8220E-03 1.0880E-04
 60.        5.7500E-01 5.0000E-01 5.5700E-03 9.0440E-05
 60.        6.2500E-01 5.0000E-01 4.7110E-03 7.9190E-05
 60.        6.7500E-01 5.0000E-01 4.6020E-03 7.2180E-05
 60.        7.2500E-01 5.0000E-01 4.7170E-03 6.8860E-05
 60.        7.7500E-01 5.0000E-01 4.8980E-03 6.7090E-05
 60.        8.2500E-01 5.0000E-01 4.5870E-03 6.3580E-05
 60.        8.7500E-01 5.0000E-01 4.8220E-03 6.2090E-05
 60.        9.2500E-01 5.0000E-01 5.2710E-03 7.0350E-05
 60.        9.7500E-01 5.0000E-01 4.5430E-03 6.5620E-05
 60.        1.0750E+00 1.0000E-01 3.7980E-03 4.1810E-05
 60.        1.1500E+00 1.0000E-01 3.6660E-03 3.6370E-05
 60.        1.2500E+00 1.0000E-01 3.5930E-03 3.4500E-05
 60.        1.3500E+00 1.0000E-01 2.9080E-03 3.2850E-05
 60.        1.4500E+00 1.0000E-01 2.9990E-03 3.0620E-05
 60.        1.5500E+00 1.0000E-01 2.8350E-03 3.0230E-05
 60.        1.6500E+00 1.0000E-01 2.6770E-03 2.9060E-05
 60.        1.7500E+00 1.0000E-01 2.4590E-03 2.7120E-05
 60.        1.8500E+00 1.0000E-01 2.5010E-03 2.7860E-05
 60.        1.9500E+00 1.0000E-01 2.5730E-03 2.8740E-05
 60.        2.1000E+00 2.0000E-01 2.1660E-03 1.7740E-05
 60.        2.3000E+00 2.0000E-01 2.5240E-03 2.1320E-05
 60.        2.5000E+00 2.0000E-01 2.7090E-03 2.3980E-05
 60.        2.7000E+00 2.0000E-01 2.1300E-03 2.0630E-05
 60.        2.9000E+00 2.0000E-01 2.0230E-03 2.1490E-05
 60.        3.1000E+00 2.0000E-01 1.7980E-03 1.9940E-05
 60.        3.3000E+00 2.0000E-01 1.4530E-03 1.7710E-05
 60.        3.5000E+00 2.0000E-01 1.2500E-03 1.6150E-05
 60.        3.7000E+00 2.0000E-01 1.1820E-03 1.6120E-05
 60.        3.9000E+00 2.0000E-01 1.0870E-03 1.4500E-05
 60.        4.1000E+00 2.0000E-01 1.0970E-03 1.5340E-05
 60.        4.3000E+00 2.0000E-01 1.0630E-03 1.5690E-05
 60.        4.5000E+00 2.0000E-01 9.6520E-04 1.4380E-05
 60.        4.7000E+00 2.0000E-01 1.0530E-03 1.4720E-05
 60.        4.9000E+00 2.0000E-01 9.8880E-04 1.4310E-05
 60.        5.2500E+00 5.0000E-01 8.1550E-04 7.9650E-06
 60.        5.7500E+00 5.0000E-01 8.3150E-04 8.5650E-06
 60.        6.2500E+00 5.0000E-01 6.6330E-04 7.0630E-06
 60.        6.7500E+00 5.0000E-01 6.3560E-04 6.9860E-06
 60.        7.2500E+00 5.0000E-01 5.5120E-04 6.5770E-06
 60.        7.7500E+00 5.0000E-01 5.1630E-04 6.2660E-06
 60.        8.2500E+00 5.0000E-01 4.9920E-04 6.0310E-06
 60.        8.7500E+00 5.0000E-01 4.7140E-04 5.8720E-06
 60.        9.2500E+00 5.0000E-01 4.5270E-04 5.7080E-06
 60.        9.7500E+00 5.0000E-01 4.3460E-04 5.8600E-06
 60.        1.0750E+01 1.0000E+00 3.8760E-04 3.7740E-06
 60.        1.1500E+01 1.0000E+00 3.6220E-04 3.7080E-06
 60.        1.2500E+01 1.0000E+00 3.2130E-04 3.5710E-06
 60.        1.3500E+01 1.0000E+00 3.0320E-04 3.5360E-06
 60.        1.4500E+01 1.0000E+00 2.9180E-04 3.5360E-06
 60.        1.5500E+01 1.0000E+00 2.7640E-04 3.5070E-06
 60.        1.6500E+01 1.0000E+00 2.6810E-04 3.5080E-06
 60.        1.7500E+01 1.0000E+00 2.4910E-04 3.4600E-06
 60.        1.8500E+01 1.0000E+00 2.3700E-04 3.3990E-06
 60.        1.9500E+01 1.0000E+00 2.3450E-04 3.4480E-06
 60.        2.1000E+01 2.0000E+00 1.9930E-04 3.3780E-06
 60.        2.3000E+01 2.0000E+00 1.8530E-04 3.1530E-06
 60.        2.5000E+01 2.0000E+00 1.7030E-04 2.9480E-06
 60.        2.7000E+01 2.0000E+00 1.6080E-04 2.8140E-06
 60.        2.9000E+01 2.0000E+00 1.6430E-04 2.8220E-06
 60.        3.1000E+01 2.0000E+00 1.5600E-04 2.7050E-06
 60.        3.3000E+01 2.0000E+00 1.5220E-04 2.6470E-06
 60.        3.5000E+01 2.0000E+00 1.4340E-04 2.5590E-06
 60.        3.7000E+01 2.0000E+00 1.4990E-04 2.6180E-06
 60.        3.9000E+01 2.0000E+00 1.4390E-04 2.5450E-06
 60.        4.1000E+01 2.0000E+00 1.4130E-04 2.4990E-06
 60.        4.3000E+01 2.0000E+00 1.4090E-04 2.5170E-06
 60.        4.5000E+01 2.0000E+00 1.4080E-04 2.5230E-06
 60.        4.7000E+01 2.0000E+00 1.3740E-04 2.5080E-06
 60.        4.9000E+01 2.0000E+00 1.3410E-04 2.4680E-06
 60.        5.2500E+01 5.0000E+00 1.3160E-04 1.5580E-06
 60.        5.7500E+01 5.0000E+00 1.2620E-04 1.5490E-06
 60.        6.2500E+01 5.0000E+00 1.2130E-04 1.5540E-06
 60.        6.7500E+01 5.0000E+00 1.2130E-04 1.5470E-06
 60.        7.2500E+01 5.0000E+00 1.1800E-04 1.5610E-06
 60.        7.7500E+01 5.0000E+00 1.1170E-04 1.5630E-06
 60.        8.2500E+01 5.0000E+00 1.0940E-04 1.5410E-06
 60.        8.7500E+01 5.0000E+00 1.1030E-04 1.5450E-06
 60.        9.2500E+01 5.0000E+00 1.0840E-04 1.5400E-06
 60.        9.7500E+01 5.0000E+00 1.0420E-04 1.5250E-06
 60.        1.0750E+02 1.0000E+01 1.0010E-04 1.0770E-06
 60.        1.1500E+02 1.0000E+01 9.4910E-05 1.0560E-06
 60.        1.2500E+02 1.0000E+01 8.9170E-05 1.0220E-06
 60.        1.3500E+02 1.0000E+01 8.5810E-05 1.0380E-06
 60.        1.4500E+02 1.0000E+01 8.0970E-05 1.0160E-06
 60.        1.5500E+02 1.0000E+01 7.7260E-05 1.0490E-06
 60.        1.6500E+02 1.0000E+01 7.0050E-05 9.9330E-07
 60.        1.7500E+02 1.0000E+01 6.5940E-05 9.6520E-07
 60.        1.8500E+02 1.0000E+01 6.1260E-05 9.4560E-07
 60.        1.9500E+02 1.0000E+01 5.4030E-05 8.9030E-07
 60.        2.1000E+02 2.0000E+01 4.5800E-05 6.0000E-07
 60.        2.3000E+02 2.0000E+01 3.4010E-05 5.2420E-07
 60.        2.5000E+02 2.0000E+01 2.5350E-05 4.4780E-07
 60.        2.7000E+02 2.0000E+01 1.8560E-05 3.8430E-07
 60.        2.9000E+02 2.0000E+01 1.3440E-05 3.2000E-07
 60.        3.1000E+02 2.0000E+01 9.5890E-06 2.4850E-07
 60.        3.3000E+02 2.0000E+01 6.9700E-06 2.0470E-07
 60.        3.5000E+02 2.0000E+01 4.8370E-06 1.6310E-07
 60.        3.7000E+02 2.0000E+01 3.4180E-06 1.3320E-07
 60.        3.9000E+02 2.0000E+01 2.3550E-06 1.1150E-07
 60.        4.1000E+02 2.0000E+01 1.6450E-06 9.3930E-08
 60.        4.3000E+02 2.0000E+01 1.1450E-06 7.5790E-08
 60.        4.5000E+02 2.0000E+01 7.7890E-07 6.2870E-08
 60.        4.7000E+02 2.0000E+01 5.6810E-07 5.4770E-08
 60.        4.9000E+02 2.0000E+01 3.2400E-07 4.3000E-08
 60.        5.2500E+02 2.0000E+01 1.8860E-07 2.2670E-08
