INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,102,310,198907)
           (R,LA-11518,198903)
AUTHOR     (M.M.MEIER,D.A.CLARK,C.A.GOULDING,J.B.MCCLELLAND,
           G.L.MORGAN,C.E.MOSS,W.B.AMIAN)
TITLE      Differential Neutron Production Cross Sections and
            Neutron Yields from Stopping-Length Targets for
            113-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections by M. Meier, 21 May
                   1999.
HISTORY    (19980916C)
           (19990601A) Data units corrected. Angle labeled 120.
                       degrees corrected to 60. degrees.
EN
MEV
113.
------------------------------------------------------------------------
SUBENT        C0171003   19990601
BIB                  2          2
REACTION   (6-C-0(P,X)0-NN-1,,DA/DE)
SAMPLE     394.8 g natural carbon sample.
ENDBIB               2          0
NOCOMMON             0          0
DATA                 5        290
ANG        E          E-RSL      DATA       DATA-ERR
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV
  7.5       6.7500E-01 5.0000E-01 6.6860E-04 0.0
  7.5       6.7500E-01 5.0000E-01 6.6860E-04 1.4640E-04
  7.5       7.2500E-01 5.0000E-01 7.2070E-04 1.4360E-04
  7.5       7.7500E-01 5.0000E-01 7.7640E-04 1.3180E-04
  7.5       8.2500E-01 5.0000E-01 9.0640E-04 1.2760E-04
  7.5       8.7500E-01 5.0000E-01 9.2050E-04 1.2290E-04
  7.5       9.2500E-01 5.0000E-01 1.1970E-03 1.3570E-04
  7.5       9.7500E-01 5.0000E-01 1.1340E-03 1.3050E-04
  7.5       1.0750E+00 1.0000E-01 7.7890E-04 8.2330E-05
  7.5       1.1500E+00 1.0000E-01 8.1130E-04 7.1940E-05
  7.5       1.2500E+00 1.0000E-01 9.0840E-04 6.9460E-05
  7.5       1.3500E+00 1.0000E-01 7.1890E-04 6.6490E-05
  7.5       1.4500E+00 1.0000E-01 8.0160E-04 6.4240E-05
  7.5       1.5500E+00 1.0000E-01 6.8190E-04 6.1930E-05
  7.5       1.6500E+00 1.0000E-01 7.0870E-04 5.9950E-05
  7.5       1.7500E+00 1.0000E-01 7.4970E-04 5.6600E-05
  7.5       1.8500E+00 1.0000E-01 8.1070E-04 5.8360E-05
  7.5       1.9500E+00 1.0000E-01 7.7830E-04 5.9790E-05
  7.5       2.1000E+00 2.0000E-01 7.5070E-04 3.8230E-05
  7.5       2.3000E+00 2.0000E-01 8.1300E-04 4.5390E-05
  7.5       2.5000E+00 2.0000E-01 9.7800E-04 4.9540E-05
  7.5       2.7000E+00 2.0000E-01 8.9300E-04 4.4970E-05
  7.5       2.9000E+00 2.0000E-01 9.7090E-04 4.8160E-05
  7.5       3.1000E+00 2.0000E-01 8.9530E-04 4.6000E-05
  7.5       3.3000E+00 2.0000E-01 7.2100E-04 4.1260E-05
  7.5       3.5000E+00 2.0000E-01 6.7020E-04 3.9320E-05
  7.5       3.7000E+00 2.0000E-01 7.1760E-04 3.9330E-05
  7.5       3.9000E+00 2.0000E-01 6.3030E-04 3.6030E-05
  7.5       4.1000E+00 2.0000E-01 6.4400E-04 3.8400E-05
  7.5       4.3000E+00 2.0000E-01 6.3840E-04 3.9760E-05
  7.5       4.5000E+00 2.0000E-01 6.0980E-04 3.5220E-05
  7.5       4.7000E+00 2.0000E-01 6.0070E-04 3.6840E-05
  7.5       4.9000E+00 2.0000E-01 6.5310E-04 3.5840E-05
  7.5       5.2500E+00 5.0000E-01 5.5750E-04 2.1260E-05
  7.5       5.7500E+00 5.0000E-01 5.8110E-04 2.3740E-05
  7.5       6.2500E+00 5.0000E-01 4.0960E-04 1.6950E-05
  7.5       6.7500E+00 5.0000E-01 4.9350E-04 2.0000E-05
  7.5       7.2500E+00 5.0000E-01 4.2810E-04 1.9590E-05
  7.5       7.7500E+00 5.0000E-01 4.3430E-04 1.9650E-05
