INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
AUTHOR     (W.B.AMIAN,R.C.BYRD,D.A.CLARK,C.A.GOULDING,M.M.MEIER,
           G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            597-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved by M. Meier, 21 May 1999.
HISTORY    (19980911C)
           (19990521A) Data units corrected.
EN
MEV
597.
------------------------------------------------------------------------
SUBENT        C0169004   19990521
BIB                  2          2
REACTION   (6-C-0(P,X)0-NN-1,,DA/DE)
SAMPLE     Natural carbon sample, thickness 0.56 g/cm2.
ENDBIB               2          0
NOCOMMON             0          0
DATA                 5        366
ANG        E          E-RSL      DATA       DATA-ERR
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV
 30.        1.0750E+00 1.0000E-01 0.0        0.0
 30.        1.0750E+00 1.0000E-01 9.2820E-04 3.0640E-04
 30.        1.1500E+00 1.0000E-01 1.1440E-03 2.6450E-04
 30.        1.2500E+00 1.0000E-01 1.2470E-03 2.4800E-04
 30.        1.3500E+00 1.0000E-01 1.2670E-03 2.4010E-04
 30.        1.4500E+00 1.0000E-01 1.2000E-03 2.2130E-04
 30.        1.5500E+00 1.0000E-01 1.0320E-03 2.1590E-04
 30.        1.6500E+00 1.0000E-01 9.1190E-04 2.1030E-04
 30.        1.7500E+00 1.0000E-01 1.0530E-03 2.0140E-04
 30.        1.8500E+00 1.0000E-01 1.0110E-03 1.9950E-04
 30.        1.9500E+00 1.0000E-01 1.0400E-03 1.9910E-04
 30.        2.1000E+00 2.0000E-01 9.9480E-04 1.3070E-04
 30.        2.3000E+00 2.0000E-01 9.3500E-04 1.3880E-04
 30.        2.5000E+00 2.0000E-01 1.1560E-03 1.4550E-04
 30.        2.7000E+00 2.0000E-01 1.0250E-03 1.3440E-04
 30.        2.9000E+00 2.0000E-01 1.0370E-03 1.3810E-04
 30.        3.1000E+00 2.0000E-01 9.7520E-04 1.3360E-04
 30.        3.3000E+00 2.0000E-01 8.1520E-04 1.2650E-04
