INSTITUTE  (2GERKFK)
REFERENCE  (R,KFK-3779,11,84)
AUTHOR     (D.FILGES,S.CIERJACKS,Y.HINO,T.W.ARMSTRONG,P.CLOTH)
TITLE      VALIDATION OF THE INTRA-NUCLEAR CASCADE EVAPORATION
            MODEL FOR PARTICLE PRODUCTION.
METHOD     (TOF) 1.3M FLIGHT PATH FOR 30, 90, AND 150 DEGREE
                 MEASUREMENTS AND 2.3M FLIGHT PATH FOR 23 DEGREE
                 MEASUREMENTS. SEE CIERJACKS ET AL 81ANTWER, P.383
FACILITY   (CYCLO)
MONITOR    PROTON MONITOR INVOLVED A THIN GRAPHITE SCATTERER
            PLACED IN PROTON BEAM FAR UPSTREAM OF NEUTRON
            PRODUCING TARGET, AND FORWARD SCATTERED PROTONS AT 30
            DEGREE WERE DETECTED BY A PLASTIC SCINTILLATOR
            DETECTOR
DETECTOR   (SCIN) NE213 LIQUID SCINTILLATOR.
ERR-ANALYS (DATA-ERR)NEUTRON ENERGY RESOLUTION RANGED BETWEEN
             1.8 AND 33.8 PERCENT FOR NEUTRONS IN THE ENERGY RANGE
             1 TO 500 MEV.
STATUS     DATA RECEIVED FROM AUTHOR ON 87/3/20.
           (APRVD) S.CIERJACKS, 870430.
EN
MEV
 5.9000E+02
------------------------------------------------------------------------
SUBENT        98210007     881229
BIB
REACTION   (6-C-12(P,X)0-NN-1,,DA/DE,N)
E-MIN      E-MAX      +E-ERR     -E-ERR     DATA       DATA-ERR
MEV        MEV        MEV        MEV        B/SR/MEV   B/SR/MEV
ADEG
 3.0000E+01
41
 7.4000E-01 8.9900E-01 8.0000E-02 7.0000E-02 1.0460E-02 1.1690E-03
 8.9900E-01 1.0570E+00 9.0000E-02 8.0000E-02 9.8010E-03 1.0960E-03
 1.0570E+00 1.2440E+00 1.1000E-01 9.0000E-02 1.0560E-02 1.1810E-03
 1.2440E+00 1.4630E+00 1.3000E-01 1.1000E-01 9.0260E-03 1.0090E-03
 1.4630E+00 1.7220E+00 1.5000E-01 1.3000E-01 8.6830E-03 9.7090E-04
 1.7220E+00 2.0260E+00 1.8000E-01 1.5000E-01 7.3720E-03 8.2430E-04
 2.0260E+00 2.3830E+00 2.1000E-01 1.8000E-01 5.9810E-03 6.6880E-04
 2.3830E+00 2.8040E+00 2.4000E-01 2.1000E-01 4.5290E-03 5.0640E-04
