INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,112,78,1992)
AUTHOR     (W.B.AMIAN,R.C.BYRD,C.A.GOULDING,M.M.MEIER,G.L.MORGAN,
           C.E.MOSS,D.A.CLARK)
TITLE      Differential Neutron Production Cross Sections for
            800-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . live time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections, R. Byrd, 21 May 1999
HISTORY    (19980911C)
           (19990601A) Data units corrected.
EN
MEV
800.
------------------------------------------------------------------------
SUBENT        C0170004   19990601
BIB                  2          3
REACTION   (6-C-0(P,X)0-NN-1,,DA/DE)
SAMPLE     Natural carbon sample.
           Sample 3 MeV thick to 800 MeV protons.
ENDBIB               3          0
NOCOMMON             0          0
DATA                 5        351
ANG        E          E-RSL      DATA       DATA-ERR
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV
 30.        7.2500E-01 5.0000E-01 0.0        0.0
 30.        7.2500E-01 5.0000E-01 1.3870E-03 4.3020E-05
 30.        7.7500E-01 5.0000E-01 1.4440E-03 4.0930E-05
 30.        8.2500E-01 5.0000E-01 1.4010E-03 3.9290E-05
 30.        8.7500E-01 5.0000E-01 1.4230E-03 3.7480E-05
 30.        9.2500E-01 5.0000E-01 1.4780E-03 4.0450E-05
 30.        9.7500E-01 5.0000E-01 1.3800E-03 3.8360E-05
 30.        1.0750E+00 1.0000E-01 1.3080E-03 2.4510E-05
 30.        1.1500E+00 1.0000E-01 1.2650E-03 2.1300E-05
 30.        1.2500E+00 1.0000E-01 1.2710E-03 2.0390E-05
 30.        1.3500E+00 1.0000E-01 1.1600E-03 2.0060E-05
 30.        1.4500E+00 1.0000E-01 1.1860E-03 1.9260E-05
 30.        1.5500E+00 1.0000E-01 1.1590E-03 1.9210E-05
 30.        1.6500E+00 1.0000E-01 1.1370E-03 1.8220E-05
 30.        1.7500E+00 1.0000E-01 1.1110E-03 1.8010E-05
 30.        1.8500E+00 1.0000E-01 1.1470E-03 1.8130E-05
 30.        1.9500E+00 1.0000E-01 1.1800E-03 1.7710E-05
 30.        2.1000E+00 2.0000E-01 1.0760E-03 1.2360E-05
 30.        2.3000E+00 2.0000E-01 1.1730E-03 1.3390E-05
 30.        2.5000E+00 2.0000E-01 1.2440E-03 1.4340E-05
 30.        2.7000E+00 2.0000E-01 1.1370E-03 1.3560E-05
 30.        2.9000E+00 2.0000E-01 1.0750E-03 1.3910E-05
 30.        3.1000E+00 2.0000E-01 1.0290E-03 1.3250E-05
 30.        3.3000E+00 2.0000E-01 8.9070E-04 1.2610E-05
 30.        3.5000E+00 2.0000E-01 8.4210E-04 1.1760E-05
 30.        3.7000E+00 2.0000E-01 8.1350E-04 1.1940E-05
 30.        3.9000E+00 2.0000E-01 7.8910E-04 1.1330E-05
 30.        4.1000E+00 2.0000E-01 7.8020E-04 1.1380E-05
 30.        4.3000E+00 2.0000E-01 7.5260E-04 1.1580E-05
 30.        4.5000E+00 2.0000E-01 7.3670E-04 1.0800E-05
 30.        4.7000E+00 2.0000E-01 7.4110E-04 1.0730E-05
 30.        4.9000E+00 2.0000E-01 7.2880E-04 1.0640E-05
 30.        5.2500E+00 5.0000E-01 6.3110E-04 6.1560E-06
 30.        5.7500E+00 5.0000E-01 6.2680E-04 6.3350E-06
 30.        6.2500E+00 5.0000E-01 5.4590E-04 5.5540E-06
 30.        6.7500E+00 5.0000E-01 5.1540E-04 5.3260E-06
 30.        7.2500E+00 5.0000E-01 4.7200E-04 4.9600E-06
 30.        7.7500E+00 5.0000E-01 4.5870E-04 4.8400E-06
 30.        8.2500E+00 5.0000E-01 4.2540E-04 4.4650E-06
 30.        8.7500E+00 5.0000E-01 3.9800E-04 4.3310E-06
 30.        9.2500E+00 5.0000E-01 4.0230E-04 4.1520E-06
 30.        9.7500E+00 5.0000E-01 3.8510E-04 4.1670E-06
 30.        1.0750E+01 1.0000E+00 3.5930E-04 2.8210E-06
 30.        1.1500E+01 1.0000E+00 3.4200E-04 2.7240E-06
 30.        1.2500E+01 1.0000E+00 3.2020E-04 2.6230E-06
 30.        1.3500E+01 1.0000E+00 3.0230E-04 2.6500E-06
 30.        1.4500E+01 1.0000E+00 2.9180E-04 2.5740E-06
 30.        1.5500E+01 1.0000E+00 2.8180E-04 2.6500E-06
 30.        1.6500E+01 1.0000E+00 2.7880E-04 2.5950E-06
 30.        1.7500E+01 1.0000E+00 2.6460E-04 2.6780E-06
 30.        1.8500E+01 1.0000E+00 2.6120E-04 2.6230E-06
 30.        1.9500E+01 1.0000E+00 2.4660E-04 2.6380E-06
 30.        2.1000E+01 2.0000E+00 2.3380E-04 2.8560E-06
 30.        2.3000E+01 2.0000E+00 2.1930E-04 2.7750E-06
 30.        2.5000E+01 2.0000E+00 2.0130E-04 2.5130E-06
 30.        2.7000E+01 2.0000E+00 2.0170E-04 2.3340E-06
 30.        2.9000E+01 2.0000E+00 1.9770E-04 2.3240E-06
 30.        3.1000E+01 2.0000E+00 1.9510E-04 2.1910E-06
 30.        3.3000E+01 2.0000E+00 1.8440E-04 2.2660E-06
 30.        3.5000E+01 2.0000E+00 1.8340E-04 2.1520E-06
 30.        3.7000E+01 2.0000E+00 1.7680E-04 2.1030E-06
 30.        3.9000E+01 2.0000E+00 1.7630E-04 2.0990E-06
 30.        4.1000E+01 2.0000E+00 1.7230E-04 2.0670E-06
 30.        4.3000E+01 2.0000E+00 1.7280E-04 2.0120E-06
 30.        4.5000E+01 2.0000E+00 1.7450E-04 2.0520E-06
 30.        4.7000E+01 2.0000E+00 1.7070E-04 2.0550E-06
 30.        4.9000E+01 2.0000E+00 1.6530E-04 2.1350E-06
 30.        5.2500E+01 5.0000E+00 1.6820E-04 1.3420E-06
 30.        5.7500E+01 5.0000E+00 1.6530E-04 1.3350E-06
 30.        6.2500E+01 5.0000E+00 1.6640E-04 1.3880E-06
 30.        6.7500E+01 5.0000E+00 1.6330E-04 1.3750E-06
 30.        7.2500E+01 5.0000E+00 1.6190E-04 1.4270E-06
 30.        7.7500E+01 5.0000E+00 1.5880E-04 1.4610E-06
 30.        8.2500E+01 5.0000E+00 1.5770E-04 1.4760E-06
 30.        8.7500E+01 5.0000E+00 1.5520E-04 1.4700E-06
 30.        9.2500E+01 5.0000E+00 1.5430E-04 1.4560E-06
 30.        9.7500E+01 5.0000E+00 1.4690E-04 1.4400E-06
 30.        1.0750E+02 1.0000E+01 1.4270E-04 9.9880E-07
 30.        1.1500E+02 1.0000E+01 1.3750E-04 9.8800E-07
 30.        1.2500E+02 1.0000E+01 1.3230E-04 9.7860E-07
 30.        1.3500E+02 1.0000E+01 1.2900E-04 9.7980E-07
 30.        1.4500E+02 1.0000E+01 1.2430E-04 9.6030E-07
 30.        1.5500E+02 1.0000E+01 1.2160E-04 9.7610E-07
 30.        1.6500E+02 1.0000E+01 1.1790E-04 9.5270E-07
 30.        1.7500E+02 1.0000E+01 1.1520E-04 9.6100E-07
 30.        1.8500E+02 1.0000E+01 1.1260E-04 9.6340E-07
 30.        1.9500E+02 1.0000E+01 1.0950E-04 9.9160E-07
 30.        2.1000E+02 2.0000E+01 1.0580E-04 6.8830E-07
 30.        2.3000E+02 2.0000E+01 9.8490E-05 7.1680E-07
 30.        2.5000E+02 2.0000E+01 9.2350E-05 6.6820E-07
 30.        2.7000E+02 2.0000E+01 8.4960E-05 6.6010E-07
 30.        2.9000E+02 2.0000E+01 7.8180E-05 6.3530E-07
 30.        3.1000E+02 2.0000E+01 7.0940E-05 6.1220E-07
 30.        3.3000E+02 2.0000E+01 6.3700E-05 5.7460E-07
 30.        3.5000E+02 2.0000E+01 5.7540E-05 5.3710E-07
 30.        3.7000E+02 2.0000E+01 5.2660E-05 5.2150E-07
 30.        3.9000E+02 2.0000E+01 4.8310E-05 4.7630E-07
 30.        4.1000E+02 2.0000E+01 4.6450E-05 4.9270E-07
 30.        4.3000E+02 2.0000E+01 4.5000E-05 4.9490E-07
 30.        4.5000E+02 2.0000E+01 4.5700E-05 4.7990E-07
 30.        4.7000E+02 2.0000E+01 4.4930E-05 5.0100E-07
 30.        4.9000E+02 2.0000E+01 4.4620E-05 4.9770E-07
 30.        5.2500E+02 2.0000E+01 4.2820E-05 3.2890E-07
 30.        5.7500E+02 2.0000E+01 3.6490E-05 2.8630E-07
 30.        6.2500E+02 2.0000E+01 2.3350E-05 2.1500E-07
 30.        6.7500E+02 2.0000E+01 1.1000E-05 1.3950E-07
 30.        7.2500E+02 2.0000E+01 3.4420E-06 7.8510E-08
 30.        7.7500E+02 2.0000E+01 6.4390E-07 3.1800E-08
 60.        1.8500E+00 1.0000E-01 0.0        0.0
 60.        1.8500E+00 1.0000E-01 9.2590E-04 2.5480E-05
 60.        1.9500E+00 1.0000E-01 9.3040E-04 2.6280E-05
 60.        2.1000E+00 2.0000E-01 8.1290E-04 1.6320E-05
 60.        2.3000E+00 2.0000E-01 9.8770E-04 1.9370E-05
 60.        2.5000E+00 2.0000E-01 1.1200E-03 2.1910E-05
 60.        2.7000E+00 2.0000E-01 9.4800E-04 1.9640E-05
 60.        2.9000E+00 2.0000E-01 9.3500E-04 2.0540E-05
 60.        3.1000E+00 2.0000E-01 8.9350E-04 1.8840E-05
 60.        3.3000E+00 2.0000E-01 6.9160E-04 1.7130E-05
 60.        3.5000E+00 2.0000E-01 6.2850E-04 1.5770E-05
 60.        3.7000E+00 2.0000E-01 5.9900E-04 1.6160E-05
 60.        3.9000E+00 2.0000E-01 5.7540E-04 1.3730E-05
 60.        4.1000E+00 2.0000E-01 5.8960E-04 1.4890E-05
 60.        4.3000E+00 2.0000E-01 5.7380E-04 1.5600E-05
 60.        4.5000E+00 2.0000E-01 5.5670E-04 1.4440E-05
 60.        4.7000E+00 2.0000E-01 5.8540E-04 1.3830E-05
 60.        4.9000E+00 2.0000E-01 5.6230E-04 1.3780E-05
 60.        5.2500E+00 5.0000E-01 4.8250E-04 7.5230E-06
 60.        5.7500E+00 5.0000E-01 5.0960E-04 8.2480E-06
 60.        6.2500E+00 5.0000E-01 4.0490E-04 6.6150E-06
 60.        6.7500E+00 5.0000E-01 3.8060E-04 6.6980E-06
 60.        7.2500E+00 5.0000E-01 3.4430E-04 6.2770E-06
 60.        7.7500E+00 5.0000E-01 3.2720E-04 5.9410E-06
 60.        8.2500E+00 5.0000E-01 3.2780E-04 5.4610E-06
 60.        8.7500E+00 5.0000E-01 3.0660E-04 5.3410E-06
 60.        9.2500E+00 5.0000E-01 2.9990E-04 5.3080E-06
 60.        9.7500E+00 5.0000E-01 2.9480E-04 5.5500E-06
 60.        1.0750E+01 1.0000E+00 2.7100E-04 3.3890E-06
 60.        1.1500E+01 1.0000E+00 2.6080E-04 3.3160E-06
 60.        1.2500E+01 1.0000E+00 2.3150E-04 3.3210E-06
 60.        1.3500E+01 1.0000E+00 2.2890E-04 3.2770E-06
 60.        1.4500E+01 1.0000E+00 2.1640E-04 3.2630E-06
 60.        1.5500E+01 1.0000E+00 2.0640E-04 3.2740E-06
 60.        1.6500E+01 1.0000E+00 2.0520E-04 3.2740E-06
 60.        1.7500E+01 1.0000E+00 1.9390E-04 3.2390E-06
 60.        1.8500E+01 1.0000E+00 1.9060E-04 3.1420E-06
 60.        1.9500E+01 1.0000E+00 1.8840E-04 3.1900E-06
 60.        2.1000E+01 2.0000E+00 1.6210E-04 2.9650E-06
 60.        2.3000E+01 2.0000E+00 1.5560E-04 2.6730E-06
 60.        2.5000E+01 2.0000E+00 1.4690E-04 2.5150E-06
 60.        2.7000E+01 2.0000E+00 1.3540E-04 2.3910E-06
 60.        2.9000E+01 2.0000E+00 1.4170E-04 2.4170E-06
 60.        3.1000E+01 2.0000E+00 1.3910E-04 2.2820E-06
 60.        3.3000E+01 2.0000E+00 1.3920E-04 2.2420E-06
 60.        3.5000E+01 2.0000E+00 1.3650E-04 2.2160E-06
 60.        3.7000E+01 2.0000E+00 1.2860E-04 2.1630E-06
 60.        3.9000E+01 2.0000E+00 1.3010E-04 2.1110E-06
 60.        4.1000E+01 2.0000E+00 1.3040E-04 2.0740E-06
 60.        4.3000E+01 2.0000E+00 1.2650E-04 2.1100E-06
 60.        4.5000E+01 2.0000E+00 1.2350E-04 2.0580E-06
 60.        4.7000E+01 2.0000E+00 1.2450E-04 2.1020E-06
 60.        4.9000E+01 2.0000E+00 1.2110E-04 2.0470E-06
 60.        5.2500E+01 5.0000E+00 1.2000E-04 1.2860E-06
 60.        5.7500E+01 5.0000E+00 1.1360E-04 1.2860E-06
 60.        6.2500E+01 5.0000E+00 1.0990E-04 1.3030E-06
 60.        6.7500E+01 5.0000E+00 1.0540E-04 1.2490E-06
 60.        7.2500E+01 5.0000E+00 1.0130E-04 1.2590E-06
 60.        7.7500E+01 5.0000E+00 9.8420E-05 1.2970E-06
 60.        8.2500E+01 5.0000E+00 9.6150E-05 1.2340E-06
 60.        8.7500E+01 5.0000E+00 9.3020E-05 1.2230E-06
 60.        9.2500E+01 5.0000E+00 9.0550E-05 1.1940E-06
 60.        9.7500E+01 5.0000E+00 8.8250E-05 1.2270E-06
 60.        1.0750E+02 1.0000E+01 8.1610E-05 8.4730E-07
 60.        1.1500E+02 1.0000E+01 7.9340E-05 8.3610E-07
 60.        1.2500E+02 1.0000E+01 7.4380E-05 8.0210E-07
 60.        1.3500E+02 1.0000E+01 7.0280E-05 8.0990E-07
 60.        1.4500E+02 1.0000E+01 6.4450E-05 7.9070E-07
 60.        1.5500E+02 1.0000E+01 6.1930E-05 8.1210E-07
 60.        1.6500E+02 1.0000E+01 5.7070E-05 7.9000E-07
 60.        1.7500E+02 1.0000E+01 5.1870E-05 7.5360E-07
 60.        1.8500E+02 1.0000E+01 4.9170E-05 7.2840E-07
 60.        1.9500E+02 1.0000E+01 4.4330E-05 6.9920E-07
 60.        2.1000E+02 2.0000E+01 3.8580E-05 4.7780E-07
 60.        2.3000E+02 2.0000E+01 3.0600E-05 4.4550E-07
 60.        2.5000E+02 2.0000E+01 2.3500E-05 3.8480E-07
 60.        2.7000E+02 2.0000E+01 1.7650E-05 3.3020E-07
 60.        2.9000E+02 2.0000E+01 1.3510E-05 2.9170E-07
 60.        3.1000E+02 2.0000E+01 9.5960E-06 2.2090E-07
 60.        3.3000E+02 2.0000E+01 7.3390E-06 1.8380E-07
 60.        3.5000E+02 2.0000E+01 5.1220E-06 1.4680E-07
 60.        3.7000E+02 2.0000E+01 3.6260E-06 1.2090E-07
 60.        3.9000E+02 2.0000E+01 2.5060E-06 1.1100E-07
 60.        4.1000E+02 2.0000E+01 1.8800E-06 9.8330E-08
 60.        4.3000E+02 2.0000E+01 1.3910E-06 7.6460E-08
 60.        4.5000E+02 2.0000E+01 9.2450E-07 6.4820E-08
 60.        4.7000E+02 2.0000E+01 6.3040E-07 5.7110E-08
 60.        4.9000E+02 2.0000E+01 4.1750E-07 5.0220E-08
 60.        5.2500E+02 2.0000E+01 1.9510E-07 2.7480E-08
 60.        5.7500E+02 2.0000E+01 6.8790E-08 2.2860E-08
 60.        6.2500E+02 2.0000E+01 2.9900E-08 2.0410E-08
120.        2.1000E+00 2.0000E-01 0.0        0.0
120.        2.1000E+00 2.0000E-01 7.1920E-04 3.8480E-06
120.        2.3000E+00 2.0000E-01 7.5290E-04 4.1680E-06
120.        2.5000E+00 2.0000E-01 7.9270E-04 4.4740E-06
120.        2.7000E+00 2.0000E-01 7.2150E-04 4.2390E-06
120.        2.9000E+00 2.0000E-01 6.5560E-04 4.1850E-06
120.        3.1000E+00 2.0000E-01 6.4190E-04 4.1690E-06
120.        3.3000E+00 2.0000E-01 5.4970E-04 3.8480E-06
120.        3.5000E+00 2.0000E-01 5.1110E-04 3.7120E-06
120.        3.7000E+00 2.0000E-01 4.9560E-04 3.7050E-06
120.        3.9000E+00 2.0000E-01 4.7690E-04 3.6070E-06
120.        4.1000E+00 2.0000E-01 4.7320E-04 3.6740E-06
120.        4.3000E+00 2.0000E-01 4.5270E-04 3.6490E-06
120.        4.5000E+00 2.0000E-01 4.3270E-04 3.5280E-06
120.        4.7000E+00 2.0000E-01 4.4530E-04 3.6040E-06
120.        4.9000E+00 2.0000E-01 4.2820E-04 3.5400E-06
120.        5.2500E+00 5.0000E-01 3.8000E-04 2.1030E-06
120.        5.7500E+00 5.0000E-01 3.7360E-04 2.1450E-06
120.        6.2500E+00 5.0000E-01 3.1810E-04 1.9280E-06
120.        6.7500E+00 5.0000E-01 3.0610E-04 1.8930E-06
120.        7.2500E+00 5.0000E-01 2.8030E-04 1.8190E-06
120.        7.7500E+00 5.0000E-01 2.6670E-04 1.7610E-06
120.        8.2500E+00 5.0000E-01 2.4750E-04 1.6890E-06
