INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
           (R,LA-11656,198908)
AUTHOR     (M.M.MEIER,W.B.AMIAN,C.A.GOULDING,G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            256-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
REACTION   (26-FE-0(P,X)0-NN-1,,DA/DE)
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
MEV
256.
ENDCOMMON            3          0
DATA                 5        342
ANG        E          E-RSL      DATA       DATA-ERR
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV
  7.5       1.0750E+00 1.0000E-01 0.0        0.0
  7.5       1.0750E+00 1.0000E-01 1.3880E-02 9.3190E-04
  7.5       1.1500E+00 1.0000E-01 1.5280E-02 8.0250E-04
  7.5       1.2500E+00 1.0000E-01 1.6530E-02 7.3590E-04
  7.5       1.3500E+00 1.0000E-01 1.2920E-02 7.3550E-04
  7.5       1.4500E+00 1.0000E-01 1.4420E-02 7.1260E-04
  7.5       1.5500E+00 1.0000E-01 1.3920E-02 6.8360E-04
  7.5       1.6500E+00 1.0000E-01 1.4890E-02 6.4780E-04
  7.5       1.7500E+00 1.0000E-01 1.4590E-02 6.2170E-04
  7.5       1.8500E+00 1.0000E-01 1.4150E-02 6.3580E-04
  7.5       1.9500E+00 1.0000E-01 1.5820E-02 6.4080E-04
  7.5       2.1000E+00 2.0000E-01 1.3930E-02 4.6120E-04
  7.5       2.3000E+00 2.0000E-01 1.6880E-02 5.3560E-04
  7.5       2.5000E+00 2.0000E-01 1.7710E-02 5.7890E-04
  7.5       2.7000E+00 2.0000E-01 1.5010E-02 5.0220E-04
  7.5       2.9000E+00 2.0000E-01 1.5580E-02 5.3130E-04
  7.5       3.1000E+00 2.0000E-01 1.2560E-02 4.7000E-04
  7.5       3.3000E+00 2.0000E-01 1.1210E-02 4.1860E-04
  7.5       3.5000E+00 2.0000E-01 1.0680E-02 3.8400E-04
  7.5       3.7000E+00 2.0000E-01 9.8650E-03 3.7290E-04
  7.5       3.9000E+00 2.0000E-01 8.8630E-03 3.3300E-04
  7.5       4.1000E+00 2.0000E-01 8.2180E-03 3.3320E-04
  7.5       4.3000E+00 2.0000E-01 8.6140E-03 3.3500E-04
  7.5       4.5000E+00 2.0000E-01 8.1110E-03 3.0710E-04
  7.5       4.7000E+00 2.0000E-01 8.0460E-03 3.0590E-04
  7.5       4.9000E+00 2.0000E-01 8.1760E-03 3.0220E-04
  7.5       5.2500E+00 5.0000E-01 6.2790E-03 1.9140E-04
  7.5       5.7500E+00 5.0000E-01 6.2790E-03 1.9130E-04
  7.5       6.2500E+00 5.0000E-01 4.8600E-03 1.5200E-04
  7.5       6.7500E+00 5.0000E-01 4.4550E-03 1.4050E-04
  7.5       7.2500E+00 5.0000E-01 3.7740E-03 1.2770E-04
  7.5       7.7500E+00 5.0000E-01 3.5740E-03 1.1870E-04
  7.5       8.2500E+00 5.0000E-01 3.0760E-03 1.0590E-04
  7.5       8.7500E+00 5.0000E-01 2.8140E-03 9.9890E-05
  7.5       9.2500E+00 5.0000E-01 2.6690E-03 9.3710E-05
  7.5       9.7500E+00 5.0000E-01 2.5030E-03 9.2020E-05
  7.5       1.0750E+01 1.0000E+00 2.0810E-03 6.4610E-05
  7.5       1.1500E+01 1.0000E+00 1.8230E-03 6.0770E-05
  7.5       1.2500E+01 1.0000E+00 1.6870E-03 5.6210E-05
  7.5       1.3500E+01 1.0000E+00 1.4660E-03 5.3330E-05
  7.5       1.4500E+01 1.0000E+00 1.3930E-03 5.0740E-05
  7.5       1.5500E+01 1.0000E+00 1.2730E-03 4.9450E-05
  7.5       1.6500E+01 1.0000E+00 1.1910E-03 4.6880E-05
  7.5       1.7500E+01 1.0000E+00 1.1430E-03 4.7130E-05
  7.5       1.8500E+01 1.0000E+00 1.1020E-03 4.7680E-05
  7.5       1.9500E+01 1.0000E+00 1.0100E-03 4.6460E-05
  7.5       2.1000E+01 2.0000E+00 9.4590E-04 3.3180E-05
  7.5       2.3000E+01 2.0000E+00 8.2170E-04 3.0720E-05
  7.5       2.5000E+01 2.0000E+00 7.7210E-04 2.8960E-05
  7.5       2.7000E+01 2.0000E+00 7.3440E-04 2.7930E-05
  7.5       2.9000E+01 2.0000E+00 6.9340E-04 2.7690E-05
  7.5       3.1000E+01 2.0000E+00 6.9770E-04 2.6900E-05
  7.5       3.3000E+01 2.0000E+00 6.8450E-04 2.7180E-05
  7.5       3.5000E+01 2.0000E+00 7.2060E-04 3.4080E-05
  7.5       3.7000E+01 2.0000E+00 6.3620E-04 3.1040E-05
  7.5       3.9000E+01 2.0000E+00 6.6790E-04 3.2410E-05
  7.5       4.1000E+01 2.0000E+00 6.5850E-04 3.1620E-05
  7.5       4.3000E+01 2.0000E+00 6.5220E-04 3.0470E-05
  7.5       4.5000E+01 2.0000E+00 6.2830E-04 3.1210E-05
  7.5       4.7000E+01 2.0000E+00 5.9730E-04 3.0610E-05
  7.5       4.9000E+01 2.0000E+00 6.3060E-04 3.1290E-05
  7.5       5.2500E+01 5.0000E+00 5.8430E-04 2.1240E-05
  7.5       5.7500E+01 5.0000E+00 5.7970E-04 2.1090E-05
  7.5       6.2500E+01 5.0000E+00 5.5520E-04 2.0780E-05
  7.5       6.7500E+01 5.0000E+00 5.2760E-04 2.0260E-05
  7.5       7.2500E+01 5.0000E+00 5.4010E-04 2.0550E-05
  7.5       7.7500E+01 5.0000E+00 5.1990E-04 2.0760E-05
  7.5       8.2500E+01 5.0000E+00 4.8540E-04 2.1140E-05
  7.5       8.7500E+01 5.0000E+00 5.2260E-04 2.1010E-05
  7.5       9.2500E+01 5.0000E+00 4.8520E-04 2.0400E-05
  7.5       9.7500E+01 5.0000E+00 4.8710E-04 1.9670E-05
