REFERENCE  (R,KFK-3779,11,84)
AUTHOR     (D.FILGES,S.CIERJACKS,Y.HINO,T.W.ARMSTRONG,P.CLOTH)
TITLE      VALIDATION OF THE INTRA-NUCLEAR CASCADE EVAPORATION
            MODEL FOR PARTICLE PRODUCTION.
METHOD     (TOF) 1.3M FLIGHT PATH FOR 30, 90, AND 150 DEGREE
                 MEASUREMENTS AND 2.3M FLIGHT PATH FOR 23 DEGREE
                 MEASUREMENTS. SEE CIERJACKS ET AL 81ANTWER, P.383
FACILITY   (CYCLO)
MONITOR    PROTON MONITOR INVOLVED A THIN GRAPHITE SCATTERER
            PLACED IN PROTON BEAM FAR UPSTREAM OF NEUTRON
            PRODUCING TARGET, AND FORWARD SCATTERED PROTONS AT 30
            DEGREE WERE DETECTED BY A PLASTIC SCINTILLATOR
            DETECTOR
DETECTOR   (SCIN) NE213 LIQUID SCINTILLATOR.
ERR-ANALYS (DATA-ERR)NEUTRON ENERGY RESOLUTION RANGED BETWEEN
             1.8 AND 33.8 PERCENT FOR NEUTRONS IN THE ENERGY RANGE
             1 TO 500 MEV.
STATUS     DATA RECEIVED FROM AUTHOR ON 87/3/20.
           (APRVD) S.CIERJACKS, 870430.
MEV
 5.9000E+02
REACTION   (26-FE-56(P,X)0-NN-1,,DA/DE,N)
ADEG
 3.0000E+01
DATA                 6         41
E-MIN      E-MAX      +E-ERR     -E-ERR     DATA       DATA-ERR
MEV        MEV        MEV        MEV        B/SR/MEV   B/SR/MEV
 7.4000E-01 8.9900E-01 8.0000E-02 7.0000E-02 4.0480E-02 4.5250E-03
 8.9900E-01 1.0570E+00 9.0000E-02 8.0000E-02 4.1930E-02 4.6880E-03
 1.0570E+00 1.2440E+00 1.1000E-01 9.0000E-02 4.2990E-02 4.8060E-03
 1.2440E+00 1.4630E+00 1.3000E-01 1.1000E-01 4.0540E-02 4.5330E-03
 1.4630E+00 1.7220E+00 1.5000E-01 1.3000E-01 3.7320E-02 4.1730E-03
 1.7220E+00 2.0260E+00 1.8000E-01 1.5000E-01 3.4000E-02 3.8010E-03
 2.0260E+00 2.3830E+00 2.1000E-01 1.8000E-01 3.2780E-02 3.6650E-03
 2.3830E+00 2.8040E+00 2.4000E-01 2.1000E-01 2.5550E-02 2.8570E-03
