TITLE      Preequilibrium (P,N)Reaction As a Probe For the
           Effective Nucleon-Nucleon Interaction in Multistep
           Direct Processes.
AUTHOR     (W.SCOBEL,M.TRABANDT,M.BLANN,B.A.POHL,B.R.REMINGTON,
           R.C.BYRD,C.C.FOSTER,R.BONETTI,C.CHIESA,S.M.GRIMES)
INSTITUTE  (2GERHAM)
           (1USALRL)
           (1USALAS)
           (1USAINU)
           (2ITYMIL)
           (1USAOHO)
REFERENCE  (J,PR/C,41,2010,90)
EN-SEC     (E-MIN,N)
           (E-MAX,N)
HISTORY    (960226C)
           (960816U) Last checking has been done.
ADD-RES    (COMP).The Statistical Multistep Model of Feshbach,
           Kerman and Kronin.
PART-DET   (N)
DETECTOR   (SCIN).A Five Fixed Detectors Covering the Angular
           Range From 0 to 145 Degrees were Used.The Neutron
           Detectors Consisted of Cylindrical Cells (30.5 CM IN
           DIAM. *20.3 CM) Filled With the Liquid Scintillator
            (BC 501), Its were Supplemented by Sheets of Plastic
           Scintillator Placed in Front of and on Top of the Cells
           For Discrimination Against Protons and For Suppression
           of Cosmic Radiation.
FACILITY   (ISOCY,1USAINU)
METHOD     (TOF)
           (PSD)
REL-REF    (N,O0176001,M.TRABANDT+,J,PR/C,39,452,89).Details of
           Experimental Method.
           (N,,H.FESHBACH+,J,AP,125,429,80) Theoretical Model.
ERR-ANALYS The Relative Uncertainties Within Angular Distributions
           Are Mostly Due to Target Inhomogeneities-5%,
           Inconsistencies in the Background Treatment-10%,
           Incomplete Beam-Current Integration-4%.The Estimated
           Error Margin is 14%. Absolute Uncertainties Include
           Those of the Detector Efficiencies and Are Slightly
           Higher (LESS OR EQUAL 20%).
STATUS     (TABLE).Data Tables on Floppy Disk Which have Been
           Prepared by the Authors. This Disk was Received From
           Nea Data Bank.
REACTION   (82-PB-208(P,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     Self-Supporting Target of Isotopically Enriched (98.7%)
           Pb-208, Thicknesses 102 and 176E-3 G/Cm**2,was Used.
COMMENT    -By Compiler-
           Zero Cross Sections Are Given For the Neutrons With
           Energy Less Than 29.75 MeV. These Data were Excluded by
           Compiler From Data Table. Probably Low Energy Neutrons
           Could not Be Detected.
EN         ANG
MEV        ADEG
       120.         0.
ENDCOMMON            3
DATA                 3        181
E-MIN      E-MAX      DATA
MEV        MEV        MB/SR/MEV
      29.75      30.25      3.355
      30.25      30.75      3.045
      30.75      31.25      3.293
      31.25      31.75      3.197
      31.75      32.25      2.867
      32.25      32.75      3.468
      32.75      33.25      3.608
      33.25      33.75      3.488
      33.75      34.25      3.560
      34.25      34.75      3.550
      34.75      35.25      3.686
      35.25      35.75      3.569
      35.75      36.25      3.623
      36.25      36.75      3.593
      36.75      37.25      3.477
      37.25      37.75      3.960
      37.75      38.25      3.995
      38.25      38.75      3.896
      38.75      39.25      3.816
      39.25      39.75      3.938
      39.75      40.25      3.755
      40.25      40.75      3.791
      40.75      41.25      3.642
      41.25      41.75      4.015
      41.75      42.25      3.909
      42.25      42.75      3.710
      42.75      43.25      3.607
      43.25      43.75      3.738
      43.75      44.25      3.732
      44.25      44.75      3.534
      44.75      45.25      3.572
      45.25      45.75      3.628
      45.75      46.25      3.725
      46.25      46.75      3.516
      46.75      47.25      3.555
      47.25      47.75      3.814
      47.75      48.25      3.587
      48.25      48.75      3.689
      48.75      49.25      3.577
      49.25      49.75      3.520
      49.75      50.25      3.574
      50.25      50.75      3.449
      50.75      51.25      3.367
      51.25      51.75      3.439
      51.75      52.25      3.364
      52.25      52.75      3.638
      52.75      53.25      3.543
      53.25      53.75      3.468
      53.75      54.25      3.405
      54.25      54.75      3.332
      54.75      55.25      3.401
      55.25      55.75      3.644
      55.75      56.25      3.437
      56.25      56.75      3.526
      56.75      57.25      3.452
      57.25      57.75      3.523
      57.75      58.25      3.571
      58.25      58.75      3.613
      58.75      59.25      3.754
      59.25      59.75      3.613
      59.75      60.25      3.780
      60.25      60.75      3.580
      60.75      61.25      3.708
      61.25      61.75      3.626
      61.75      62.25      3.832
      62.25      62.75      3.490
      62.75      63.25      3.802
      63.25      63.75      3.762
      63.75      64.25      3.763
      64.25      64.75      3.692
      64.75      65.25      3.850
      65.25      65.75      3.905
      65.75      66.25      3.877
      66.25      66.75      3.852
      66.75      67.25      3.891
      67.25      67.75      3.992
      67.75      68.25      3.839
      68.25      68.75      4.087
      68.75      69.25      3.910
      69.25      69.75      3.840
      69.75      70.25      4.006
      70.25      70.75      3.948
      70.75      71.25      3.916
      71.25      71.75      4.066
