REFERENCE  (J,NSE,110,289,199203)
AUTHOR     (W.B.AMIAN,R.C.BYRD,D.A.CLARK,C.A.GOULDING,M.M.MEIER,
           G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            597-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved by M. Meier, 21 May 1999.
HISTORY    (19980911C)
           (19990521A) Data units corrected.
ENDBIB              27          0
COMMON               1          3
EN
MEV
597.
------------------------------------------------------------------------
REACTION   (82-PB-0(P,X)0-NN-1,,DA/DE)
SAMPLE     Natural lead sample, thickness 0.89 g/cm2.
DATA                 5        395
ANG        E          E-RSL      DATA       DATA-ERR
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV
 30.        5.2500E-01 5.0000E-01 2.2630E-01 0.0
 30.        5.2500E-01 5.0000E-01 2.2630E-01 5.8440E-03
 30.        5.7500E-01 5.0000E-01 2.6610E-01 5.2080E-03
 30.        6.2500E-01 5.0000E-01 3.0320E-01 4.9520E-03
 30.        6.7500E-01 5.0000E-01 3.1580E-01 4.7030E-03
 30.        7.2500E-01 5.0000E-01 3.3710E-01 4.6490E-03
 30.        7.7500E-01 5.0000E-01 3.4470E-01 4.6150E-03
 30.        8.2500E-01 5.0000E-01 3.5120E-01 4.5240E-03
 30.        8.7500E-01 5.0000E-01 3.5170E-01 4.4000E-03
 30.        9.2500E-01 5.0000E-01 4.0160E-01 4.8160E-03
 30.        9.7500E-01 5.0000E-01 3.7480E-01 4.6220E-03
