ENTRY            C0170   19990601
SUBENT        C0170001   19990601
BIB                 12         27
INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,112,78,1992)
AUTHOR     (W.B.AMIAN,R.C.BYRD,C.A.GOULDING,M.M.MEIER,G.L.MORGAN,
           C.E.MOSS,D.A.CLARK)
TITLE      Differential Neutron Production Cross Sections for
            800-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . live time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections, R. Byrd, 21 May 1999
HISTORY    (19980911C)
           (19990601A) Data units corrected.
REACTION   (82-PB-0(P,X)0-NN-1,,DA/DE)
SAMPLE     Natural lead sample
           Sample 3 MeV thick to 800 MeV protons.
ENDBIB               3          0
NOCOMMON             0          0
DATA                 5        407
ANG        E          E-RSL      DATA       DATA-ERR
ADEG       MEV        MEV        B/SR/MEV   B/SR/MEV
 30.        5.2500E-01 5.0000E-01 2.2930E-01 0.0
 30.        5.2500E-01 5.0000E-01 2.2930E-01 3.2700E-03
 30.        5.7500E-01 5.0000E-01 2.6460E-01 3.0680E-03
 30.        6.2500E-01 5.0000E-01 2.8790E-01 2.9590E-03
 30.        6.7500E-01 5.0000E-01 2.8310E-01 2.7960E-03
 30.        7.2500E-01 5.0000E-01 3.0870E-01 2.8120E-03
 30.        7.7500E-01 5.0000E-01 3.2870E-01 2.8440E-03
 30.        8.2500E-01 5.0000E-01 3.4390E-01 2.8480E-03
 30.        8.7500E-01 5.0000E-01 3.6130E-01 2.8670E-03
 30.        9.2500E-01 5.0000E-01 3.9360E-01 3.0790E-03
 30.        9.7500E-01 5.0000E-01 3.7950E-01 3.0000E-03
 30.        1.0750E+00 1.0000E-01 3.4830E-01 1.9830E-03
 30.        1.1500E+00 1.0000E-01 3.5410E-01 1.9040E-03
 30.        1.2500E+00 1.0000E-01 3.6360E-01 1.9090E-03
 30.        1.3500E+00 1.0000E-01 3.3860E-01 1.8610E-03
 30.        1.4500E+00 1.0000E-01 3.4240E-01 1.8420E-03
 30.        1.5500E+00 1.0000E-01 3.4400E-01 1.8580E-03
 30.        1.6500E+00 1.0000E-01 3.3280E-01 1.8280E-03
 30.        1.7500E+00 1.0000E-01 3.2630E-01 1.8140E-03
 30.        1.8500E+00 1.0000E-01 3.3150E-01 1.8530E-03
 30.        1.9500E+00 1.0000E-01 3.3510E-01 1.8850E-03
 30.        2.1000E+00 2.0000E-01 3.1300E-01 1.2690E-03
 30.        2.3000E+00 2.0000E-01 3.3250E-01 1.3970E-03
 30.        2.5000E+00 2.0000E-01 3.3990E-01 1.4890E-03
 30.        2.7000E+00 2.0000E-01 3.0080E-01 1.3850E-03
 30.        2.9000E+00 2.0000E-01 2.9120E-01 1.4180E-03
 30.        3.1000E+00 2.0000E-01 2.6970E-01 1.3700E-03
 30.        3.3000E+00 2.0000E-01 2.3140E-01 1.2600E-03
 30.        3.5000E+00 2.0000E-01 2.0790E-01 1.1910E-03
 30.        3.7000E+00 2.0000E-01 1.9700E-01 1.1750E-03
 30.        3.9000E+00 2.0000E-01 1.8040E-01 1.1100E-03
 30.        4.1000E+00 2.0000E-01 1.7420E-01 1.1170E-03
 30.        4.3000E+00 2.0000E-01 1.6650E-01 1.1070E-03
 30.        4.5000E+00 2.0000E-01 1.5630E-01 1.0540E-03
 30.        4.7000E+00 2.0000E-01 1.5260E-01 1.0470E-03
 30.        4.9000E+00 2.0000E-01 1.4650E-01 1.0230E-03
 30.        5.2500E+00 5.0000E-01 1.2330E-01 5.8750E-04
 30.        5.7500E+00 5.0000E-01 1.1240E-01 5.7610E-04
 30.        6.2500E+00 5.0000E-01 9.0690E-02 4.9570E-04
 30.        6.7500E+00 5.0000E-01 7.8580E-02 4.5910E-04
 30.        7.2500E+00 5.0000E-01 6.6400E-02 4.2070E-04
 30.        7.7500E+00 5.0000E-01 6.0890E-02 3.9720E-04
 30.        8.2500E+00 5.0000E-01 5.2940E-02 3.6670E-04
 30.        8.7500E+00 5.0000E-01 4.5340E-02 3.3730E-04
 30.        9.2500E+00 5.0000E-01 4.2460E-02 3.2160E-04
 30.        9.7500E+00 5.0000E-01 3.7630E-02 3.0820E-04
 30.        1.0750E+01 1.0000E+00 3.1140E-02 1.9650E-04
 30.        1.1500E+01 1.0000E+00 2.5760E-02 1.8030E-04
 30.        1.2500E+01 1.0000E+00 2.1920E-02 1.6730E-04
 30.        1.3500E+01 1.0000E+00 1.8470E-02 1.5700E-04
 30.        1.4500E+01 1.0000E+00 1.6270E-02 1.4920E-04
 30.        1.5500E+01 1.0000E+00 1.4210E-02 1.4200E-04
 30.        1.6500E+01 1.0000E+00 1.3330E-02 1.3940E-04
 30.        1.7500E+01 1.0000E+00 1.1650E-02 1.3320E-04
 30.        1.8500E+01 1.0000E+00 1.0860E-02 1.3060E-04
 30.        1.9500E+01 1.0000E+00 1.0290E-02 1.2910E-04
 30.        2.1000E+01 2.0000E+00 8.7010E-03 1.3820E-04
 30.        2.3000E+01 2.0000E+00 7.7600E-03 1.2820E-04
 30.        2.5000E+01 2.0000E+00 6.9050E-03 1.1730E-04
 30.        2.7000E+01 2.0000E+00 6.3410E-03 1.0910E-04
 30.        2.9000E+01 2.0000E+00 6.3120E-03 1.0760E-04
 30.        3.1000E+01 2.0000E+00 6.0370E-03 1.0330E-04
 30.        3.3000E+01 2.0000E+00 5.3590E-03 9.6280E-05
 30.        3.5000E+01 2.0000E+00 5.2310E-03 9.3770E-05
 30.        3.7000E+01 2.0000E+00 5.1500E-03 9.2210E-05
 30.        3.9000E+01 2.0000E+00 4.7270E-03 8.7700E-05
 30.        4.1000E+01 2.0000E+00 4.5000E-03 8.5130E-05
 30.        4.3000E+01 2.0000E+00 4.5570E-03 8.5240E-05
 30.        4.5000E+01 2.0000E+00 4.3010E-03 8.3430E-05
 30.        4.7000E+01 2.0000E+00 4.2280E-03 8.3150E-05
 30.        4.9000E+01 2.0000E+00 4.1560E-03 8.3150E-05
 30.        5.2500E+01 5.0000E+00 4.1280E-03 5.3140E-05
 30.        5.7500E+01 5.0000E+00 3.7790E-03 5.2040E-05
 30.        6.2500E+01 5.0000E+00 3.4770E-03 5.1410E-05
 30.        6.7500E+01 5.0000E+00 3.2910E-03 5.0860E-05
 30.        7.2500E+01 5.0000E+00 3.0600E-03 5.0210E-05
 30.        7.7500E+01 5.0000E+00 2.8860E-03 4.9890E-05
 30.        8.2500E+01 5.0000E+00 2.8390E-03 5.0160E-05
 30.        8.7500E+01 5.0000E+00 2.6280E-03 4.8740E-05
 30.        9.2500E+01 5.0000E+00 2.3940E-03 4.6580E-05
 30.        9.7500E+01 5.0000E+00 2.2410E-03 4.4850E-05
 30.        1.0750E+02 1.0000E+01 2.0640E-03 3.0600E-05
 30.        1.1500E+02 1.0000E+01 1.8800E-03 2.9120E-05
 30.        1.2500E+02 1.0000E+01 1.6760E-03 2.7180E-05
 30.        1.3500E+02 1.0000E+01 1.5510E-03 2.6470E-05
 30.        1.4500E+02 1.0000E+01 1.4200E-03 2.5060E-05
 30.        1.5500E+02 1.0000E+01 1.3660E-03 2.4760E-05
 30.        1.6500E+02 1.0000E+01 1.2600E-03 2.3650E-05
 30.        1.7500E+02 1.0000E+01 1.1600E-03 2.2680E-05
 30.        1.8500E+02 1.0000E+01 1.0970E-03 2.2100E-05
 30.        1.9500E+02 1.0000E+01 1.0150E-03 2.1490E-05
 30.        2.1000E+02 2.0000E+01 9.4910E-04 1.4750E-05
 30.        2.3000E+02 2.0000E+01 8.3580E-04 1.3950E-05
 30.        2.5000E+02 2.0000E+01 7.6650E-04 1.3330E-05
 30.        2.7000E+02 2.0000E+01 6.7630E-04 1.2370E-05
 30.        2.9000E+02 2.0000E+01 5.9920E-04 1.1680E-05
 30.        3.1000E+02 2.0000E+01 5.3160E-04 1.0860E-05
 30.        3.3000E+02 2.0000E+01 4.7350E-04 1.0170E-05
 30.        3.5000E+02 2.0000E+01 4.1880E-04 9.5220E-06
 30.        3.7000E+02 2.0000E+01 3.7480E-04 8.7660E-06
 30.        3.9000E+02 2.0000E+01 3.2310E-04 8.0090E-06
 30.        4.1000E+02 2.0000E+01 3.0610E-04 7.8940E-06
 30.        4.3000E+02 2.0000E+01 2.7790E-04 7.5400E-06
 30.        4.5000E+02 2.0000E+01 2.6620E-04 7.4480E-06
 30.        4.7000E+02 2.0000E+01 2.6260E-04 7.3730E-06
 30.        4.9000E+02 2.0000E+01 2.6050E-04 7.2900E-06
 30.        5.2500E+02 2.0000E+01 2.4670E-04 4.5230E-06
 30.        5.7500E+02 2.0000E+01 2.1890E-04 4.2530E-06
 30.        6.2500E+02 2.0000E+01 1.7900E-04 3.8560E-06
 30.        6.7500E+02 2.0000E+01 1.1850E-04 3.1360E-06
 30.        7.2500E+02 2.0000E+01 5.7720E-05 2.1960E-06
 30.        7.7500E+02 2.0000E+01 2.2150E-05 1.3440E-06
 60.        5.2500E-01 5.0000E-01 1.8000E-01 0.0
 60.        5.2500E-01 5.0000E-01 1.8000E-01 4.4230E-03
 60.        5.7500E-01 5.0000E-01 2.0320E-01 3.9440E-03
 60.        6.2500E-01 5.0000E-01 2.1940E-01 3.6970E-03
 60.        6.7500E-01 5.0000E-01 2.1420E-01 3.4420E-03
 60.        7.2500E-01 5.0000E-01 2.3640E-01 3.4100E-03
 60.        7.7500E-01 5.0000E-01 2.5760E-01 3.4460E-03
 60.        8.2500E-01 5.0000E-01 2.7180E-01 3.4340E-03
 60.        8.7500E-01 5.0000E-01 2.8590E-01 3.4300E-03
 60.        9.2500E-01 5.0000E-01 3.3450E-01 3.9590E-03
 60.        9.7500E-01 5.0000E-01 2.9530E-01 3.7250E-03
 60.        1.0750E+00 1.0000E-01 2.6110E-01 2.4010E-03
 60.        1.1500E+00 1.0000E-01 2.7780E-01 2.2430E-03
 60.        1.2500E+00 1.0000E-01 2.8400E-01 2.2140E-03
 60.        1.3500E+00 1.0000E-01 2.4560E-01 2.1080E-03
 60.        1.4500E+00 1.0000E-01 2.5770E-01 2.0550E-03
 60.        1.5500E+00 1.0000E-01 2.6490E-01 2.0930E-03
 60.        1.6500E+00 1.0000E-01 2.5740E-01 2.0470E-03
 60.        1.7500E+00 1.0000E-01 2.4940E-01 1.9950E-03
 60.        1.8500E+00 1.0000E-01 2.5560E-01 2.0570E-03
 60.        1.9500E+00 1.0000E-01 2.7310E-01 2.1560E-03
 60.        2.1000E+00 2.0000E-01 2.4090E-01 1.3590E-03
 60.        2.3000E+00 2.0000E-01 2.8860E-01 1.6630E-03
 60.        2.5000E+00 2.0000E-01 3.1890E-01 1.8900E-03
 60.        2.7000E+00 2.0000E-01 2.6570E-01 1.6540E-03
 60.        2.9000E+00 2.0000E-01 2.5980E-01 1.7460E-03
 60.        3.1000E+00 2.0000E-01 2.3490E-01 1.6490E-03
 60.        3.3000E+00 2.0000E-01 1.8660E-01 1.4360E-03
 60.        3.5000E+00 2.0000E-01 1.6030E-01 1.3080E-03
 60.        3.7000E+00 2.0000E-01 1.5380E-01 1.3000E-03
 60.        3.9000E+00 2.0000E-01 1.3920E-01 1.1900E-03
 60.        4.1000E+00 2.0000E-01 1.3780E-01 1.2370E-03
 60.        4.3000E+00 2.0000E-01 1.3450E-01 1.2550E-03
 60.        4.5000E+00 2.0000E-01 1.2670E-01 1.1700E-03
 60.        4.7000E+00 2.0000E-01 1.3050E-01 1.1920E-03
 60.        4.9000E+00 2.0000E-01 1.2610E-01 1.1650E-03
 60.        5.2500E+00 5.0000E-01 9.8050E-02 6.3660E-04
 60.        5.7500E+00 5.0000E-01 9.7000E-02 6.7030E-04
 60.        6.2500E+00 5.0000E-01 7.3280E-02 5.4320E-04
 60.        6.7500E+00 5.0000E-01 6.4330E-02 5.0910E-04
 60.        7.2500E+00 5.0000E-01 5.3890E-02 4.7240E-04
 60.        7.7500E+00 5.0000E-01 4.7580E-02 4.3720E-04
 60.        8.2500E+00 5.0000E-01 4.3400E-02 4.1620E-04
 60.        8.7500E+00 5.0000E-01 3.6540E-02 3.8110E-04
 60.        9.2500E+00 5.0000E-01 3.4440E-02 3.6560E-04
 60.        9.7500E+00 5.0000E-01 3.1880E-02 3.6620E-04
 60.        1.0750E+01 1.0000E+00 2.5440E-02 2.2740E-04
 60.        1.1500E+01 1.0000E+00 2.0870E-02 2.0930E-04
 60.        1.2500E+01 1.0000E+00 1.7040E-02 1.9150E-04
 60.        1.3500E+01 1.0000E+00 1.4840E-02 1.8360E-04
 60.        1.4500E+01 1.0000E+00 1.3250E-02 1.7550E-04
 60.        1.5500E+01 1.0000E+00 1.1500E-02 1.6670E-04
 60.        1.6500E+01 1.0000E+00 1.0690E-02 1.6300E-04
 60.        1.7500E+01 1.0000E+00 9.2730E-03 1.5460E-04
 60.        1.8500E+01 1.0000E+00 8.7380E-03 1.5250E-04
 60.        1.9500E+01 1.0000E+00 8.2250E-03 1.5100E-04
 60.        2.1000E+01 2.0000E+00 6.9730E-03 1.5360E-04
 60.        2.3000E+01 2.0000E+00 6.3810E-03 1.4370E-04
 60.        2.5000E+01 2.0000E+00 5.5850E-03 1.2980E-04
 60.        2.7000E+01 2.0000E+00 5.1300E-03 1.2220E-04
 60.        2.9000E+01 2.0000E+00 5.0790E-03 1.2170E-04
 60.        3.1000E+01 2.0000E+00 4.9540E-03 1.1870E-04
 60.        3.3000E+01 2.0000E+00 4.4230E-03 1.1100E-04
 60.        3.5000E+01 2.0000E+00 4.4460E-03 1.1050E-04
 60.        3.7000E+01 2.0000E+00 4.0850E-03 1.0650E-04
 60.        3.9000E+01 2.0000E+00 3.8730E-03 1.0310E-04
 60.        4.1000E+01 2.0000E+00 3.9050E-03 1.0240E-04
 60.        4.3000E+01 2.0000E+00 3.6160E-03 9.8880E-05
 60.        4.5000E+01 2.0000E+00 3.6650E-03 9.9790E-05
 60.        4.7000E+01 2.0000E+00 3.1760E-03 9.3710E-05
 60.        4.9000E+01 2.0000E+00 3.4400E-03 9.6770E-05
 60.        5.2500E+01 5.0000E+00 3.0630E-03 5.8470E-05
 60.        5.7500E+01 5.0000E+00 2.8230E-03 5.6630E-05
 60.        6.2500E+01 5.0000E+00 2.5810E-03 5.5200E-05
 60.        6.7500E+01 5.0000E+00 2.4010E-03 5.3650E-05
 60.        7.2500E+01 5.0000E+00 2.2880E-03 5.2990E-05
 60.        7.7500E+01 5.0000E+00 1.9570E-03 4.9560E-05
 60.        8.2500E+01 5.0000E+00 1.8650E-03 4.8640E-05
 60.        8.7500E+01 5.0000E+00 1.7540E-03 4.7520E-05
 60.        9.2500E+01 5.0000E+00 1.6800E-03 4.6490E-05
 60.        9.7500E+01 5.0000E+00 1.5280E-03 4.4530E-05
 60.        1.0750E+02 1.0000E+01 1.3500E-03 2.9730E-05
 60.        1.1500E+02 1.0000E+01 1.2300E-03 2.8360E-05
 60.        1.2500E+02 1.0000E+01 1.1230E-03 2.7130E-05
 60.        1.3500E+02 1.0000E+01 9.9450E-04 2.5670E-05
 60.        1.4500E+02 1.0000E+01 8.8550E-04 2.4480E-05
 60.        1.5500E+02 1.0000E+01 7.3980E-04 2.2440E-05
 60.        1.6500E+02 1.0000E+01 6.9910E-04 2.1760E-05
 60.        1.7500E+02 1.0000E+01 6.4700E-04 2.1180E-05
 60.        1.8500E+02 1.0000E+01 5.6860E-04 2.0040E-05
 60.        1.9500E+02 1.0000E+01 5.5070E-04 1.9760E-05
 60.        2.1000E+02 2.0000E+01 4.8260E-04 1.3130E-05
 60.        2.3000E+02 2.0000E+01 3.5410E-04 1.1470E-05
 60.        2.5000E+02 2.0000E+01 2.8840E-04 1.0430E-05
 60.        2.7000E+02 2.0000E+01 2.1260E-04 8.7580E-06
 60.        2.9000E+02 2.0000E+01 1.7950E-04 8.0820E-06
 60.        3.1000E+02 2.0000E+01 1.2280E-04 6.5810E-06
 60.        3.3000E+02 2.0000E+01 9.4350E-05 5.7250E-06
 60.        3.5000E+02 2.0000E+01 7.2550E-05 4.8460E-06
 60.        3.7000E+02 2.0000E+01 5.3530E-05 4.0940E-06
 60.        3.9000E+02 2.0000E+01 3.4640E-05 3.2480E-06
 60.        4.1000E+02 2.0000E+01 2.5430E-05 2.9820E-06
 60.        4.3000E+02 2.0000E+01 2.2970E-05 2.6350E-06
 60.        4.5000E+02 2.0000E+01 2.0300E-05 2.4890E-06
 60.        4.7000E+02 2.0000E+01 1.3370E-05 2.0000E-06
 60.        4.9000E+02 2.0000E+01 7.7030E-06 1.4430E-06
 60.        5.2500E+02 2.0000E+01 4.7540E-06 7.7050E-07
 60.        5.7500E+02 2.0000E+01 1.8400E-06 5.0030E-07
 60.        6.2500E+02 2.0000E+01 7.5680E-07 1.7150E-07
