//
////////////////////////////////////////////////////////////////////
//                                                                //
//  File: PPprime800_C.dat                                        //
//                                                                //       
//  Title: (p,p') scattering from C with 800 MeV incident protons //
//                                                                //
//  Source: J.A. McGill et al.,Phys. Rev. C29, 204 (1984) and     //
//          R.E. Chrien et al.,Phys. Rev. C21, 1014 (1980).       //
//                                                                //
//  Units: cross section: ub/sr/MeV                               //
//         angle:         degrees                                 //
//         energy:        MeV                                     //
//                                                                //
////////////////////////////////////////////////////////////////////
 p' KE    Lab angle  cross section  c.s. error
-----------------------------------------------
startdata
  63.2         5          80          6
  81.7         5         105          8
 116           5         130         10
 165           5         170         14
 218           5         210         17
 279           5         250         20
 345           5         280         22
 415           5         330         26
 489           5         400         32
 565           5         350         28
 625           5         190         15
 681           5         180         14
 730           5         400         32
  63.2        11         100          8
  81.7        11         107          9
 102          11         130         10
 149          11         150         12
 203          11         180         14
 260          11         200         16
 324          11         230         18
 393          11         240         19
 466          11         270         22
 519          11         230         18
 585          11         150         12
 613          11         130         10
 645          11         160         13
 677          11         310         25
 706          11         650         52
 760          11        1700        136
 780          11         950         76
  61.4        15          82          6
 102          15         115          9
 175          15         151         12
 263          15         180         14
 362          15         200         16
 433          15         200         16
 470          15         200         16
 585          15         145         12
 645          15         370         30
 681          15         700         56
 722          15        1000         80
 772          15         520         42
  63.2        20         100          8
  89.7        20         114          9
 134          20         127         10
 186          20         140         11
 244          20         145         12
 304          20         150         12
 376          20         145         12
 448          20         135         11
 492          20         120         10
 523          20         130         10
 554          20         170         14
 605          20         310         25
 673          20         440         35
 706          20         330         26
 747          20         130         10
 764          20          75          6
  61.4        30          75          6
  72.2        30          88          7
 125          30         110          9
 203          30         110          9
 295          30         100          8
 379          30         100          8
 433          30         120         10
 477          30         130         10
 546          30         150         12
 585          30         120         10
 625          30          90          7
 665          30          53          4
 730          30          14          1

