//
////////////////////////////////////////////////////////////////////
//                                                                //
//  File: pimquasi821_C.dat                                       //
//                                                                //       
//  Title: (pi-,pi-') quasi-elastic scattering from C with        //
//         821 MeV (950 MeV/c) incident pi-                       //
//                                                                //
//  Source: Y. Fujii et al., Phys. Rev. C64, 034608 (2001).       //
//                                                                //
//  Units: cross section: ub/sr/MeV                               //
//         angle:         degrees                                 //
//         energy:        MeV                                     //
//                                                                //
//  Note: Data was taken at fixed q.  The angles listed below     //
//        are approximate and correspond as follows:              //
//                                                                //
//                   19.5 deg -> q=350 MeV/c                      //
//                   30   deg -> q=500 MeV/c                      //
//                   42   deg -> q=650 MeV/c                      //
//                                                                //
////////////////////////////////////////////////////////////////////
 pi-' KE   Lab angle  cross section  c.s. error
-----------------------------------------------
startdata
  -37.5      19.5            0            0
  -32.5      19.5            0            0
  -27.5      19.5         0.16         0.09
  -22.5      19.5         0.18         0.09
  -17.5      19.5         0.67         0.18
  -12.5      19.5         0.92         0.26
   -7.5      19.5         1.17         0.24
   -2.5      19.5         2.28         0.34
    2.5      19.5        74.74         2.49
    7.5      19.5       312.42         7.18
   12.5      19.5       282.03         4.70
   17.5      19.5       298.72         4.11
   22.5      19.5       161.43         2.71
   27.5      19.5       171.74         2.79
   32.5      19.5       208.34         3.06
   37.5      19.5       245.83         3.31
   42.5      19.5       266.93         3.44
   47.5      19.5       286.69         3.55
   52.5      19.5       289.97         3.56
   57.5      19.5       301.51         3.61
   62.5      19.5       311.30         3.66
   67.5      19.5       319.18         3.69
   72.5      19.5       321.22         3.70
   77.5      19.5       303.55         3.58
   82.5      19.5       305.35         3.58
   87.5      19.5       283.95         2.68
   92.5      19.5       265.39         2.69
   97.5      19.5       243.72         2.48
  102.5      19.5       221.53         2.30
  107.5      19.5       193.62         2.16
  112.5      19.5       169.60         2.01
  117.5      19.5       154.66         2.87
  122.5      19.5       129.45         2.60
  127.5      19.5       114.84         2.44
  132.5      19.5        98.46         2.24
  137.5      19.5        89.05         2.12
  142.5      19.5        77.97         1.97
  147.5      19.5        72.35         1.89
  152.5      19.5        65.97         1.31
  157.5      19.5        59.73         1.29
  162.5      19.5        54.84         1.16
  167.5      19.5        48.40         1.08
  172.5      19.5        43.30         1.02
  177.5      19.5        42.17         1.01
  182.5      19.5        40.22         1.00
  187.5      19.5        40.78         1.14
  192.5      19.5        39.49         1.19
  197.5      19.5        41.55         1.38
  202.5      19.5        41.41         1.47
  207.5      19.5        40.69         1.49
  212.5      19.5        43.23         1.59
  217.5      19.5        46.86         1.74
  222.5      19.5        51.68         1.93
  227.5      19.5        49.41         2.06
  232.5      19.5        51.50         2.33
  237.5      19.5        66.34         3.13
  242.5      19.5        70.14         4.13
  -27.5        30            0            0
  -22.5        30            0            0
  -17.5        30         0.11         0.08
  -12.5        30         0.05         0.05
   -7.5        30         0.06         0.06
   -2.5        30         0.33         0.14
    2.5        30         0.11         0.08
    7.5        30         4.20         0.48
   12.5        30        19.35         1.02
   17.5        30        27.52         1.22
   22.5        30        13.35         0.85
   27.5        30        10.88         0.76
   32.5        30        14.92         0.89
   37.5        30        18.11         0.98
   42.5        30        20.62         1.04
   47.5        30        22.86         1.09
   52.5        30        25.23         1.14
   57.5        30        30.28         1.24
   62.5        30        35.29         1.03
   67.5        30        42.22         1.12
   72.5        30        47.74         1.19
   77.5        30        53.47         1.25
   82.5        30        58.67         1.31
   87.5        30        66.49         1.39
   92.5        30        69.42         1.42
   97.5        30        77.24         1.49
  102.5        30        80.54         1.51
  107.5        30        84.97         1.39
  112.5        30        89.64         1.39
  117.5        30        90.76         1.36
  122.5        30        92.96         1.33
  127.5        30        97.92         1.36
  132.5        30        96.67         1.48
  137.5        30        95.74         1.34
  142.5        30        94.79         1.34
  147.5        30       100.05         1.75
  152.5        30        93.47         1.68
  157.5        30        97.24         1.71
  162.5        30        92.49         1.66
  167.5        30        88.60         1.62
  172.5        30        89.38         1.62
  177.5        30        81.61         1.54
  182.5        30        78.08         1.50
  187.5        30        72.20         1.43
  192.5        30        66.17         1.36
  197.5        30        61.48         1.30
  202.5        30        55.10         1.23
  207.5        30        50.61         1.17
  212.5        30        48.91         1.17
  217.5        30        44.27         1.15
  222.5        30        43.24         1.41
  227.5        30        40.80         1.28
  232.5        30        38.44         1.09
  237.5        30        35.60         1.11
  242.5        30        33.43         1.00
  247.5        30        32.82         0.98
  252.5        30        30.87         0.95
  257.5        30        31.02         0.95
  262.5        30        29.57         0.93
  267.5        30        27.16         0.92
  272.5        30        28.74         0.98
  277.5        30        31.22         1.35
  282.5        30        27.98         1.30
  287.5        30        32.28         1.55
  292.5        30        30.59         1.49
  297.5        30        32.96         1.53
  302.5        30        35.17         1.57
  307.5        30        36.35         1.58
  312.5        30        34.06         1.52
  317.5        30        34.16         1.50
  322.5        30        37.82         1.57
  327.5        30        38.72         1.57
  332.5        30        38.56         1.56
    7.5        42            0            0
   12.5        42            0            0
   17.5        42         0.74         0.17
   22.5        42         1.15         0.21
   27.5        42         0.67         0.16
   32.5        42         2.62         0.32
   37.5        42         2.15         0.29
   42.5        42         3.36         0.37
   47.5        42         4.00         0.40
   52.5        42         5.38         0.46
   57.5        42         5.58         0.47
   62.5        42         5.92         0.47
   67.5        42         6.82         0.50
   72.5        42         7.34         0.47
   77.5        42         7.98         0.49
   82.5        42         8.46         0.49
   87.5        42         8.99         0.50
   92.5        42        10.51         0.54
   97.5        42        11.44         0.56
  102.5        42        12.42         0.58
  107.5        42        12.44         0.58
  112.5        42        13.29         0.60
  117.5        42        15.30         0.65
  122.5        42        15.29         0.65
  127.5        42        16.25         0.67
  132.5        42        18.34         0.71
  137.5        42        17.79         0.70
  142.5        42        19.04         0.73
  147.5        42        21.37         0.77
  152.5        42        22.54         0.80
  157.5        42        24.74         0.84
  162.5        42        27.10         0.92
  167.5        42        25.80         0.88
  172.5        42        28.78         0.96
  177.5        42        30.46         1.01
  182.5        42        29.20         1.02
  187.5        42        29.87         1.05
  192.5        42        32.71         1.15
  197.5        42        33.68         1.05
  202.5        42        32.87         1.03
  207.5        42        33.37         1.03
  212.5        42        33.82         1.09
  217.5        42        35.86         1.08
  222.5        42        33.75         1.05
  227.5        42        35.31         1.08
  232.5        42        36.07         1.13
  237.5        42        34.05         1.08
  242.5        42        37.48         1.23
  247.5        42        36.56         1.19
  252.5        42        32.85         1.25
  257.5        42        31.71         1.23
  262.5        42        32.74         1.25
  267.5        42        32.85         1.26
  272.5        42        33.60         1.28
  277.5        42        31.49         1.24
  282.5        42        30.83         1.24
  287.5        42        31.64         1.30
  292.5        42        29.48         1.48
  297.5        42        26.65         1.24
  302.5        42        24.31         1.36
  307.5        42        22.90         1.37
  312.5        42        24.89         1.66
  317.5        42        23.86         1.62
  322.5        42        22.86         1.59
  327.5        42        21.47         1.54
  332.5        42        19.25         1.45
  337.5        42        24.46         1.81
  342.5        42        22.43         1.69
  347.5        42        23.41         1.58
  352.5        42        22.01         1.54
  357.5        42        20.05         1.47
