//
////////////////////////////////////////////////////////////////////
//                                                                //
//  File: pimquasi821_Ca.dat                                      //
//                                                                //       
//  Title: (pi-,pi-') quasi-elastic scattering from Ca with       //
//         821 MeV (950 MeV/c) incident pi-                       //
//                                                                //
//  Source: Y. Fujii et al., Phys. Rev. C64, 034608 (2001).       //
//                                                                //
//  Units: cross section: ub/sr/MeV                               //
//         angle:         degrees                                 //
//         energy:        MeV                                     //
//                                                                //
//  Note: Data was taken at fixed q.  The angles listed below     //
//        are approximate and correspond as follows:              //
//                                                                //
//                   19.5 deg -> q=350 MeV/c                      //
//                   30   deg -> q=500 MeV/c                      //
//                   42   deg -> q=650 MeV/c                      //
//                                                                //
////////////////////////////////////////////////////////////////////
 pi-' KE   Lab angle  cross section  c.s. error
-----------------------------------------------
startdata
  -37.5      19.5         0.14          0.14
  -32.5      19.5         0.14          0.14
  -27.5      19.5            0             0
  -22.5      19.5         0.30          0.21
  -17.5      19.5         0.65          0.33
  -12.5      19.5         1.04          0.40
   -7.5      19.5         2.33          0.72
   -2.5      19.5         6.98          1.08
    2.5      19.5       198.54         10.0
    7.5      19.5       639.12         17.6
   12.5      19.5       394.87          8.01
   17.5      19.5       427.30         12.1
   22.5      19.5       451.63         19.3
   27.5      19.5       443.30          8.01
   32.5      19.5       463.11          8.18
   37.5      19.5       505.16          8.52
   42.5      19.5       529.09          8.68
   47.5      19.5       556.78          8.88
   52.5      19.5       582.88          9.06
   57.5      19.5       633.31          9.39
   62.5      19.5       728.15         10.0
   67.5      19.5       700.03          9.81
   72.5      19.5       608.44          9.13
   77.5      19.5       563.87          8.76
   82.5      19.5       559.15          8.69
   87.5      19.5       516.67          6.68
   92.5      19.5       486.84          6.07
   97.5      19.5       455.16          6.5
  102.5      19.5       419.47          6.4
  107.5      19.5       387.27          5.31
  112.5      19.5       349.13          5.02
  117.5      19.5       319.55          7.06
  122.5      19.5       281.66          6.57
  127.5      19.5       239.86          6.03
  132.5      19.5       217.48          5.7
  137.5      19.5       187.88          5.26
  142.5      19.5       162.67          4.87
  147.5      19.5       141.30          4.52
  152.5      19.5       128.73          4.18
  157.5      19.5       123.69          3.19
  162.5      19.5       111.04          3.07
  167.5      19.5       106.68          3.35
  172.5      19.5        94.27          2.72
  177.5      19.5        86.62          2.55
  182.5      19.5        84.83          2.55
  187.5      19.5        84.87          2.66
  192.5      19.5        84.44          2.96
  197.5      19.5        86.46          3.39
  202.5      19.5        92.06          3.98
  207.5      19.5        92.97          4.08
  212.5      19.5        94.89          4.26
  217.5      19.5       105.35          4.71
  222.5      19.5        97.87          4.79
  227.5      19.5       108.65          5.44
  232.5      19.5       114.19          6.15
  237.5      19.5       140.31          7.78
  242.5      19.5       124.55          8.73
  -22.5        30            0             0
  -17.5        30            0             0
  -12.5        30         0.17          0.17
   -7.5        30         0.35          0.25
   -2.5        30         0.17          0.17
    2.5        30         2.80          0.70
    7.5        30        19.33          1.84
   12.5        30        22.52          1.98
   17.5        30        24.18          2.04
   22.5        30        29.15          2.24
   27.5        30        32.89          2.37
   32.5        30        35.24          2.45
   37.5        30        42.81          2.70
   42.5        30        48.23          2.85
   47.5        30        54.42          3.01
   52.5        30        64.20          3.27
   57.5        30        72.89          3.47
   62.5        30        84.88          2.80
   67.5        30        91.49          2.90
   72.5        30       101.57          3.05
   77.5        30       114.86          3.23
   82.5        30       131.86          3.44
   87.5        30       135.51          3.48
   92.5        30       153.91          3.70
   97.5        30       159.07          3.75
  102.5        30       166.33          3.82
  107.5        30       177.83          3.63
  112.5        30       185.83          3.43
  117.5        30       191.60          3.57
  122.5        30       217.38          3.64
  127.5        30       221.12          3.64
  132.5        30       205.11          3.49
  137.5        30       192.85          3.37
  142.5        30       196.68          3.42
  147.5        30       187.04          4.22
  152.5        30       188.77          4.22
  157.5        30       182.78          4.13
  162.5        30       182.70          4.11
  167.5        30       174.99          4.01
  172.5        30       163.25          3.86
  177.5        30       160.15          3.81
  182.5        30       149.64          3.66
  187.5        30       144.49          3.57
  192.5        30       134.28          3.42
  197.5        30       129.39          3.33
  202.5        30       115.19          3.13
  207.5        30       102.62          2.95
  212.5        30        98.87          2.90
  217.5        30        95.75          2.91
  222.5        30        88.74          2.94
  227.5        30        85.08          3.28
  232.5        30        85.95          3.73
  237.5        30        82.18          3.61
  242.5        30        72.96          3.38
  247.5        30        69.42          3.26
  252.5        30        67.57          3.19
  257.5        30        63.88          3.08
  262.5        30        64.70          3.10
  267.5        30        64.87          3.16
  272.5        30        62.36          3.42
  277.5        30        59.00          3.53
  282.5        30        56.76          4.03
  -22.5        42            0             0
  -17.5        42            0             0
  -12.5        42         0.27          0.27
   -7.5        42            0             0
   -2.5        42            0             0
    2.5        42            0             0
    7.5        42            0             0
   12.5        42         1.58          0.60
   17.5        42         1.62          0.46
   22.5        42         2.80          0.60
   27.5        42         2.75          0.58
   32.5        42         4.40          0.73
   37.5        42         3.56          0.66
   42.5        42         6.39          0.88
   47.5        42         8.13          1.00
   52.5        42         8.02          1.00
   57.5        42        12.14          1.22
   62.5        42        10.36          1.03
   67.5        42        14.23          1.28
   72.5        42        17.19          1.44
   77.5        42        16.33          1.21
   82.5        42        17.62          1.27
   87.5        42        17.81          1.25
   92.5        42        19.63          1.31
   97.5        42        23.25          1.42
  102.5        42        24.26          1.45
  107.5        42        25.30          1.48
  112.5        42        27.73          1.54
  117.5        42        30.62          1.62
  122.5        42        35.12          1.74
  127.5        42        34.94          1.74
  132.5        42        43.03          1.94
  137.5        42        41.30          1.90
  142.5        42        42.72          1.93
  147.5        42        46.65          2.01
  152.5        42        47.92          2.05
  157.5        42        51.03          2.14
  162.5        42        54.40          2.22
  167.5        42        58.37          2.32
  172.5        42        66.40          2.53
  177.5        42        59.66          2.45
  182.5        42        63.76          2.63
  187.5        42        69.78          2.87
  192.5        42        71.89          3.11
  197.5        42        74.02          3.15
  202.5        42        75.79          3.19
  207.5        42        80.01          3.35
  212.5        42        82.33          3.32
  217.5        42        73.31          3.16
  222.5        42        82.05          3.33
  227.5        42        83.92          3.39
  232.5        42        68.75          3.10
  237.5        42        78.51          3.42
  242.5        42        85.98          3.67
  247.5        42        73.33          3.45
  252.5        42        82.76          4.66
  257.5        42        71.47          4.35
  262.5        42        74.09          4.40
  267.5        42        67.68          4.22
  272.5        42        72.44          4.40
  277.5        42        72.50          4.48
  282.5        42        64.28          4.24
  287.5        42        63.57          4.64
  292.5        42        66.48          4.60
  297.5        42        61.73          4.84
  302.5        42        53.38          4.54
  307.5        42        59.00          5.05
