//
////////////////////////////////////////////////////////////////////
//                                                                //
//  File: pimquasi821_D.dat                                       //
//                                                                //       
//  Title: (pi-,pi-') quasi-elastic scattering from 2H with       //
//         821 MeV (950 MeV/c) incident pi-                       //
//                                                                //
//  Source: Y. Fujii et al., Phys. Rev. C64, 034608 (2001).       //
//                                                                //
//  Units: cross section: ub/sr/MeV                               //
//         angle:         degrees                                 //
//         energy:        MeV                                     //
//                                                                //
//  Note: Data was taken at fixed q.  The angles listed below     //
//        are approximate and correspond as follows:              //
//                                                                //
//                   19.5 deg -> q=350 MeV/c                      //
//                   30   deg -> q=500 MeV/c                      //
//                   42   deg -> q=650 MeV/c                      //
//                                                                //
////////////////////////////////////////////////////////////////////
 pi-' KE   Lab angle  cross section  c.s. error
-----------------------------------------------
startdata
    2.5      19.5            0            0
    7.5      19.5        25.00         7.00
   12.5      19.5         5.00         5.00
   17.5      19.5        23.00         5.00
   22.5      19.5         5.00         5.00
   27.5      19.5        27.00         6.00
   32.5      19.5       365.00         6.00
   37.5      19.5       149.00         6.00
   42.5      19.5       133.00         5.00
   47.5      19.5       150.00         5.00
   52.5      19.5       220.00         5.00
   57.5      19.5       320.00         5.00
   62.5      19.5       374.00         6.00
   67.5      19.5       366.00         5.00
   72.5      19.5       286.00         5.00
   77.5      19.5       212.00         5.00
   82.5      19.5       147.00         5.00
   87.5      19.5       110.00         5.00
   92.5      19.5        76.00         5.00
   97.5      19.5        58.00         5.00
  102.5      19.5        43.00         5.00
  107.5      19.5        42.00         5.00
  112.5      19.5        27.00         5.00
  117.5      19.5        22.00         5.00
  122.5      19.5        20.00         5.00
  127.5      19.5        23.00         5.00
  132.5      19.5        13.00         5.00
  137.5      19.5        12.00         5.00
  142.5      19.5        15.00         5.00
  147.5      19.5         7.00         5.00
  152.5      19.5         7.00         5.00
  157.5      19.5         7.00         5.00
  162.5      19.5        10.00         5.00
  167.5      19.5         7.00         5.00
  172.5      19.5         9.00         5.00
  177.5      19.5         6.00         5.00
  182.5      19.5         6.00         5.00
  187.5      19.5         8.00         5.00
  192.5      19.5         7.00         5.00
  197.5      19.5         9.00         5.00
  202.5      19.5        10.00         5.00
  207.5      19.5        10.00         5.00
  212.5      19.5         9.00         5.00
  217.5      19.5        10.00         5.00
  222.5      19.5        10.00         5.00
  227.5      19.5        10.00         5.00
  232.5      19.5        20.00         5.00
  237.5      19.5        16.00         5.00
  242.5      19.5        13.00         5.00
    7.5      30              0            0
   12.5      30              0            0
   17.5      30           2.00         1.00
   22.5      30              0            0
   27.5      30           2.00         1.00
   32.5      30           3.00         1.00
   37.5      30           3.00         1.00
   42.5      30           2.00         1.00
   47.5      30              0            0
   52.5      30              0            0
   57.5      30           2.00         1.00
   62.5      30          13.00         2.00
   67.5      30          20.00         2.00
   72.5      30          10.00         1.00
   77.5      30           9.00         1.00
   82.5      30          11.00         1.00
   87.5      30          14.00         1.00
   92.5      30          20.00         2.00
   97.5      30          26.00         2.00
  102.5      30          42.00         1.00
  107.5      30          60.00         1.00
  112.5      30          79.00         1.00
  117.5      30          97.00         1.00
  122.5      30         107.00         1.00
  127.5      30         116.00         1.00
  132.5      30         102.00         1.00
  137.5      30          77.00         1.00
  142.5      30          69.00         1.00
  147.5      30          52.00         1.00
  152.5      30          39.00         1.00
  157.5      30          32.00         1.00
  162.5      30          21.00         1.00
  167.5      30          19.00         1.00
  172.5      30          18.00         1.00
  177.5      30          15.00         2.00
  182.5      30           9.00         2.00
  187.5      30          12.00         2.00
  192.5      30           9.00         1.00
  197.5      30           9.00         1.00
  202.5      30           9.00         1.00
  207.5      30           9.00         1.00
  212.5      30           6.00         1.00
  217.5      30           6.00         1.00
  222.5      30           5.00         1.00
  227.5      30           2.00         1.00
  232.5      30           2.00         1.00
  237.5      30           7.00         1.00
  242.5      30           6.00         1.00
  247.5      30           5.00         1.00
  252.5      30           6.00         1.00
  257.5      30           6.00         1.00
  262.5      30           7.00         1.00
  267.5      30           8.00         1.00
  272.5      30           5.00         1.00
  277.5      30           5.00         1.00
  282.5      30           7.00         2.00
   22.5      42              0            0
   27.5      42              0            0
   32.5      42           0.50         0.50
   37.5      42           0.70         0.50
   42.5      42              0            0
   47.5      42              0            0
   52.5      42              0            0
   57.5      42           0.20         0.50
   62.5      42              0            0
   67.5      42           0.30         0.50
   72.5      42           0.30         0.50
   77.5      42           0.80         0.50
   82.5      42           0.30         0.50
   87.5      42           0.30         0.50
   92.5      42           0.50         0.50
   97.5      42              0            0
  102.5      42              0            0
  107.5      42           3.50         0.60
  112.5      42           3.50         0.60
  117.5      42           1.80         0.60
  122.5      42           1.30         0.60
  127.5      42           1.50         0.60
  132.5      42           0.30         0.30
  137.5      42           2.30         0.80
  142.5      42           1.40         0.80
  147.5      42           2.50         1.00
  152.5      42           4.10         1.00
  157.5      42           3.40         1.00
  162.5      42           5.00         1.00
  167.5      42           8.70         1.00
  172.5      42          11.00         1.10
  177.5      42          11.60         1.40
  182.5      42          19.00         1.50
  187.5      42          21.80         1.70
  192.5      42          29.70         2.00
  197.5      42          32.90         2.10
  202.5      42          32.60         2.10
  207.5      42          35.60         2.20
  212.5      42          35.90         2.20
  217.5      42          30.30         2.30
  222.5      42          27.30         2.00
  227.5      42          22.50         2.00
  232.5      42          16.00         2.00
  237.5      42          16.50         2.00
  242.5      42          11.90         2.00
  247.5      42          10.80         2.00
  252.5      42          12.00         2.50
  257.5      42           7.00         2.10
  262.5      42           4.70         2.30
  267.5      42           4.70         2.30
  272.5      42           4.80         2.20
  277.5      42           5.00         2.20
  282.5      42           1.20         2.10
  287.5      42           1.00         2.00
  292.5      42              0            0
  297.5      42           3.10         2.10
  302.5      42           5.30         2.00
  307.5      42           6.50         2.60
