//
////////////////////////////////////////////////////////////////////
//                                                                //
//  File: pimquasi821_Li6.dat                                     //
//                                                                //       
//  Title: (pi-,pi-') quasi-elastic scattering from 6Li with      //
//         821 MeV (950 MeV/c) incident pi-                       //
//                                                                //
//  Source: Y. Fujii et al., Phys. Rev. C64, 034608 (2001).       //
//                                                                //
//  Units: cross section: ub/sr/MeV                               //
//         angle:         degrees                                 //
//         energy:        MeV                                     //
//                                                                //
//  Note: Data was taken at fixed q.  The angles listed below     //
//        are approximate and correspond as follows:              //
//                                                                //
//                   19.5 deg -> q=350 MeV/c                      //
//                   30   deg -> q=500 MeV/c                      //
//                   42   deg -> q=650 MeV/c                      //
//                                                                //
////////////////////////////////////////////////////////////////////
 pi-' KE   Lab angle  cross section  c.s. error
-----------------------------------------------
startdata
  -37.5      19.5            0             0
  -32.5      19.5         0.06          0.06
  -27.5      19.5         0.08          0.04
  -22.5      19.5            0             0
  -17.5      19.5         0.63          0.24
  -12.5      19.5         1.02          0.29
   -7.5      19.5         0.96          0.33
   -2.5      19.5         2.13          0.59
    2.5      19.5        18.06          2.13
    7.5      19.5        10.60         11.30
   12.5      19.5       272.62          8.32
   17.5      19.5       302.15          7.42
   22.5      19.5       217.78          4.91
   27.5      19.5       195.38          5.15
   32.5      19.5       188.96          9.02
   37.5      19.5       233.81          7.23
   42.5      19.5       252.19          7.20
   47.5      19.5       290.23          7.59
   52.5      19.5       306.81          8.31
   57.5      19.5       297.99          9.12
   62.5      19.5       304.42          9.57
   67.5      19.5       303.17          9.50
   72.5      19.5       299.35          8.83
   77.5      19.5       299.68          8.12
   82.5      19.5       279.18          7.41
   87.5      19.5       231.72          5.23
   92.5      19.5       207.50          4.65
   97.5      19.5       180.82          4.30
  102.5      19.5       157.24          3.87
  107.5      19.5       119.42          3.62
  112.5      19.5       113.04          3.21
  117.5      19.5        97.76          4.39
  122.5      19.5        78.93          3.96
  127.5      19.5        61.90          3.72
  132.5      19.5        57.99          3.33
  137.5      19.5        45.82          3.09
  142.5      19.5        42.98          2.97
  147.5      19.5        36.34          2.64
  152.5      19.5        35.00          2.15
  157.5      19.5        33.84          1.94
  162.5      19.5        25.75          1.92
  167.5      19.5        26.31          1.77
  172.5      19.5        25.28          1.64
  177.5      19.5        26.15          1.58
  182.5      19.5        22.72          1.55
  187.5      19.5        21.48          1.67
  192.5      19.5        23.97          1.90
  197.5      19.5        21.79          2.19
  202.5      19.5        25.89          2.67
  207.5      19.5        26.41          2.79
  212.5      19.5        27.44          2.84
  217.5      19.5        32.92          3.15
  222.5      19.5        30.16          3.37
  227.5      19.5        32.76          3.68
  232.5      19.5        33.10          4.50
  237.5      19.5        44.62          5.37
  242.5      19.5        44.76          6.26
  -27.5        30            0             0
  -22.5        30            0             0
  -17.5        30         0.05          0.04
  -12.5        30         0.10          0.08
   -7.5        30            0             0
   -2.5        30         0.24          0.10
    2.5        30         0.05          0.04
    7.5        30         0.57          0.48
   12.5        30         0.39          1.15
   17.5        30         0.90          1.43
   22.5        30        10.15          1.24
   27.5        30         6.40          1.16
   32.5        30         4.07          1.29
   37.5        30         4.57          1.38
   42.5        30         8.26          1.45
   47.5        30         9.25          1.45
   52.5        30        12.06          1.66
   57.5        30        17.90          1.79
   62.5        30        19.45          2.07
   67.5        30        21.42          2.09
   72.5        30        30.78          1.96
   77.5        30        34.00          2.02
   82.5        30        44.60          2.19
   87.5        30        50.82          2.37
   92.5        30        60.68          2.59
   97.5        30        66.62          2.78
  102.5        30        68.33          3.05
  107.5        30        75.66          3.18
  112.5        30        78.36          3.29
  117.5        30        85.93          3.43
  122.5        30        85.59          3.45
  127.5        30        83.44          3.80
  132.5        30        82.76          3.69
  137.5        30        92.48          3.50
  142.5        30        79.94          2.99
  147.5        30        87.63          3.63
  152.5        30        77.53          3.34
  157.5        30        78.42          3.21
  162.5        30        71.78          2.95
  167.5        30        65.26          2.84
  172.5        30        59.66          2.77
  177.5        30        53.98          2.60
  182.5        30        52.54          2.43
  187.5        30        42.26          2.34
  192.5        30        37.26          2.17
  197.5        30        34.70          2.08
  202.5        30        29.94          1.96
  207.5        30        23.58          1.86
  212.5        30        26.64          1.80
  217.5        30        23.78          1.76
  222.5        30        22.63          1.99
  227.5        30        24.80          1.83
  232.5        30        21.45          2.20
  237.5        30        16.78          2.24
  242.5        30        15.67          2.13
  247.5        30        15.83          2.06
  252.5        30        14.10          1.99
  257.5        30        15.38          2.02
  262.5        30        15.95          2.08
  267.5        30        13.76          2.05
  272.5        30        18.97          3.75
  277.5        30        15.83          3.61
  282.5        30        16.40          2.90
   -2.5        42            0             0
    2.5        42            0             0
    7.5        42         0.09          0.09
   12.5        42            0             0
   17.5        42         0.04          0.18
   22.5        42         0.01          0.23
   27.5        42         0.08          0.16
   32.5        42         0.05          0.38
   37.5        42         1.10          0.47
   42.5        42         2.56          0.52
   47.5        42         2.58          0.52
   52.5        42         4.56          0.63
   57.5        42         5.71          0.74
   62.5        42         4.51          0.70
   67.5        42         3.94          0.69
   72.5        42         3.97          0.66
   77.5        42         4.98          0.81
   82.5        42         4.27          0.81
   87.5        42         4.81          0.82
   92.5        42         5.22          0.77
   97.5        42         6.06          0.79
  102.5        42         7.73          0.86
  107.5        42         6.18          1.00
  112.5        42         8.10          1.05
  117.5        42         8.42          1.01
  122.5        42         8.09          0.98
  127.5        42         8.90          1.03
  132.5        42        10.53          1.04
  137.5        42         8.68          1.08
  142.5        42         9.84          1.08
  147.5        42        11.15          1.21
  152.5        42        12.74          1.31
  157.5        42        15.59          1.36
  162.5        42        17.46          1.49
  167.5        42        15.01          1.58
  172.5        42        19.39          1.77
  177.5        42        23.48          1.89
  182.5        42        22.28          2.16
  187.5        42        26.93          2.32
  192.5        42        24.53          2.83
  197.5        42        25.32          2.93
  202.5        42        25.54          2.94
  207.5        42        26.43          2.99
  212.5        42        26.72          3.02
  217.5        42        28.92          2.93
  222.5        42        28.61          2.82
  227.5        42        25.33          2.72
  232.5        42        32.51          2.65
  237.5        42        28.14          2.60
  242.5        42        26.86          2.67
  247.5        42        26.52          2.59
  252.5        42        23.63          3.29
  257.5        42        23.60          3.02
  262.5        42        24.58          2.96
  267.5        42        20.78          2.96
  272.5        42        22.38          3.00
  277.5        42        17.56          2.79
  282.5        42        20.71          2.63
  287.5        42        21.85          2.74
  292.5        42        23.09          2.74
  297.5        42        15.32          2.79
  302.5        42         7.82          3.40
  307.5        42        12.18          3.47
