//
////////////////////////////////////////////////////////////////////
//                                                                //
//  File: pimquasi821_Pb.dat                                      //
//                                                                //       
//  Title: (pi-,pi-') quasi-elastic scattering from 208Pb with    //
//         821 MeV (950 MeV/c) incident pi-                       //
//                                                                //
//  Source: Y. Fujii et al., Phys. Rev. C64, 034608 (2001).       //
//                                                                //
//  Units: cross section: ub/sr/MeV                               //
//         angle:         degrees                                 //
//         energy:        MeV                                     //
//                                                                //
//  Note: Data was taken at fixed q.  The angles listed below     //
//        are approximate and correspond as follows:              //
//                                                                //
//                   19.5 deg -> q=350 MeV/c                      //
//                   30   deg -> q=500 MeV/c                      //
//                   42   deg -> q=650 MeV/c                      //
//                                                                //
////////////////////////////////////////////////////////////////////
 pi-' KE   Lab angle  cross section  c.s. error
-----------------------------------------------
startdata
  -37.5      19.5            0             0
  -32.5      19.5         0.50          0.50
  -27.5      19.5            0             0
  -22.5      19.5         1.32          0.93
  -17.5      19.5         0.67          0.67
  -12.5      19.5         1.17          0.84
   -7.5      19.5         7.12          2.52
   -2.5      19.5       317.68         14.4
    2.5      19.5       673.16         21.3
    7.5      19.5       545.19         18.6
   12.5      19.5       590.06         18.0
   17.5      19.5       635.86         19.2
   22.5      19.5       616.79         17.9
   27.5      19.5       663.77         18.5
   32.5      19.5       733.97         19.4
   37.5      19.5       742.63         19.5
   42.5      19.5       765.48         19.7
   47.5      19.5       828.97         20.4
   52.5      19.5       850.11         20.6
   57.5      19.5       846.31         20.5
   62.5      19.5       823.95         20.1
   67.5      19.5       868.16         20.6
   72.5      19.5       846.63         20.3
   77.5      19.5       806.74         19.8
   82.5      19.5       777.14         19.3
   87.5      19.5       715.63         15.2
   92.5      19.5       683.99         15.4
   97.5      19.5       627.44         14.5
  102.5      19.5       555.36         12.7
  107.5      19.5       497.67         12.0
  112.5      19.5       475.75         11.7
  117.5      19.5       475.66         18.7
  122.5      19.5       421.60         17.5
  127.5      19.5       322.70         15.2
  132.5      19.5       326.46         15.1
  137.5      19.5       310.68         14.7
  142.5      19.5       272.32         13.7
  147.5      19.5       208.03         11.9
  152.5      19.5       217.17          8.89
  157.5      19.5       199.24          8.05
  162.5      19.5       186.40          7.83
  167.5      19.5       172.92          7.48
  172.5      19.5       150.83          6.83
  177.5      19.5       145.08          6.69
  182.5      19.5       133.97          6.51
  187.5      19.5       132.13          6.57
  192.5      19.5       133.89          7.85
  197.5      19.5       129.36          7.37
  202.5      19.5       146.25          9.54
  207.5      19.5       136.96          9.49
  212.5      19.5       147.02         10.2
  217.5      19.5       160.14         11.1
  222.5      19.5       152.72         11.4
  227.5      19.5       194.03         13.9
  232.5      19.5       225.99         16.8
  237.5      19.5       216.22         18.7
  242.5      19.5       255.30         24.2
  -17.5        30            0             0 
  -12.5        30            0             0
   -7.5        30         1.91          1.10
   -2.5        30        21.02          3.61
    2.5        30        30.27          4.33
    7.5        30        31.97          4.44
   12.5        30        39.27          4.91
   17.5        30        57.95          5.98
   22.5        30        40.53          4.99
   27.5        30        76.16          6.81
   32.5        30        94.19          7.57
   37.5        30        74.80          6.72
   42.5        30        96.71          7.60
   47.5        30       113.41          8.21
   52.5        30       106.57          7.92
   57.5        30       142.68          9.14
   62.5        30       146.62          7.33
   67.5        30       155.15          7.54
   72.5        30       192.22          8.36
   77.5        30       198.58          8.47
   82.5        30       229.43          9.07
   87.5        30       241.93          9.29
   92.5        30       254.78          9.51
   97.5        30       278.40          9.91
  102.5        30       282.83          9.95
  107.5        30       296.51          9.07
  112.5        30       307.73          9.31
  117.5        30       317.91          8.72
  122.5        30       299.45          8.37
  127.5        30       320.31          8.64
  132.5        30       335.82          8.79
  137.5        30       335.85          8.77
  142.5        30       306.87          8.38
  147.5        30       307.96         11.00
  152.5        30       293.44         10.7
  157.5        30       298.24         10.7
  162.5        30       294.50         10.6
  167.5        30       269.43         10.1
  172.5        30       251.07          9.70
  177.5        30       254.57          9.73
  182.5        30       213.66          8.87
  187.5        30       205.87          8.64
  192.5        30       207.39          8.62
  197.5        30       169.53          7.73
  202.5        30       183.74          8.01
  207.5        30       172.18          7.74
  212.5        30       169.14          7.66
  217.5        30       150.32          7.29
  222.5        30       134.20          7.07
  227.5        30       131.20          7.19
  232.5        30       132.69          8.00
  237.5        30       113.58          7.34
  242.5        30       121.40          7.52
  247.5        30       107.52          7.02
  252.5        30       102.65          6.80
  257.5        30       107.65          6.92
  262.5        30        98.09          6.59
  267.5        30       110.60          7.04
  272.5        30        99.86          7.00
  277.5        30       102.51          7.87
  282.5        30        91.06          7.70
  287.5        30       132.49         17.60
  292.5        30       103.14         15.4
  297.5        30       136.73         17.5
  302.5        30        99.23         14.8
  307.5        30       107.92         15.3
  312.5        30       119.35         16.00
  317.5        30       129.70         16.5
  322.5        30        96.69         14.1
  327.5        30       129.02         16.1
  332.5        30       121.94         15.6
   -2.5        42            0            0
    2.5        42            0            0
    7.5        42         0.71          0.71
   12.5        42         2.25          1.30
   17.5        42         5.17          1.56
   22.5        42         4.49          1.44
   27.5        42         5.45          1.63
   32.5        42         9.01          2.07
   37.5        42         4.17          1.40
   42.5        42         8.26          1.99
   47.5        42        12.60          2.45
   52.5        42        18.82          2.97
   57.5        42        19.15          3.02
   62.5        42        15.66          2.71
   67.5        42        19.48          2.91
   72.5        42        26.65          3.11
   77.5        42        25.42          2.96
   82.5        42        31.59          3.28
   87.5        42        34.95          3.39
   92.5        42        41.34          3.65
   97.5        42        44.82          3.84
  102.5        42        44.06          3.77
  107.5        42        52.39          4.11
  112.5        42        54.10          4.23
  117.5        42        55.16          4.24
  122.5        42        57.95          4.34
  127.5        42        64.48          4.58
  132.5        42        67.09          4.67
  137.5        42        79.48          5.09
  142.5        42        85.14          5.28
  147.5        42        87.06          5.35
  152.5        42        93.14          5.53
  157.5        42        99.32          5.86
  162.5        42        95.78          5.72
  167.5        42       119.40          6.48
  172.5        42       128.09          6.85
  177.5        42       127.47          7.07
  182.5        42       135.15          7.39
  187.5        42       120.59          7.22
  192.5        42       137.29          8.12
  197.5        42       137.97          8.20
  202.5        42       136.42          7.98
  207.5        42       117.98          7.43
  212.5        42       134.71          7.92
  217.5        42       145.94          8.29
  222.5        42       132.60          7.87
  227.5        42       146.83          8.36
  232.5        42       132.28          7.93
  237.5        42       141.36          8.28
  242.5        42       146.34          8.54
  247.5        42       145.88          9.08
  252.5        42       133.53          9.89
  257.5        42       122.93          9.40
  262.5        42       128.42          9.71
  267.5        42       124.28          9.45
  272.5        42       104.74          9.31
  277.5        42       110.85          8.97
  282.5        42        99.74          8.65
  287.5        42       103.54          8.97
  292.5        42       102.25          9.29
  297.5        42        92.46          9.28
  302.5        42        97.25         10.6
  307.5        42       111.23         10.5
  312.5        42        60.86         14.0
  317.5        42       104.30         18.2
  322.5        42        85.09         16.4
  327.5        42        85.52         16.5
  332.5        42        86.93         16.4
  337.5        42        87.65         16.6
  342.5        42        96.13         17.3
  347.5        42        79.66         15.6
  352.5        42        70.00         14.6
  357.5        42        69.53         14.5
