//
////////////////////////////////////////////////////////////////////
//                                                                //
//  File: pimquasi821_Zr.dat                                      //
//                                                                //       
//  Title: (pi-,pi-') quasi-elastic scattering from Zr with       //
//         821 MeV (950 MeV/c) incident pi-                       //
//                                                                //
//  Source: Y. Fujii et al., Phys. Rev. C64, 034608 (2001).       //
//                                                                //
//  Units: cross section: ub/sr/MeV                               //
//         angle:         degrees                                 //
//         energy:        MeV                                     //
//                                                                //
//  Note: Data was taken at fixed q.  The angles listed below     //
//        are approximate and correspond as follows:              //
//                                                                //
//                   19.5 deg -> q=350 MeV/c                      //
//                   30   deg -> q=500 MeV/c                      //
//                   42   deg -> q=650 MeV/c                      //
//                                                                //
////////////////////////////////////////////////////////////////////
 pi-' KE   Lab angle  cross section  c.s. error
-----------------------------------------------
startdata
  -17.5      19.5            0             0
  -12.5      19.5            0             0
   -7.5      19.5         7.11          3.66
   -2.5      19.5       153.09         22.7
    2.5      19.5       606.73         20.3
    7.5      19.5       421.62         16.3
   12.5      19.5       471.57         16.8
   17.5      19.5       512.13         17.9
   22.5      19.5       547.90         18.1
   27.5      19.5       534.90         17.7
   32.5      19.5       554.43         17.9
   37.5      19.5       567.65         18.1
   42.5      19.5       587.46         18.4
   47.5      19.5       622.94         18.8
   52.5      19.5       673.56         19.5
   57.5      19.5       673.06         19.4
   62.5      19.5       659.82         19.2
   67.5      19.5       705.23         19.7
   72.5      19.5       704.80         19.7
   77.5      19.5       627.13         18.5
   82.5      19.5       676.65         19.2
   87.5      19.5       594.51         14.7
   92.5      19.5       557.88         14.0
   97.5      19.5       512.78         14.0
  102.5      19.5       485.17         14.1
  107.5      19.5       411.73         11.5
  112.5      19.5       379.23         11.1
  117.5      19.5       363.75         17.0
  122.5      19.5       309.89         15.6
  127.5      19.5       276.22         14.6
  132.5      19.5       272.75         14.4
  137.5      19.5       217.71         12.8
  142.5      19.5       220.43         12.8
  147.5      19.5       180.31         11.5
  152.5      19.5       177.04          8.70
  157.5      19.5       159.30          8.01
  162.5      19.5       132.62          6.92
  167.5      19.5       133.27          6.88
  172.5      19.5       113.65          6.32
  177.5      19.5       115.89          6.51
  182.5      19.5       109.53          6.26
  187.5      19.5       115.76          6.95
  192.5      19.5        89.12          6.07
  197.5      19.5       119.29          8.62
  202.5      19.5       123.47          9.63
  207.5      19.5       102.86          9.02
  212.5      19.5       138.34         10.8
  217.5      19.5       125.62         10.8
  222.5      19.5       140.92         12.0
  227.5      19.5       165.25         14.0
  232.5      19.5       170.11         15.8
  237.5      19.5       200.73         19.5
  242.5      19.5       174.71         21.2
  -37.5        30            0             0
  -32.5        30            0             0
  -27.5        30         0.75          0.75
  -22.5        30            0             0
  -17.5        30            0             0
  -12.5        30            0             0
   -7.5        30            0             0
   -2.5        30         1.45          1.02
    2.5        30         9.86          2.64
    7.5        30        22.65          4.01
   12.5        30        27.99          4.43
   17.5        30        39.75          5.27
   22.5        30        36.17          5.02
   27.5        30        59.66          6.43
   32.5        30        53.04          6.05
   37.5        30        70.97          6.96
   42.5        30        68.50          6.82
   47.5        30        92.64          7.89
   52.5        30        80.77          7.34
   57.5        30       105.59          8.38
   62.5        30       117.30          6.96
   67.5        30       143.45          8.17
   72.5        30       147.74          7.74
   77.5        30       148.26          7.72
   82.5        30       180.41          8.50
   87.5        30       187.95          8.66
   92.5        30       199.12          8.88
   97.5        30       190.28          8.66
  102.5        30       219.41          9.26
  107.5        30       214.63          8.16
  112.5        30       224.28          8.61
  117.5        30       234.42          8.87
  122.5        30       253.11          8.23
  127.5        30       244.31          8.09
  132.5        30       228.31          7.78
  137.5        30       246.92          8.04
  142.5        30       224.90          7.68
  147.5        30       249.64         10.6
  152.5        30       244.02         10.4
  157.5        30       210.81          9.66
  162.5        30       216.98          9.75
  167.5        30       211.10          9.58
  172.5        30       203.58          9.39
  177.5        30       190.30          9.04
  182.5        30       174.04          8.60
  187.5        30       176.76          8.60
  192.5        30       165.44          8.26
  197.5        30       153.54          7.91
  202.5        30       140.19          7.51
  207.5        30       137.63          7.42
  212.5        30       108.51          6.60
  217.5        30       111.69          6.76
  222.5        30       105.95          6.90
  227.5        30        99.47          7.14
  232.5        30       107.94          8.76
  237.5        30        95.05          8.12
  242.5        30        90.41          7.87
  247.5        30        86.77          7.64
  252.5        30        83.94          7.45
  257.5        30        74.22          6.95
  262.5        30        74.29          6.97
  267.5        30        90.24          7.89
  272.5        30        63.62          7.15
  277.5        30        66.42          7.35
  282.5        30       131.06         43.8
   -2.5        42            0            0
    2.5        42            0            0
    7.5        42         0.86          0.86
   12.5        42         1.69          1.19
   17.5        42         2.07          1.03
   22.5        42         5.30          1.65
   27.5        42         4.51          1.51
   32.5        42         6.79          1.86
   37.5        42         8.16          2.04
   42.5        42         8.45          2.07
   47.5        42        14.16          2.68
   52.5        42         8.73          2.10
   57.5        42        13.67          2.63
   62.5        42         9.38          2.09
   67.5        42        15.76          2.40
   72.5        42        20.53          2.79
   77.5        42        20.75          2.90
   82.5        42        25.26          3.06
   87.5        42        25.83          3.04
   92.5        42        29.10          3.20
   97.5        42        29.39          3.22
  102.5        42        35.28          3.53
  107.5        42        38.72          3.69
  112.5        42        44.86          4.27
  117.5        42        44.70          3.96
  122.5        42        45.89          4.01
  127.5        42        53.37          4.34
  132.5        42        49.71          4.18
  137.5        42        58.27          4.53
  142.5        42        59.18          4.57
  147.5        42        59.40          4.59
  152.5        42        72.57          5.08
  157.5        42        71.17          5.07
  162.5        42        82.76          5.53
  167.5        42        83.81          5.68
  172.5        42        86.57          5.92
  177.5        42        92.87          6.30
  182.5        42        91.20          6.32
  187.5        42       104.66          6.75
  192.5        42        84.78          7.06
  197.5        42       102.26          7.74
  202.5        42       101.52          7.71
  207.5        42       110.32          8.03
  212.5        42        99.25          7.62
  217.5        42        95.65          7.48
  222.5        42        93.82          7.43
  227.5        42        88.46          7.26
  232.5        42        98.22          7.78
  237.5        42        91.00          7.59
  242.5        42       105.78          8.48
  247.5        42        88.55          7.93
  252.5        42       103.82         10.5
  257.5        42        97.12         10.2
  262.5        42        92.81          9.9
  267.5        42       101.42         10.4
  272.5        42        87.41          9.66
  277.5        42        86.20          9.65
  282.5        42        89.07          9.87
  287.5        42        64.98          8.52
  292.5        42        93.53         11.3
  297.5        42        75.65         10.2
  302.5        42        89.39         13.4
  307.5        42        88.96         13.8
